id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_27_01_e_1,d_main_27_01_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_e_1,True,rapi,1,idle,anis,13,idle,neon,15,idle,liveryn,3,idle,elegg,5,idle,hammering,7,idle,Desert_04,70,700,1.0,bgm_aztec,,,,
d_main_27_01_e_2,d_main_27_01_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_e_2,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,700,700,1.0,,,,,
d_main_27_01_e_3,d_main_27_01_e,Speech,anis,anis,Locale_MainScenario:d_main_27_01_e_3,False,,1,idle,,13,no,,15,no,,3,idle,,5,idle,,7,idle,,130,1300,1.0,,,,,
d_main_27_01_e_4,d_main_27_01_e,Speech,neon,neon,Locale_MainScenario:d_main_27_01_e_4,False,,1,idle,,13,no,,15,no,,3,idle,,5,idle,,7,idle,,S_150,S_1500,1.0,,,,,
d_main_27_01_e_5,d_main_27_01_e,Self,,,Locale_MainScenario:d_main_27_01_e_5,False,,1,idle,,13,no,,15,no,,3,idle,,5,idle,,7,idle,,700,700,1.0,,,,,
d_main_27_01_e_6,d_main_27_01_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_e_6,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,smile,,700,70,1.0,,,,,
d_main_27_01_e_7,d_main_27_01_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_e_7,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,smile,,70,70,1.0,,,,,
d_main_27_01_e_8,d_main_27_01_e,Speech,anis,anis,Locale_MainScenario:d_main_27_01_e_8,False,,1,idle,,13,no,,15,idle,,3,idle,,5,idle,,7,smile,,130,130,1.0,,,,,
d_main_27_01_e_9,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_9,True,,1,idle,,13,no,,15,idle,,3,idle,,5,idle,,7,smile,,30,30,1.0,,,,,
d_main_27_01_e_10,d_main_27_01_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_e_10,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,delight,,7,idle,,30,S_50,1.0,,,,,
d_main_27_01_e_11,d_main_27_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_01_e_11,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,delight,,7,idle,,10,10,1.0,,,,,
d_main_27_01_e_12,d_main_27_01_e,Speech,shifty,shifty,Locale_MainScenario:d_main_27_01_e_12,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,shifty,OP_leftup,idle,
d_main_27_01_e_13,d_main_27_01_e,Speech,shifty,shifty,Locale_MainScenario:d_main_27_01_e_13,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,10,30,1.0,,,OP_leftup,idle,
d_main_27_01_e_14,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_14,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,30,30,1.0,,,OP_leftup,idle,
d_main_27_01_e_15,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_15,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,30,30,1.0,,,OP_leftup,idle,
d_main_27_01_e_16,d_main_27_01_e,Speech,shifty,shifty,Locale_MainScenario:d_main_27_01_e_16,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,30,30,1.0,,,OP_leftup,idle,
d_main_27_01_e_17,d_main_27_01_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_e_17,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,sad2,,70,70,1.0,,,OP_leftup,idle,shifty
d_main_27_01_e_18,d_main_27_01_e,Speech,elegg,elegg,Locale_MainScenario:d_main_27_01_e_18,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,sad2,,70,75,1.0,,,,,
d_main_27_01_e_19,d_main_27_01_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_e_19,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,pain,,75,75,1.0,,,,,
d_main_27_01_e_20,d_main_27_01_e,Speech,shifty,shifty,Locale_MainScenario:d_main_27_01_e_20,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,pain,,75,1,2.0,,shifty,OP_leftup,idle,
d_main_27_01_e_21,d_main_27_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_01_e_21,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,1,10,1.0,,,OP_leftup,idle,
d_main_27_01_e_22,d_main_27_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_01_e_22,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,OP_leftup,idle,shifty
d_main_27_01_e_23,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_23,True,,1,idle,,13,idle,,15,idle,,3,delight,,5,idle,,7,idle,,10,31,1.0,,,,,
d_main_27_01_e_24,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_24,True,,1,idle,,13,idle,,15,idle,,3,delight,,5,idle,,7,idle,,31,31,1.0,,,,,
d_main_27_01_e_25,d_main_27_01_e,Speech,anis,anis,Locale_MainScenario:d_main_27_01_e_25,True,,1,idle,,13,idle,,15,idle,,3,delight,,5,idle,,7,idle,,31,113,1.0,,,,,
d_main_27_01_e_26,d_main_27_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_01_e_26,True,,1,idle,,13,idle,,15,idle,,3,delight,,5,idle,,7,idle,,113,113,1.0,,,,,
d_main_27_01_e_27,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_27,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,30,30,1.0,,,,,
d_main_27_01_e_28,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_28,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,30,30,1.0,,,,,
d_main_27_01_e_29,d_main_27_01_e,Speech,anis,anis,Locale_MainScenario:d_main_27_01_e_29,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,,,,
d_main_27_01_e_30,d_main_27_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_01_e_30,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,7,idle,,130,10,1.0,,,,,
d_main_27_01_e_31,d_main_27_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_01_e_31,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,,,
d_main_27_01_e_32,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_32,True,,1,idle,,13,idle,,15,idle,,3,delight,,5,idle,,7,idle,,10,30,1.0,,,,,
d_main_27_01_e_33,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_33,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,30,30,1.0,,,,,
d_main_27_01_e_34,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_34,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,30,30,1.0,,,,,
d_main_27_01_e_35,d_main_27_01_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_27_01_e_35,True,,1,idle,,13,idle,,15,idle,,3,delight,,5,idle,,7,idle,,30,30,1.0,,,,,
d_main_27_01_e_36,d_main_27_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_27_01_e_36,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,30,10,1.0,,,,,
d_main_27_01_e_37,d_main_27_01_e,Speech,hammering,hammering,Locale_MainScenario:d_main_27_01_e_37,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,smile,,70,70,1.0,,,,,
