id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_tower_05_1,d_ex_tower_05,Self,Locale_SuddenStory:d_ex_tower_05_1,False,Police,12,12,1.0,bgm_story_heynewbie,,,,,,,soda,1,sad,,exia,13,idle
d_ex_tower_05_2,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_2,True,,12,12,1.0,,exia,exia,,,,,,1,sad,,,13,idle
d_ex_tower_05_3,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_3,True,,12,S_10,1.0,,soda,soda,,,,,,1,sad,,,13,idle
d_ex_tower_05_4,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_4,True,,S_10,S_10,1.0,,soda,soda,,,,,,1,sad,,,13,idle
d_ex_tower_05_5,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_5,True,,S_10,S_10,1.0,,soda,soda,,,,,,1,sad,,,13,idle
d_ex_tower_05_6,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_6,True,,S_10,S_130,1.0,,exia,exia,,,,,,1,sad,,,13,good
d_ex_tower_05_7,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_7,True,,S_130,S_130,1.0,,exia,exia,,,,,,1,sad,,,13,good
d_ex_tower_05_8,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_8,True,,S_130,12,1.0,,soda,soda,,,,,,1,sad,,,13,good
d_ex_tower_05_9,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_9,True,,12,12,1.0,,soda,soda,,,,,,1,sad,,,13,good
d_ex_tower_05_10,d_ex_tower_05,Self,Locale_SuddenStory:d_ex_tower_05_10,False,,12,12,1.0,,soda,,,,,,,1,sad,,,13,good
d_ex_tower_05_11,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_11,True,,12,S_130,1.0,,exia,exia,,,,,,1,sad,,,13,idle
d_ex_tower_05_12,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_12,True,,S_130,S_130,1.0,,exia,exia,,,,,,1,sad,,,13,idle
d_ex_tower_05_13,d_ex_tower_05,Self,Locale_SuddenStory:d_ex_tower_05_13,False,,S_130,S_130,1.0,,exia,,,,,,,1,sad,,,13,idle
d_ex_tower_05_14,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_14,True,,S_130,S_1300,0.5,,exia,exia,,,,,,1,sad,,,13,delight
d_ex_tower_05_15,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_15,True,,S_1300,S_1300,1.0,,exia,exia,,,,,,1,sad,,,13,delight
d_ex_tower_05_16,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_16,True,,S_1300,S_1300,1.0,,exia,exia,,,,,,1,sad,,,13,delight
d_ex_tower_05_17,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_17,True,,S_1300,S_1300,1.0,,exia,exia,,,,,,1,sad,,,13,delight
d_ex_tower_05_18,d_ex_tower_05,Self,Locale_SuddenStory:d_ex_tower_05_18,False,,S_1300,S_1300,1.0,,exia,,,,,,,1,sad,,,13,delight
d_ex_tower_05_19,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_19,True,,S_10,S_10,1.0,,soda,soda,,,,,,1,sad,,,13,idle
d_ex_tower_05_20,d_ex_tower_05,Speech,Locale_SuddenStory:d_ex_tower_05_20,True,,S_1300,S_130,1.0,,exia,exia,,,,,,1,sad,,,13,good
d_ex_tower_05_21,d_ex_tower_05,Narration,Locale_SuddenStory:d_ex_tower_05_21,False,,black,black,1.0,none,exia,,,,,,,1,serious,,,13,good
