id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_ex_outdoorpool_01_1,d_ex_outdoorpool_01,Speech,mast,mast,Locale_SuddenStory:d_ex_outdoorpool_01_1,True,Pool,50,50,1.0,bgm_story_orangepop,,,mast,5,delight,anchor,3,angry,helm,1,idle,neon_s,13,idle,
d_ex_outdoorpool_01_2,d_ex_outdoorpool_01,Speech,anchor,anchor,Locale_SuddenStory:d_ex_outdoorpool_01_2,True,,S_30,S_30,1.0,,,,,5,delight,,3,angry,,1,idle,,13,idle,
d_ex_outdoorpool_01_3,d_ex_outdoorpool_01,Self,anchor,,Locale_SuddenStory:d_ex_outdoorpool_01_3,False,,10,10,1.0,,,,,5,delight,,3,angry,,1,idle,,13,idle,
d_ex_outdoorpool_01_4,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_4,True,,10,10,1.0,,,,,5,idle,,3,angry,,1,surprise,,13,idle,
d_ex_outdoorpool_01_5,d_ex_outdoorpool_01,Speech,mast,mast,Locale_SuddenStory:d_ex_outdoorpool_01_5,True,,50,50,1.0,,,,,5,angry,,3,angry,,1,surprise,,13,idle,
d_ex_outdoorpool_01_6,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_6,True,,10,100,1.0,none,,,,5,angry,,3,idle,,1,no,,13,idle,
d_ex_outdoorpool_01_7,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_7,True,,100,100,1.0,,,,,5,idle,,3,idle,,1,angry,,13,idle,
d_ex_outdoorpool_01_8,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_8,True,,100,100,1.0,,,,,5,idle,,3,idle,,1,angry,,13,idle,
d_ex_outdoorpool_01_9,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_9,True,,100,100,1.0,,,,,5,idle,,3,idle,,1,angry,,13,idle,
d_ex_outdoorpool_01_10,d_ex_outdoorpool_01,Speech,anchor,anchor,Locale_SuddenStory:d_ex_outdoorpool_01_10,True,,S_30,S_30,1.0,,,,,5,idle,,3,sad,,1,angry,,13,idle,
d_ex_outdoorpool_01_11,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_11,True,,100,10,1.0,,,,,5,idle,,3,sad,,1,angry,,13,idle,
d_ex_outdoorpool_01_12,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_12,True,,10,10,1.0,,,,,5,idle,,3,idle,,1,angry,,13,idle,
d_ex_outdoorpool_01_13,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_13,True,,10,10,1.0,,,,,5,idle,,3,idle,,1,angry,,13,idle,
d_ex_outdoorpool_01_14,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_14,True,,10,10,1.0,,,,,5,idle,,3,idle,,1,angry,,13,idle,
d_ex_outdoorpool_01_15,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_15,True,,10,12,1.0,,,,,5,idle,,3,idle,,1,angry,,13,idle,
d_ex_outdoorpool_01_16,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_16,True,,12,12,1.0,bgm_story_orangepop,,,,5,idle,,3,idle,,1,idle,,13,shy,
d_ex_outdoorpool_01_17,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_17,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,13,shy,
d_ex_outdoorpool_01_18,d_ex_outdoorpool_01,Self,neon_s,,Locale_SuddenStory:d_ex_outdoorpool_01_18,False,,12,12,1.0,,,,,5,idle,,3,idle,,1,idle,,13,shy,
d_ex_outdoorpool_01_19,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_19,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,surprise,,13,surprise,
d_ex_outdoorpool_01_20,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_20,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,surprise,,13,angry,
d_ex_outdoorpool_01_21,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_21,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,no,,13,angry,
d_ex_outdoorpool_01_22,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_22,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,no,,13,idle,
d_ex_outdoorpool_01_23,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_23,True,,12,XS_130,1.0,,,,,5,idle,,3,idle,,1,no,,13,no,
d_ex_outdoorpool_01_24,d_ex_outdoorpool_01,Self,neon_s,,Locale_SuddenStory:d_ex_outdoorpool_01_24,False,,XS_130,XS_130,1.0,,,,,5,idle,,3,idle,,1,idle,,13,no,
d_ex_outdoorpool_01_25,d_ex_outdoorpool_01,Self,neon_s,,Locale_SuddenStory:d_ex_outdoorpool_01_25,False,,XS_130,XS_130,1.0,,,,,5,idle,,3,idle,,1,idle,,13,no,
d_ex_outdoorpool_01_26,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_26,True,,XS_130,XS_130,1.0,,,,,5,idle,,3,idle,,1,idle,,13,no,
d_ex_outdoorpool_01_27,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_27,True,,XS_130,XS_130,1.0,none,,,,5,idle,,3,idle,,1,idle,,13,no,
d_ex_outdoorpool_01_28,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_28,True,,10,100,0.5,,,,,5,idle,,3,idle,,1,surprise,,13,no,
d_ex_outdoorpool_01_29,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_29,True,,100,100,1.0,,,,,5,idle,,3,idle,,1,surprise,,13,no,
d_ex_outdoorpool_01_30,d_ex_outdoorpool_01,Monologue,helm,,Locale_SuddenStory:d_ex_outdoorpool_01_30,False,,XS_130,XS_1300,2.0,,,,,5,idle,,3,idle,,1,surprise,,13,no,
d_ex_outdoorpool_01_31,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_31,True,,black,black,1.0,,,,,5,idle,,3,idle,,1,surprise,,13,no,
d_ex_outdoorpool_01_32,d_ex_outdoorpool_01,Monologue,neon_s,,Locale_SuddenStory:d_ex_outdoorpool_01_32,False,,XS_1300,13,1.0,bgm_story_herecomestrouble,Low_2,,,5,idle,,3,idle,,1,no,,13,no,
d_ex_outdoorpool_01_33,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_33,True,,13,13,1.0,,,,,5,idle,,3,idle,,1,no,,13,no,
d_ex_outdoorpool_01_34,d_ex_outdoorpool_01,Self,neon_s,,Locale_SuddenStory:d_ex_outdoorpool_01_34,False,,13,13,1.0,,,,,5,idle,,3,idle,,1,no,,13,no,
d_ex_outdoorpool_01_35,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_35,True,,13,XS_130,1.0,,Low_2,,,5,idle,,3,idle,,1,no,,13,angry,
d_ex_outdoorpool_01_36,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_36,True,,XS_130,XS_130,1.0,,Low_2,,,5,idle,,3,idle,,1,no,,13,angry,
d_ex_outdoorpool_01_37,d_ex_outdoorpool_01,Speech,helm,helm,Locale_SuddenStory:d_ex_outdoorpool_01_37,True,,XS_130,10,2.0,,,,,5,idle,,3,idle,,1,no,,13,angry,
d_ex_outdoorpool_01_38,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_38,True,,10,12,1.0,,,,,5,idle,,3,idle,,1,no,,13,no,
d_ex_outdoorpool_01_39,d_ex_outdoorpool_01,Self,neon_s,,Locale_SuddenStory:d_ex_outdoorpool_01_39,False,,12,12,1.0,,,,,5,idle,,3,idle,,1,no,,13,no,
d_ex_outdoorpool_01_40,d_ex_outdoorpool_01,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_outdoorpool_01_40,True,,12,12,1.0,,,,,5,idle,,3,idle,,1,no,,13,no,
