id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,play_sound,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
d_main_39_11_1,d_main_39_11,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_11_1,True,nayuta_n,1,idle,rapi_red,13,idle,maxwell_p,3,idle,laplace_p,5,idle,drake_p,7,idle,WhaleyBack,black,black,1.0,bgm_chapter39_field_gliding,,,,,,,,,,,,,,,
d_main_39_11_2,d_main_39_11,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_11_2,True,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,75,75,1.0,,,,,,,,,,,,,,,,
d_main_39_11_3,d_main_39_11,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_11_3,True,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,75,75,1.0,,,,,,,,,,,,,,,,
d_main_39_11_4,d_main_39_11,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_11_4,True,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,75,31,1.5,,,,,,,,,,,,,,,,
d_main_39_11_5,d_main_39_11,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_11_5,True,,1,idle_02,,13,idle,,3,idle,,5,idle,,7,idle,,31,31,1.0,,,,,,,,,,,,,,,,
d_main_39_11_6,d_main_39_11,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_11_6,True,,1,idle_02,,13,idle,,3,idle,,5,idle,,7,idle,,31,31,1.0,,,,,,,,,,,,,,,,
d_main_39_11_7,d_main_39_11,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_11_7,True,,1,idle_02,,13,idle,,3,idle,,5,idle,,7,idle,,31,31,1.0,,,,,,,,,,,,,,,,
d_main_39_11_8,d_main_39_11,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_11_8,True,,1,idle_02,,13,idle,,3,idle,,5,idle,,7,idle,,31,75,1.5,,,,,,,,,,,,,,,,
d_main_39_11_9,d_main_39_11,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_11_9,True,,1,idle_02,,13,idle,,3,idle,,5,idle,,7,idle,,75,75,1.0,,,,,,,,,,,,,,,,
d_main_39_11_10,d_main_39_11,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_11_10,False,,1,idle_02,,13,idle,,3,idle,,5,idle,,7,idle,,100,100,1.0,,,,,,,,,,,,,,,,
d_main_39_11_11,d_main_39_11,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_11_11,True,,1,idle_02,,13,idle,,3,idle,,5,idle,,7,idle,,100,100,1.0,,,,,,,,,,,,,,,,
d_main_39_11_12,d_main_39_11,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_11_12,True,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,100,10,1.0,,,,,,,,,,,,,,,,
d_main_39_11_13,d_main_39_11,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_11_13,True,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,,,,,,,,,,,,,,
d_main_39_11_14,d_main_39_11,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_11_14,True,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,L_70,L_70,1.0,,,,,,,,,,,,,,,,
d_main_39_11_15,d_main_39_11,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_11_15,True,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,L_70,S_50,1.0,,,,,,,,,,,,,,,,
d_main_39_11_16,d_main_39_11,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_11_16,True,,1,delight,,13,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,,,,,,,,,,,,,,
d_main_39_11_17,d_main_39_11,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_11_17,True,,1,delight,,13,idle,,3,worry,,5,idle,,7,idle,,10,L_30,1.0,,,,,,,,,,,,,,,,
d_main_39_11_18,d_main_39_11,Self,maxwell_p,,Locale_MainScenario:d_main_39_11_18,False,,1,delight,,13,idle,,3,worry,,5,idle,,7,idle,,L_30,L_30,1.0,,,,,,,,,,,,,,,,
d_main_39_11_19,d_main_39_11,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_11_19,True,,1,idle,,13,idle,,3,worry,,5,idle,,7,idle,,L_30,L_30,1.0,,,,,,,,,,,,,,,,
d_main_39_11_20,d_main_39_11,Monologue,maxwell_p,,Locale_MainScenario:d_main_39_11_20,False,,1,idle,,13,idle,,3,worry,,5,idle,,7,idle,,L_30,L_30,1.0,,,,,,,,,,,,,,,,
d_main_39_11_21,d_main_39_11,Self,maxwell_p,,Locale_MainScenario:d_main_39_11_21,False,,1,idle,,13,idle,,3,worry,,5,idle,,7,idle,,L_30,L_30,1.0,,,,,,,,,,,,,,,,
d_main_39_11_22,d_main_39_11,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_11_22,True,,1,idle,,13,think,,3,worry,,5,idle,,7,idle,,130,130,1.0,,,,,,,,,,,,,,,,
d_main_39_11_23,d_main_39_11,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_11_23,False,,1,idle,,13,think,,3,worry,,5,idle,,7,idle,,130,130,1.0,,,,,,,,,,,,,,,,
d_main_39_11_24,d_main_39_11,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_11_24,True,,1,idle,,13,think,,3,worry,,5,idle,,7,idle,,130,130,1.0,,,,,,,,,,,,,,,,
d_main_39_11_25,d_main_39_11,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_11_25,True,,1,idle,,13,think,,3,worry,,5,idle,,7,idle,,130,130,1.0,,,,,,,,,,,,,,,,
d_main_39_11_26,d_main_39_11,Self,rapi_red,,Locale_MainScenario:d_main_39_11_26,False,,1,idle,,13,think,,3,worry,,5,idle,,7,idle,,130,130,1.0,,,,,,,,,,,,,,,,
d_main_39_11_27,d_main_39_11,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_11_27,False,,1,idle,,13,think,,3,idle,,5,idle,,7,idle,,130,1300,1.0,,,,,,,,,,,,,,,,
d_main_39_11_28,d_main_39_11,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_11_28,True,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,1300,1300,1.0,,,,,,,,,,,,,,,,
d_main_39_11_29,d_main_39_11,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_11_29,True,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,1300,1300,1.0,,,,,,,,,,,,,,,,
d_main_39_11_30,d_main_39_11,Self,rapi_red,,Locale_MainScenario:d_main_39_11_30,False,,1,idle,,13,idle,,3,idle,,5,idle,,7,idle,,1300,1300,1.0,,,,,,,,,,,,,,,,
