id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/1/hide_char_id
d_main_12_06_1,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_1,True,anis,1,idle,laplace,3,idle,rapi,13,idle,eunhwa,15,idle,emma,17,idle,Factory,10,10,1.0,bgm_groundfall,,,,,
d_main_12_06_2,d_main_12_06,Speech,shifty,shifty,Locale_MainScenario:d_main_12_06_2,True,,,idle,,,idle,,,idle,,,idle,,,idle,,10,10,1.0,,shifty,OP_leftup,idle,,
d_main_12_06_3,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_3,True,,,sad,,,idle,,,idle,,,idle,,,idle,,10,10,1.0,,,,,shifty,
d_main_12_06_4,d_main_12_06,Speech,laplace,laplace,Locale_MainScenario:d_main_12_06_4,True,,,sad,,,idle,,,idle,,,idle,,,idle,,10,31,1.0,,,,,,
d_main_12_06_5,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_5,True,,,angry,,,idle,,,idle,,,idle,,,idle,,31,31,1.0,,,,,,
d_main_12_06_6,d_main_12_06,Speech,rapi,rapi,Locale_MainScenario:d_main_12_06_6,True,,,angry,,,idle,,,idle,,,idle,,,idle,,130,130,1.0,,,,,,
d_main_12_06_7,d_main_12_06,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_06_7,False,,,void,,,idle,,,idle,,,idle,,,idle,,130,1517,1.0,,,,,,
d_main_12_06_8,d_main_12_06,Speech,emma,emma,Locale_MainScenario:d_main_12_06_8,False,,,void,,,idle,,,idle,,,idle,,,idle,,1517,1517,1.0,,,,,,laplace
d_main_12_06_9,d_main_12_06,Narration,,Narration,Locale_MainScenario:d_main_12_06_9,True,,,void,neon,3,idle,,,idle,,,idle,,,idle,,1517,1517,1.0,,,,,,
d_main_12_06_10,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_10,True,,,void,,,idle,,,idle,,,idle,,,idle,,10,10,1.0,,,,,,
d_main_12_06_11,d_main_12_06,Narration,,Narration,Locale_MainScenario:d_main_12_06_11,True,,,void,,,idle,,,idle,,,idle,,,idle,,10,10,1.0,,,,,,
d_main_12_06_12,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_12,False,,,void,,,idle,,,idle,,,idle,,,idle,,10,31,1.0,,,,,,
d_main_12_06_13,d_main_12_06,Speech,neon,neon,Locale_MainScenario:d_main_12_06_13,False,,,void,,,idle,,,idle,,,idle,,,idle,,31,31,1.0,,,,,,
d_main_12_06_14,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_14,True,,,pain,,,idle,,,idle,,,idle,,,idle,,31,31,1.0,,,,,,
d_main_12_06_15,d_main_12_06,Speech,neon,neon,Locale_MainScenario:d_main_12_06_15,True,,,pain,,,idle,,,idle,,,idle,,,idle,,31,31,1.0,,,,,,
d_main_12_06_16,d_main_12_06,Narration,,Narration,Locale_MainScenario:d_main_12_06_16,True,,,pain,,,idle,,,idle,,,idle,,,idle,,130,130,1.0,,,,,,
d_main_12_06_17,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_17,True,,,angry,,,idle,,,idle,,,idle,,,idle,,130,113,1.0,,,,,,
d_main_12_06_18,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_18,True,,,angry,,,idle,,,idle,,,idle,,,idle,,113,113,1.0,,,,,,
d_main_12_06_19,d_main_12_06,Self,,Self,Locale_MainScenario:d_main_12_06_19,True,,,angry,,,idle,,,idle,,,idle,,,idle,,113,113,1.0,,,,,,
d_main_12_06_20,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_20,True,,,void,,,idle,,,idle,,,idle,,,idle,,113,113,1.0,,,,,,
d_main_12_06_21,d_main_12_06,Speech,anis,anis,Locale_MainScenario:d_main_12_06_21,True,,,void,,,idle,,,idle,,,idle,,,idle,,113,113,1.0,,,,,,
