id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,conversation_id,play_sound,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_23_04_1,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_1,True,anis,3,void,moran,1,think,neon,5,idle,rapi,7,idle,ArkRuinIndoor,3,3,1.0,bgm_greyhaze,,,,,,,,,
d_main_23_04_2,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_2,True,,3,void,,1,think,,5,idle,,7,idle,,3,6,1.0,,,,,,,,,,
d_main_23_04_3,d_main_23_04,Speech,neon,neon,Locale_MainScenario:d_main_23_04_3,True,,3,void,,1,think,,5,idle,,7,idle,,6,6,1.0,,,,,,,,,,
d_main_23_04_4,d_main_23_04,Speech,neon,neon,Locale_MainScenario:d_main_23_04_4,True,,3,void,,1,think,,5,idle,,7,idle,,6,6,1.0,,,,,,,,,,
d_main_23_04_5,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_5,True,,3,void,,1,think,,5,idle,,7,idle,,10,10,1.0,,,,,,,,,,
d_main_23_04_6,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_6,True,,3,void,,1,think,,5,idle,,7,idle,,10,2,1.0,,,,,,,,,,
d_main_23_04_7,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_7,True,,3,void,,1,think,,5,idle,,7,idle,,2,2,1.0,,,,,,,,,,
d_main_23_04_8,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_8,True,,3,void,,1,think,,5,idle,,7,idle,,2,2,1.0,,,,,,,,,,
d_main_23_04_9,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_9,True,,3,void,,1,think,,5,idle,,7,idle,,2,2,1.0,,,,,,,,,,
d_main_23_04_10,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_10,True,,3,void,,1,think,,5,idle,,7,idle,,2,30,1.0,,,,,,,,,,
d_main_23_04_11,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_11,True,,3,sad,,1,think,,5,idle,,7,idle,,30,30,1.0,,,,,,,,,,
d_main_23_04_12,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_12,False,,3,sad,,1,think,,5,idle,,7,idle,,30,30,1.0,,,,,,,,,,
d_main_23_04_13,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_13,False,,3,sad,,1,think,,5,idle,,7,idle,,30,4,1.0,,,,,,,,,,
d_main_23_04_14,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_14,True,,3,angry,,1,think,,5,idle,,7,idle,,4,4,1.0,,Low_2,,,,,,,,
d_main_23_04_15,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_15,True,,3,angry,,1,think,,5,idle,,7,idle,,4,4,1.0,,,,,,,,,,
d_main_23_04_16,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_16,True,,3,angry,,1,think,,5,idle,,7,idle,,4,4,1.0,,,,,,,,,,
d_main_23_04_17,d_main_23_04,Speech,neon,neon,Locale_MainScenario:d_main_23_04_17,True,,3,angry,,1,think,,5,idle,,7,idle,,4,4,1.0,,,,,,,,,,
d_main_23_04_18,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_18,True,,3,angry,,1,think,,5,idle,,7,idle,,4,4,1.0,,,,,,,,,,
d_main_23_04_19,d_main_23_04,Speech,neon,neon,Locale_MainScenario:d_main_23_04_19,True,,3,angry,,1,think,,5,idle,,7,idle,,4,4,1.0,,,,,,,,,,
d_main_23_04_20,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_20,True,,3,angry,,1,think,,5,idle,,7,idle,,4,4,1.0,,,,,,,,,,
d_main_23_04_21,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_21,True,,3,angry,,1,think,,5,idle,,7,idle,,10,10,1.0,,,,,,,,,,
d_main_23_04_22,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_22,True,,3,angry,,1,think,,5,idle,,7,idle,,70,70,1.0,,,,,,,,,,
d_main_23_04_23,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_23,True,,3,angry,,1,think,,5,idle,,7,idle,,10,10,1.0,,,,,,,,,,
d_main_23_04_24,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_24,True,,3,angry,,1,think,,5,idle,,7,idle,,10,10,1.0,,,,,,,,,,
d_main_23_04_25,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_25,True,,3,angry,,1,think,,5,idle,,7,idle,,10,10,1.0,,,,,,,,,,
d_main_23_04_26,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_26,False,,3,angry,,1,think,,5,idle,,7,idle,,10,16,1.0,,,,,,,,,,
d_main_23_04_27,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_27,True,,3,angry,,1,think,,5,idle,,7,idle,,6,6,1.0,,,,,,,,,,
d_main_23_04_28,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_28,True,,3,angry,,1,think,,5,idle,,7,idle,,6,6,1.0,,,,,,,,,,
d_main_23_04_29,d_main_23_04,Self,,,Locale_MainScenario:d_main_23_04_29,False,,3,angry,,1,think,,5,idle,,7,idle,,6,6,1.0,,,,,,,,,,
d_main_23_04_30,d_main_23_04,Speech,neon,neon,Locale_MainScenario:d_main_23_04_30,True,,3,angry,,1,think,,5,surprise,,7,idle,,6,6,1.0,,,,,,,,,,
d_main_23_04_31,d_main_23_04,Self,,,Locale_MainScenario:d_main_23_04_31,False,,3,angry,,1,think,,5,surprise,,7,idle,,6,6,1.0,,,,,,,,,,
d_main_23_04_32,d_main_23_04,Speech,neon,neon,Locale_MainScenario:d_main_23_04_32,True,,3,angry,,1,think,,5,surprise,,7,idle,,6,6,1.0,,,,,,,,,,
d_main_23_04_33,d_main_23_04,Speech,neon,neon,Locale_MainScenario:d_main_23_04_33,True,,3,angry,,1,think,,5,surprise,,7,idle,,6,6,1.0,none,,,,,,,,,
d_main_23_04_34,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_34,True,,3,angry,,1,think,,5,surprise,,7,idle,,30,30,1.0,bgm_emergency,,,,,,,,,
d_main_23_04_35,d_main_23_04,Narration,,,Locale_MainScenario:d_main_23_04_35,False,,3,angry,,1,think,,5,surprise,,7,idle,,30,16,1.0,,,,,,,,,,
d_main_23_04_36,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_36,False,,3,angry,,1,think,,5,surprise,,7,idle,,16,16,1.0,,,,,,,,,,
d_main_23_04_37,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_37,False,,3,void,,1,think,,5,surprise,,7,idle,,16,16,1.0,,,massproduction01,16,idle,,,,,
d_main_23_04_38,d_main_23_04,Speech,massproduction01,massproduction01,Locale_MainScenario:d_main_23_04_38,True,,3,void,,1,think,,5,surprise,,7,idle,,16,16,1.0,,,,16,idle,,,,,
d_main_23_04_39,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_39,True,,3,void,,1,think,,5,idle,,7,worry,,70,70,1.0,,,,16,idle,,,,,
