id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,play_sound,set_camera_shake,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_25_03_e_1,d_main_25_03_e,Speech,neon,neon,Locale_MainScenario:d_main_25_03_e_1,True,WasteLand_02_n,S_130,S_130,1.0,bgm_chaser,,,,,,dorothy,3,think,,anis,1,void,,neon,13,worry,
d_main_25_03_e_2,d_main_25_03_e,Speech,anis,anis,Locale_MainScenario:d_main_25_03_e_2,True,,S_130,10,1.0,,,,,,,,3,think,,,1,void,,,13,worry,
d_main_25_03_e_3,d_main_25_03_e,Self,anis,,Locale_MainScenario:d_main_25_03_e_3,False,,10,10,1.0,,,,,,,,3,think,,,1,void,,,13,idle,
d_main_25_03_e_4,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_4,True,,10,30,1.0,,,,,,,,3,think,,,1,void,,,13,idle,
d_main_25_03_e_5,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_5,True,,30,30,1.0,,,,,,,,3,think,,,1,void,,,13,idle,
d_main_25_03_e_6,d_main_25_03_e,Speech,anis,anis,Locale_MainScenario:d_main_25_03_e_6,True,,10,10,1.0,,,,,,,,3,think,,,1,void,,,13,idle,
d_main_25_03_e_7,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_7,True,,30,30,1.0,,,,,,,,3,think,,,1,void,,,13,idle,
d_main_25_03_e_8,d_main_25_03_e,Speech,neon,neon,Locale_MainScenario:d_main_25_03_e_8,True,,S_130,S_130,1.0,,,,,,,,3,think,,,1,void,,,13,surprise,
d_main_25_03_e_9,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_9,True,,30,2,1.0,,,,,,,,3,idle,,,1,void,,,13,surprise,
d_main_25_03_e_10,d_main_25_03_e,Speech,anis,anis,Locale_MainScenario:d_main_25_03_e_10,True,,2,2,1.0,,,,,,,,3,idle,,,1,void,,,13,surprise,
d_main_25_03_e_11,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_11,True,,2,2,1.0,,,,,,,,3,idle,,,1,void,,,13,surprise,
d_main_25_03_e_12,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_12,True,,2,2,1.0,,,,,,,,3,think,,,1,void,,,13,surprise,
d_main_25_03_e_13,d_main_25_03_e,Speech,neon,neon,Locale_MainScenario:d_main_25_03_e_13,True,,2,12,1.0,,,,,,,,3,idle,,,1,void,,,13,surprise,
d_main_25_03_e_14,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_14,True,,30,30,1.0,,,,,,,,3,idle,,,1,void,,,13,surprise,
d_main_25_03_e_15,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_15,True,,30,30,1.0,,,,,,,,3,idle,,,1,void,,,13,surprise,
d_main_25_03_e_16,d_main_25_03_e,Speech,anis,anis,Locale_MainScenario:d_main_25_03_e_16,True,,10,10,1.0,,,,,,,,3,idle,,,1,void,,,13,surprise,
d_main_25_03_e_17,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_17,True,,30,30,1.0,,,,,,,,3,idle,,,1,void,,,13,surprise,
d_main_25_03_e_18,d_main_25_03_e,Speech,neon,neon,Locale_MainScenario:d_main_25_03_e_18,True,,S_130,S_130,1.0,,,,,,,,3,idle,,,1,void,,,13,surprise,
d_main_25_03_e_19,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_19,True,,30,300,2.0,,,,,,,,3,angry,,,1,void,,,13,surprise,
d_main_25_03_e_20,d_main_25_03_e,Speech,anis,anis,Locale_MainScenario:d_main_25_03_e_20,True,,12,12,1.0,,,,,,,,3,angry,,,1,idle,,,13,surprise,
d_main_25_03_e_21,d_main_25_03_e,Speech,neon,neon,Locale_MainScenario:d_main_25_03_e_21,True,,12,12,1.0,,,,,,,,3,angry,,,1,idle,,,13,surprise,
d_main_25_03_e_22,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_22,False,,300,300,1.0,,,,,,,,3,think,,,1,idle,,,13,surprise,
d_main_25_03_e_23,d_main_25_03_e,Self,dorothy,,Locale_MainScenario:d_main_25_03_e_23,False,,300,300,1.0,,,,,,,,3,think,,,1,idle,,,13,idle,
d_main_25_03_e_24,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_24,True,,300,300,1.0,,,,,,,,3,angry,,,1,idle,,,13,idle,
d_main_25_03_e_25,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_25,False,,300,30,1.0,,,,,,,,3,angry,,,1,idle,,,13,idle,
d_main_25_03_e_26,d_main_25_03_e,Speech,anis,anis,Locale_MainScenario:d_main_25_03_e_26,True,,12,12,1.0,,,,,,,,3,angry,,,1,delight,,,13,delight,
d_main_25_03_e_27,d_main_25_03_e,Speech,neon,neon,Locale_MainScenario:d_main_25_03_e_27,True,,12,12,1.0,,,,,,,,3,angry,,,1,delight,,,13,delight,
d_main_25_03_e_28,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_28,False,,30,30,1.0,,,,,,,,3,think,,,1,delight,,,13,delight,
d_main_25_03_e_29,d_main_25_03_e,Self,dorothy,,Locale_MainScenario:d_main_25_03_e_29,False,,30,30,1.0,,,,,,,,3,think,,,1,idle,,,13,idle,
d_main_25_03_e_30,d_main_25_03_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_03_e_30,True,,30,3,1.0,,,,,,,,3,think,,,1,idle,,,13,idle,
d_main_25_03_e_31,d_main_25_03_e,Narration,dorothy,,Locale_MainScenario:d_main_25_03_e_31,False,,3,7,2.0,,,,,,,,3,think,dorothy,,1,idle,,,13,idle,
d_main_25_03_e_32,d_main_25_03_e,Monologue,dorothy,,Locale_MainScenario:d_main_25_03_e_32,False,none,black,black,1.0,none,Vignetting,black,,,,,,,,nihilister_broken,1,idle,anis,,13,idle,neon
d_main_25_03_e_33,d_main_25_03_e,Monologue,dorothy,,Locale_MainScenario:d_main_25_03_e_33,False,,nihilister_broken_04,nihilister_broken_05,2.0,bgm_volcanicnest_a,Vignetting,,,,,,,,,,1,idle,,,,,
