id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id
d_main_10_04_1,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_1,True,emma,17,idle,neon,15,idle,Desert_02,16,16,1.0,bgm_areah_a,,,,,,,,,,,,,,
d_main_10_04_2,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_2,True,,17,idle,,15,idle,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_3,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_3,False,,17,idle,,15,surprise,,16,S_150,0.8,,,,,,,,,,,,,,,
d_main_10_04_4,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_4,True,,17,surprise,,15,surprise,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_5,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_5,True,,17,surprise,,15,surprise,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_6,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_6,False,,17,surprise,,15,surprise,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_7,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_7,True,,17,surprise,,15,surprise,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_8,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_8,True,,17,worry,,15,surprise,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_9,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_9,True,,17,worry,,15,idle,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_10,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_10,True,,17,worry,,15,idle,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_11,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_11,True,,17,worry,,15,idle,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_12,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_12,True,,17,worry,,15,worry,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_13,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_13,False,,17,worry,,15,worry,,16,170,1.0,,,,,,,,,,,,,,,
d_main_10_04_14,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_14,True,,17,idle,,15,worry,,170,170,1.0,,,,,,,,,,,,,,,
d_main_10_04_15,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_15,False,,17,idle,,15,idle,,170,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_16,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_16,True,,17,delight,,15,idle,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_17,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_17,True,,17,delight,,15,idle,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_18,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_18,False,,17,delight,,15,shy,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_19,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_19,True,,17,delight,,15,surprise,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_20,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_20,True,,17,delight,,15,surprise,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_21,d_main_10_04,Speech,neon,neon,Locale_MainScenario:d_main_10_04_21,True,,17,delight,,15,no,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_22,d_main_10_04,Speech,emma,emma,Locale_MainScenario:d_main_10_04_22,True,,17,surprise,,15,no,,16,16,1.0,,,,,,,,,,,,,,,
d_main_10_04_23,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_23,False,,17,surprise,,15,no,,10,10,1.0,,emma,neon,shifty,OP_center,idle,,,,,,,,,
d_main_10_04_24,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_24,True,,,,,,,,10,10,1.0,,,,,OP_center,idle,,,,,,,,,
d_main_10_04_25,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_25,True,,,,,,,,10,10,1.0,,,,,OP_center,idle,,,,,,,,,
d_main_10_04_26,d_main_10_04,Choice,,,Locale_MainScenario:d_main_10_04_26,False,,,,,,,,10,10,1.0,,,,,OP_center,idle,d_main_10_04_29,,,,,,,,
d_main_10_04_27,d_main_10_04,Choice,,,Locale_MainScenario:d_main_10_04_27,False,,,,,,,,10,10,1.0,,,,,OP_center,idle,d_main_10_04_28,,,,,,,,
d_main_10_04_28,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_28,True,,,,,,,,10,10,1.0,,,,,OP_center,idle,d_main_10_04_29,,,,,,,,
d_main_10_04_29,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_29,True,,,,,,,,10,10,1.0,,,,,OP_center,idle,,,,,,,,,
d_main_10_04_30,d_main_10_04,Self,,Self,Locale_MainScenario:d_main_10_04_30,False,,,,,,,,10,10,1.0,,,,,OP_center,idle,,,,,,,,,
d_main_10_04_31,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_31,True,,,,,,,,10,10,1.0,,,,,OP_center,idle,,,,,,,,,
d_main_10_04_32,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_32,True,,,,,,,,10,10,1.0,,,,,OP_center,surprise,,,,,,,,,
d_main_10_04_33,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_33,True,,,,,,,,10,10,1.0,,,,,OP_center,delight,,,,,,,,,
d_main_10_04_34,d_main_10_04,Self,,Self,Locale_MainScenario:d_main_10_04_34,False,,,,,,,,10,10,1.0,,,,,OP_center,delight,,,,,,,,,
d_main_10_04_35,d_main_10_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_04_35,True,,,,,,,,10,10,1.0,none,,,,OP_leftup,idle,,eunhwa,1,idle,rapi,13,idle,,
d_main_10_04_36,d_main_10_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_04_36,True,,,,,,,,10,10,1.0,,,,,OP_leftup,idle,,,1,idle,,13,idle,,
d_main_10_04_37,d_main_10_04,Speech,rapi,rapi,Locale_MainScenario:d_main_10_04_37,False,,,,,,,,10,12,1.0,,,,,OP_leftup,idle,,,1,idle,,13,idle,,
d_main_10_04_38,d_main_10_04,Narration,,Narration,Locale_MainScenario:d_main_10_04_38,False,,,,,,,,12,12,1.0,bgm_enemyclose,,,,OP_leftup,idle,,,1,idle,,13,idle,,
d_main_10_04_39,d_main_10_04,Speech,rapi,rapi,Locale_MainScenario:d_main_10_04_39,False,,,,,,,,12,12,1.0,,,,,OP_leftup,idle,,,1,idle,,13,idle,,
d_main_10_04_40,d_main_10_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_04_40,False,,,,,,,,12,12,1.0,,,,,OP_leftup,idle,,,1,idle,,13,idle,,
d_main_10_04_41,d_main_10_04,Speech,rapi,rapi,Locale_MainScenario:d_main_10_04_41,False,,,,,,,,12,12,1.0,,,,,OP_leftup,idle,,,1,idle,,13,idle,,
