id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/8/hide_char_id,set_filter_01,fade
d_main_20_01_1,d_main_20_01,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_01_1,True,cecil_op_c,OP_center,idle,dorothy,8,idle_alt,Desert_03,14,14,1.0,bgm_volcanicnest_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_01_2,d_main_20_01,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_01_2,True,,OP_center,idle,,8,idle_alt,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_01_3,d_main_20_01,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_01_3,True,,OP_center,idle,,8,idle_alt,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_01_4,d_main_20_01,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_01_4,True,,OP_center,special,,8,idle_alt,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_01_5,d_main_20_01,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_01_5,True,,OP_center,special,,8,idle_alt,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_01_6,d_main_20_01,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_01_6,True,,OP_center,special,,8,idle_alt,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_01_7,d_main_20_01,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_01_7,True,,OP_center,idle,,8,idle_alt,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_01_8,d_main_20_01,Self,,Self,Locale_MainScenario:d_main_20_01_8,False,,OP_center,idle,,8,idle_alt,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_01_9,d_main_20_01,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_01_9,True,,OP_center,idle,,8,idle_alt,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_01_10,d_main_20_01,Speech,cecil_op_c,cecil_op_c,Locale_MainScenario:d_main_20_01_10,True,,OP_center,idle,,8,idle_alt,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
