id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,set_camera_shake,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_23_09_e_1,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_1,False,none,black,black,1.0,bgm_disaster,,,,,,,,,,,,,,,,,,
d_main_23_09_e_2,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_main_23_09_e_3,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_3,False,BurningCity,1,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_4,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_4,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_5,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_5,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_6,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_6,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_7,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_7,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_8,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_8,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_9,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_9,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_10,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_10,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_11,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_11,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_12,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_12,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_13,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_13,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_14,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_14,False,,10,10,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_15,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_15,False,none,black,black,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_16,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_16,False,,black,black,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_17,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_17,False,,black,black,1.0,,Grey,Blur_Low,,,,,,,,,,,,,,,,
d_main_23_09_e_18,d_main_23_09_e,Narration,Locale_MainScenario:d_main_23_09_e_18,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_main_23_09_e_19,d_main_23_09_e,Self,Locale_MainScenario:d_main_23_09_e_19,False,ArkRuinIndoor,13,130,0.7,,,,crow,13,smile,viper,15,good,,,,,,,,,,
d_main_23_09_e_20,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_20,False,,130,130,1.0,,,,,13,smile,,15,good,,,,,,,,,,
d_main_23_09_e_21,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_21,False,,130,130,1.0,,,,,13,smile,,15,good,,,,,,,,,,
d_main_23_09_e_22,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_22,True,,130,130,1.0,,,,,13,smile,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_23,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_23,True,,130,130,1.0,,,,,13,smile,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_24,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_24,True,,130,130,1.0,,,,,13,smile,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_25,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_25,True,,130,130,1.0,,,,,13,smile,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_26,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_26,True,,130,130,1.0,,,,,13,smile,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_27,d_main_23_09_e,Self,Locale_MainScenario:d_main_23_09_e_27,False,,130,130,1.0,,,,,13,smile,,15,good,,,,,,,,,,
d_main_23_09_e_28,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_28,True,,130,13,1.0,,,,,13,delight,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_29,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_29,True,,13,13,1.0,,,,,13,delight,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_30,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_30,True,,13,13,1.0,,,,,13,delight,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_31,d_main_23_09_e,Self,Locale_MainScenario:d_main_23_09_e_31,False,,13,13,1.0,,,,,13,delight,,15,good,,,,,,,,,,
d_main_23_09_e_32,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_32,True,,13,13,1.0,,,,,13,delight,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_33,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_33,True,,13,13,1.0,,,,,13,delight,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_34,d_main_23_09_e,Self,Locale_MainScenario:d_main_23_09_e_34,False,,13,13,1.0,,,,,13,delight,,15,good,,,,,,,,,,
d_main_23_09_e_35,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_35,True,,13,14,1.0,,,,,13,surprise,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_36,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_36,False,,14,14,1.0,,,,,13,surprise,,15,good,viper,viper,,,,,,,,
d_main_23_09_e_37,d_main_23_09_e,Self,Locale_MainScenario:d_main_23_09_e_37,False,,14,14,1.0,,,,,13,surprise,,15,good,,,,,,,,,,
d_main_23_09_e_38,d_main_23_09_e,Self,Locale_MainScenario:d_main_23_09_e_38,False,,14,14,1.0,,,,,13,surprise,,15,good,,,,,,,,,,
d_main_23_09_e_39,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_39,False,,14,130,1.0,,,,,13,idle,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_40,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_40,True,,130,130,1.0,,,,,13,idle,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_41,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_41,True,,130,130,1.0,,,,,13,idle,,15,good,crow,crow,,,,,,,,
d_main_23_09_e_42,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_42,False,,130,130,1.0,,,,,13,idle,,15,good,,,,,,,,,,
d_main_23_09_e_43,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_43,False,,130,130,1.0,,,,,13,idle,,15,good,,,,,,,,,,
d_main_23_09_e_44,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_44,False,,130,130,1.0,,,,,13,idle,,15,good,,,,,,,,,,
d_main_23_09_e_45,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_45,False,,130,130,1.0,,,,,13,idle,,15,good,,,,,,,,,,
d_main_23_09_e_46,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_46,False,,130,130,1.0,,,,,13,idle,,15,good,,,,,,,,,,
d_main_23_09_e_47,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_47,False,,130,130,1.0,,,,,13,idle,,15,good,,,,,,,,,,
d_main_23_09_e_48,d_main_23_09_e,Self,Locale_MainScenario:d_main_23_09_e_48,False,,130,130,1.0,,,,,13,idle,,15,good,,,,,,,,,,
d_main_23_09_e_49,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_49,False,,130,14,1.0,,,,,13,idle,,15,good,,,Low_2,,,,,,,
d_main_23_09_e_50,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_50,False,,14,14,1.0,,,,,13,idle,,15,good,,,Low_2,,,,,,,
d_main_23_09_e_51,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_51,True,,14,14,1.0,,,,,13,idle,,15,idle,viper,viper,,,,,,,,
d_main_23_09_e_52,d_main_23_09_e,Speech,Locale_MainScenario:d_main_23_09_e_52,False,,14,14,1.0,,,,,13,idle,,15,idle,crow,crow,,,,,,,,
d_main_23_09_e_53,d_main_23_09_e,Self,Locale_MainScenario:d_main_23_09_e_53,False,,14,14,1.0,,,,,13,idle,,15,idle,,,Low_2,,,,,,,
d_main_23_09_e_54,d_main_23_09_e,Monologue,Locale_MainScenario:d_main_23_09_e_54,False,,14,14,1.0,,,,,13,idle,,15,idle,,,,,,,,,,
