id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_01_03_e_1,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_1,True,marian,1,idle,rapi,13,idle,anis,15,idle,CityForest_01,1315,1315,1.0,bgm_distress_a
d_main_01_03_e_2,d_main_01_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_e_2,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,
d_main_01_03_e_3,d_main_01_03_e,Speech,marian,marian,Locale_MainScenario:d_main_01_03_e_3,True,,1,idle,,13,idle,,15,idle,,1315,1,1.0,
d_main_01_03_e_4,d_main_01_03_e,Speech,marian,marian,Locale_MainScenario:d_main_01_03_e_4,True,,1,angry,,13,idle,,15,idle,,1,1,1.0,
d_main_01_03_e_5,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_5,True,,1,angry,,13,idle,,15,void,,1315,1315,1.0,
d_main_01_03_e_6,d_main_01_03_e,Speech,marian,marian,Locale_MainScenario:d_main_01_03_e_6,False,,1,angry,,13,idle,,15,void,,1315,1315,1.0,
d_main_01_03_e_7,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_7,True,,1,angry,,13,idle,,15,void,,1315,15,1.0,
d_main_01_03_e_8,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_8,True,,1,angry,,13,idle,,15,void,,15,15,1.0,
d_main_01_03_e_9,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_9,True,,1,angry,,13,idle,,15,void,,15,15,1.0,
d_main_01_03_e_10,d_main_01_03_e,Speech,marian,marian,Locale_MainScenario:d_main_01_03_e_10,True,,1,angry,,13,idle,,15,void,,1,1,1.0,
d_main_01_03_e_11,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_11,True,,1,idle,,13,idle,,15,void,,15,150,1.0,
d_main_01_03_e_12,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_12,True,,1,idle,,13,idle,,15,void,,150,150,1.0,
d_main_01_03_e_13,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_13,True,,1,idle,,13,idle,,15,void,,150,150,1.0,
d_main_01_03_e_14,d_main_01_03_e,Speech,marian,marian,Locale_MainScenario:d_main_01_03_e_14,False,,1,angry,,13,idle,,15,void,,1,1,1.0,
d_main_01_03_e_15,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_15,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,
d_main_01_03_e_16,d_main_01_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_e_16,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,
NICKNAME_SELECT,d_main_01_03_e,Input,rapi,Self,Locale_System:NICKNAME_SELECT,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,
d_main_01_03_e_17,d_main_01_03_e,Self,rapi,Self,Locale_MainScenario:d_main_01_03_e_17,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,
d_main_01_03_e_18,d_main_01_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_e_18,True,,1,idle,,13,idle,,15,idle,,1315,13,1.0,
d_main_01_03_e_19,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_19,True,,1,idle,,13,idle,,15,idle,,13,15,1.0,
d_main_01_03_e_20,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_20,True,,1,idle,,13,idle,,15,idle,,15,15,1.0,
d_main_01_03_e_21,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_21,False,,1,idle,,13,idle,,15,void,,15,15,1.0,
d_main_01_03_e_22,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_22,True,,1,idle,,13,idle,,15,void,,15,150,1.0,
d_main_01_03_e_23,d_main_01_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_e_23,True,,1,idle,,13,idle,,15,void,,150,1315,1.0,
d_main_01_03_e_24,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_24,True,,1,idle,,13,idle,,15,void,,1315,1315,1.0,
d_main_01_03_e_25,d_main_01_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_e_25,True,,1,idle,,13,angry,,15,void,,1315,1315,1.0,
d_main_01_03_e_26,d_main_01_03_e,Speech,anis,anis,Locale_MainScenario:d_main_01_03_e_26,True,,1,idle,,13,angry,,15,void,,1315,1315,1.0,
d_main_01_03_e_27,d_main_01_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_e_27,False,,1,idle,,13,idle,,15,void,,1315,1315,1.0,
d_main_01_03_e_28,d_main_01_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_e_28,True,,1,idle,,13,idle,,15,void,,1315,1315,1.0,
