id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/3/hide_char_id
d_main_24_02_1,d_main_24_02,Narration,Narration,Locale_MainScenario:d_main_24_02_1,False,crow,2,idle,AZXIn,black,black,1.0,sfx_scn_smash,bgm_emergency,,,,,,,,,,,,,,,,
d_main_24_02_2,d_main_24_02,Narration,Narration,Locale_MainScenario:d_main_24_02_2,False,,2,idle,,black,black,1.0,,,,,,,,,,,,,,,,,,
d_main_24_02_3,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_3,False,,2,surprise,,20,2,0.7,,,crow,Low_2,,,,,,,,,,,,,,
d_main_24_02_4,d_main_24_02,Narration,Narration,Locale_MainScenario:d_main_24_02_4,False,,2,surprise,,2,2,1.0,sfx_scn_keyopen,,,,,,,,,,,,,,,,,
d_main_24_02_5,d_main_24_02,Narration,Narration,Locale_MainScenario:d_main_24_02_5,False,,2,surprise,,2,13,1.0,,,,,,,,,,,,,,,,,,
d_main_24_02_6,d_main_24_02,Narration,Narration,Locale_MainScenario:d_main_24_02_6,False,,2,idle,,13,13,1.0,,,,,diesel,12,shy,soline,14,idle,,,,,,,,
d_main_24_02_7,d_main_24_02,Speech,diesel,Locale_MainScenario:d_main_24_02_7,False,,2,idle,,13,13,1.0,,,diesel,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_8,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_8,False,,2,idle,,13,13,1.0,,,soline,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_9,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_9,True,,2,angry,,13,1,1.0,,,crow,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_10,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_10,True,,2,angry,,1,1,1.0,,,crow,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_11,d_main_24_02,Speech,diesel,Locale_MainScenario:d_main_24_02_11,True,,2,angry,,1,1,1.0,,,diesel,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_12,d_main_24_02,Speech,diesel,Locale_MainScenario:d_main_24_02_12,True,,2,angry,,1,1,1.0,,,diesel,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_13,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_13,True,,2,surprise,,1,1,1.0,,,crow,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_14,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_14,True,,2,surprise,,1,13,1.0,,,soline,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_15,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_15,True,,2,surprise,,13,13,1.0,,,soline,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_16,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_16,True,,2,surprise,,13,13,1.0,,,soline,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_17,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_17,True,,2,idle,,13,13,1.0,,,crow,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_18,d_main_24_02,Speech,diesel,Locale_MainScenario:d_main_24_02_18,True,,2,idle,,13,1,2.0,,,diesel,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_19,d_main_24_02,Speech,diesel,Locale_MainScenario:d_main_24_02_19,True,,2,idle,,1,1,1.0,,,diesel,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_20,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_20,True,,2,angry,,1,1,1.0,,,crow,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_21,d_main_24_02,Speech,diesel,Locale_MainScenario:d_main_24_02_21,True,,2,angry,,1,1,1.0,,,diesel,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_22,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_22,True,,2,idle,,1,1,1.0,,,crow,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_23,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_23,True,,2,idle,,S_140,S_140,1.0,,,soline,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_24,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_24,True,,2,idle,,S_140,S_140,1.0,,,soline,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_25,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_25,True,,2,idle,,20,20,1.0,,,crow,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_26,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_26,True,,2,idle,,20,20,1.0,,,soline,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_27,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_27,True,,2,idle,,20,20,1.0,,,crow,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_28,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_28,False,,2,idle,,20,S_140,2.0,,,soline,,,12,shy,,14,idle,,,,,,,,
d_main_24_02_29,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_29,True,,2,idle,,S_140,S_140,1.0,,,soline,,,12,shy,,14,surprise,,,,,,,,
d_main_24_02_30,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_30,True,,2,idle,,S_140,S_140,1.0,,,crow,,,12,shy,,14,surprise,,,,,,,,
d_main_24_02_31,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_31,False,,2,idle,,S_140,S_1400,1.0,,,soline,,,12,shy,,14,pain,,,,,,,,
d_main_24_02_32,d_main_24_02,Narration,Narration,Locale_MainScenario:d_main_24_02_32,False,,2,idle,,black,black,1.0,sfx_scn_gunfire,,,,,12,shy,,14,pain,,,,,,,,
d_main_24_02_33,d_main_24_02,Speech,soline,Locale_MainScenario:d_main_24_02_33,True,,2,idle,,S_140,13,0.7,,,soline,,,12,shy,,14,angry,,,,,,,,
d_main_24_02_34,d_main_24_02,Narration,Narration,Locale_MainScenario:d_main_24_02_34,False,,2,idle,,13,1,2.0,,,,,,12,shy,,14,angry,,,,,,,,
d_main_24_02_35,d_main_24_02,Speech,diesel,Locale_MainScenario:d_main_24_02_35,True,,2,idle,,1,1,1.0,,,diesel,,,12,worry,,14,idle,,,,,,,,
d_main_24_02_36,d_main_24_02,Speech,diesel,Locale_MainScenario:d_main_24_02_36,True,,2,idle,,1,120,0.4,,,diesel,,,12,worry,,14,idle,,,,,,,,
d_main_24_02_37,d_main_24_02,Speech,diesel,Locale_MainScenario:d_main_24_02_37,True,,2,idle,,120,1200,1.0,,,diesel,,,12,worry,,14,idle,,,,,,,,
d_main_24_02_38,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_38,False,,2,surprise,,20,20,1.0,,,crow,,,12,worry,,14,idle,,,,,,,,
d_main_24_02_39,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_39,True,,2,surprise,,20,20,1.0,,,crow,,,12,worry,,14,idle,,,,,,,,
d_main_24_02_40,d_main_24_02,Speech,crow,Locale_MainScenario:d_main_24_02_40,True,,2,angry,,20,20,1.0,,,crow,,,12,worry,,14,idle,,,,,,,,
