id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_40_11_1,d_main_40_11,Speech,ziz,ziz,Locale_MainScenario:d_main_40_11_1,True,WhaleyBack,S_1300,S_130,1.0,bgm_chapter40_field_turningpoint_b,,,,,leviathan,1,think_02,,ziz,13,rage,,liberalio,15,idle,,rapi_red,7,angry,,,,,,,,,,,,,
d_main_40_11_2,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_2,True,,S_130,S_150,1.0,,,,,,,1,think_02,,,13,rage,,,15,idle,,,7,angry,,,,,,,,,,,,,
d_main_40_11_3,d_main_40_11,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_40_11_3,True,,70,70,1.0,,,,,,,1,think_02,,,13,rage,,,15,idle,,,7,angry,,,,,,,,,,,,,
d_main_40_11_4,d_main_40_11,Self,,,Locale_MainScenario:d_main_40_11_4,False,,S_130,S_130,1.0,,,,,,,1,think_02,,,13,rage,,,15,idle,,,7,angry,,,,,,,,,,,,,
d_main_40_11_5,d_main_40_11,Speech,ziz,ziz,Locale_MainScenario:d_main_40_11_5,True,,S_130,S_1300,0.7,,,,,,,1,think_02,,,13,rage,,,15,idle,,,7,angry,,,,,,,,,,,,,
d_main_40_11_6,d_main_40_11,Speech,ziz,ziz,Locale_MainScenario:d_main_40_11_6,True,,S_1300,S_1300,1.0,,,,,,,1,think_02,,,13,rage,,,15,idle,,,7,angry,,,,,,,,,,,,,
d_main_40_11_7,d_main_40_11,Narration,ziz,,Locale_MainScenario:d_main_40_11_7,False,,black,black,1.0,,,,,,,1,think_02,,,13,rage,,,15,idle,,,7,angry,,,,,,,,,,,,,
d_main_40_11_8,d_main_40_11,Narration,ziz,,Locale_MainScenario:d_main_40_11_8,False,,black,black,1.0,,,,,,,1,think_02,,,13,rage,,,15,idle,,,7,angry,,,,,,,,,,,,,
d_main_40_11_9,d_main_40_11,Narration,ziz,,Locale_MainScenario:d_main_40_11_9,False,,black,black,1.0,,sfx_scn_heartbeat,,,,,1,think_02,,,13,rage,,,15,idle,,,7,angry,rapi_red,,,,,,,,,,,,
d_main_40_11_10,d_main_40_11,Narration,ziz,,Locale_MainScenario:d_main_40_11_10,False,,black,black,1.0,,,,,,,1,think_02,,,13,rage,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_11,d_main_40_11,Narration,ziz,,Locale_MainScenario:d_main_40_11_11,False,,black,black,1.0,,,,,,,1,think_02,,,13,rage,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_12,d_main_40_11,Narration,ziz,,Locale_MainScenario:d_main_40_11_12,False,,black,black,1.0,,,,,,,1,think_02,,,13,rage,ziz,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_13,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_13,True,,S_100,S_100,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_14,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_14,True,,S_100,S_100,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_15,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_15,True,,S_100,S_100,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_16,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_16,True,,S_100,S_100,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_17,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_17,False,,S_100,S_10,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_18,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_18,True,,S_10,S_10,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_19,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_19,True,,S_10,S_10,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_20,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_20,True,,S_10,S_10,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_21,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_21,True,,S_10,S_10,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_22,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_22,True,,S_10,S_10,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_23,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_23,True,,S_10,S_10,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_24,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_24,True,,S_10,S_10,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_25,d_main_40_11,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_11_25,True,,S_10,S_100,1.0,,,,,,,1,think_02,,,,,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_26,d_main_40_11,Speech,ziz,ziz,Locale_MainScenario:d_main_40_11_26,True,,S_1300,S_1300,1.0,,,,,,,1,think_02,,ziz,13,rage,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_27,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_27,True,,S_1300,S_1500,1.0,,,,,,,1,think_02,,,13,rage,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_28,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_28,True,,S_1500,S_1500,1.0,,,,,,,1,think_02,leviathan,,13,rage,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_29,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_29,True,,S_1500,S_1500,1.0,,,,,,,,,,,13,rage,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_30,d_main_40_11,Self,liberalio,,Locale_MainScenario:d_main_40_11_30,False,,S_1500,S_1500,1.0,,,,,,,,,,,13,rage,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_31,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_31,True,,S_1500,S_150,0.7,,,,,,,,,,,13,rage,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_32,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_32,True,,S_150,S_150,1.0,,,,,,,,,,,13,rage,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_33,d_main_40_11,Speech,ziz,ziz,Locale_MainScenario:d_main_40_11_33,True,,S_150,1315,1.0,,,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_34,d_main_40_11,Narration,ziz,,Locale_MainScenario:d_main_40_11_34,False,,black,black,1.0,,,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_35,d_main_40_11,Narration,ziz,,Locale_MainScenario:d_main_40_11_35,False,,black,black,1.0,,,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_36,d_main_40_11,Speech,ziz,ziz,Locale_MainScenario:d_main_40_11_36,True,,S_1300,S_130,1.0,,,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_37,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_37,True,,S_130,1315,1.0,,,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_38,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_38,True,,1315,1315,1.0,,,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_39,d_main_40_11,Narration,liberalio,,Locale_MainScenario:d_main_40_11_39,False,,1315,1315,1.0,,sfx_scn_liberalioaim,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_40,d_main_40_11,Narration,liberalio,,Locale_MainScenario:d_main_40_11_40,False,,1315,1315,1.0,,,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_41,d_main_40_11,Self,liberalio,,Locale_MainScenario:d_main_40_11_41,False,,1315,1315,1.0,,,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_42,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_42,True,,1315,15,1.0,,,,,,,,,,,13,pain,,,15,idle,,,,,,,,,,,,,,,,,
d_main_40_11_43,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_43,True,,15,15,1.0,,,,,,,,,,,13,pain,,,15,idle,,rapi_red,7,idle,,maxwell_p,5,idle,,laplace_p,3,idle,,drake_p,1,idle,
d_main_40_11_44,d_main_40_11,Self,liberalio,,Locale_MainScenario:d_main_40_11_44,False,,15,15,1.0,,,,,,,,,,,13,pain,,,15,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_main_40_11_45,d_main_40_11,Narration,liberalio,,Locale_MainScenario:d_main_40_11_45,False,,black,black,1.0,,,,,,,,,,,13,pain,ziz,,15,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_main_40_11_46,d_main_40_11,Narration,liberalio,,Locale_MainScenario:d_main_40_11_46,False,,black,black,1.0,,,,,,,,,,,,,,,15,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_main_40_11_47,d_main_40_11,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_11_47,True,,S_150,S_1500,1.0,,,,,,,,,,,,,,,15,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,
d_main_40_11_48,d_main_40_11,Speech,behemoth,behemoth,Locale_MainScenario:d_main_40_11_48,True,,black,black,1.0,,,,,,behemoth,1,idle,,,,,,,15,idle,,,7,idle,rapi_red,,5,idle,maxwell_p,,3,idle,laplace_p,,1,idle,drake_p
