id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/set_char_position,characters/0/set_char_anim,characters/1/set_char_position,characters/1/set_char_anim,characters/2/set_char_position,characters/2/set_char_anim
d_main_02_07_1,d_main_02_07,Speech,neon,neon,Locale_MainScenario:d_main_02_07_1,True,EventScene_Main_02_01,drain_event_01,drain_event_02,3.0,bgm_recognition_underworld,,,,,,,,
d_main_02_07_2,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_2,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_3,d_main_02_07,Speech,rapi,rapi,Locale_MainScenario:d_main_02_07_3,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_4,d_main_02_07,Speech,neon,neon,Locale_MainScenario:d_main_02_07_4,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_5,d_main_02_07,Speech,rapi,rapi,Locale_MainScenario:d_main_02_07_5,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_6,d_main_02_07,Speech,neon,neon,Locale_MainScenario:d_main_02_07_6,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_7,d_main_02_07,Speech,rapi,rapi,Locale_MainScenario:d_main_02_07_7,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_8,d_main_02_07,Speech,neon,neon,Locale_MainScenario:d_main_02_07_8,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_9,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_9,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_10,d_main_02_07,Speech,neon,neon,Locale_MainScenario:d_main_02_07_10,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_11,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_11,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_12,d_main_02_07,Speech,rapi,rapi,Locale_MainScenario:d_main_02_07_12,True,,drain_event_02,drain_event_03,2.0,,,,,,,,,
d_main_02_07_13,d_main_02_07,Choice,rapi,,Locale_MainScenario:d_main_02_07_13,True,,drain_event_03,drain_event_03,1.0,,d_main_02_07_15,,,,,,,
d_main_02_07_14,d_main_02_07,Choice,rapi,,Locale_MainScenario:d_main_02_07_14,True,,drain_event_03,drain_event_03,1.0,,d_main_02_07_15,,,,,,,
d_main_02_07_15,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_15,True,,drain_event_03,drain_event_03,1.0,,,,,,,,,
d_main_02_07_16,d_main_02_07,Speech,neon,neon,Locale_MainScenario:d_main_02_07_16,True,,drain_event_03,drain_event_02,2.0,,,,,,,,,
d_main_02_07_17,d_main_02_07,Speech,neon,neon,Locale_MainScenario:d_main_02_07_17,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_18,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_18,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_19,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_19,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_20,d_main_02_07,Speech,rapi,rapi,Locale_MainScenario:d_main_02_07_20,True,,drain_event_02,drain_event_02,0.5,,,,,,,,,
d_main_02_07_21,d_main_02_07,Speech,neon,neon,Locale_MainScenario:d_main_02_07_21,True,,black,black,1.0,,,,,,,,,
d_main_02_07_22,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_22,True,,black,black,1.0,,,,,,,,,
d_main_02_07_23,d_main_02_07,Self,anis,Self,Locale_MainScenario:d_main_02_07_23,True,,black,black,1.0,,,,,,,,,
d_main_02_07_24,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_24,True,,drain_event_04,drain_event_04,1.0,,,Low_2,,,,,,
d_main_02_07_25,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_25,True,,drain_event_04,drain_event_04,1.0,,,,,,,,,
d_main_02_07_26,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_26,True,,drain_event_04,drain_event_04,1.0,,,,,,,,,
d_main_02_07_27,d_main_02_07,Choice,anis,,Locale_MainScenario:d_main_02_07_27,True,,drain_event_04,drain_event_04,1.0,,d_main_02_07_29,,,,,,,
d_main_02_07_28,d_main_02_07,Choice,anis,,Locale_MainScenario:d_main_02_07_28,True,,drain_event_04,drain_event_04,1.0,,d_main_02_07_30,,,,,,,
d_main_02_07_29,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_29,True,,drain_event_04,drain_event_04,1.0,,d_main_02_07_31,Low_2,,,,,,
d_main_02_07_30,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_30,True,,drain_event_04,drain_event_04,1.0,,d_main_02_07_31,Low_2,,,,,,
d_main_02_07_31,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_31,True,,drain_event_04,drain_event_04,1.0,,,,,,,,,
d_main_02_07_32,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_32,True,,drain_event_04,drain_event_02,1.0,,,,,,,,,
d_main_02_07_33,d_main_02_07,Speech,rapi,rapi,Locale_MainScenario:d_main_02_07_33,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_34,d_main_02_07,Self,rapi,Self,Locale_MainScenario:d_main_02_07_34,True,,drain_event_02,drain_event_02,1.0,,,,,,,,,
d_main_02_07_35,d_main_02_07,Speech,anis,anis,Locale_MainScenario:d_main_02_07_35,True,,drain_event_02,drain_event_02,1.0,,,,5001,aim_idle,5005,aim_idle,5004,aim_idle
