id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,play_sound,effects/0/play_effect_id,effects/0/set_effect_position,effects/1/play_effect_id,effects/1/set_effect_position,characters/6/hide_char_id,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_main_04_04_e_1,d_main_04_04_e,Speech,mihara,mihara,Locale_MainScenario:d_main_04_04_e_1,True,anis,1,void,neon,13,idle,mihara,17,idle,yuni,19,idle,talkative,7,idle,CityForest_01,1719,1719,1.0,bgm_boss_bbg002_loop,,,,,,,,,,,,,,,,,,,
d_main_04_04_e_2,d_main_04_04_e,Speech,anis,anis,Locale_MainScenario:d_main_04_04_e_2,True,,1,void,,13,idle,,17,idle,,19,idle,,7,idle,,1719,1,1.0,,,,,,,,,,,,,,,,,,,,
d_main_04_04_e_3,d_main_04_04_e,Speech,mihara,mihara,Locale_MainScenario:d_main_04_04_e_3,True,,1,void,,13,idle,,17,idle,,19,idle,,7,idle,,170,1700,1.0,,,,,,,,,,,,,,,,,,,,
d_main_04_04_e_4,d_main_04_04_e,Speech,talkative,talkative,Locale_MainScenario:d_main_04_04_e_4,True,,1,void,,13,idle,,17,idle,,19,idle,,7,idle,red,S_70,S_700,2.0,,anis,neon,mihara,yuni,,,,,,,,,,,,,,,
d_main_04_04_e_5,d_main_04_04_e,Narration,talkative,Narration,Locale_MainScenario:d_main_04_04_e_5,True,,,,,,,,,,,,,,7,idle,,talkative_event_01,talkative_event_01,1.0,,,,,,talkative,talkative_event,1,"intro,idle",sfx_scn_break,fx_EventScene_Chap_04_05_blood,fx_EventScene_Chap_04_05_blood,fx_EventScene_Chap_04_05_deco,fx_EventScene_Chap_04_05_deco,,,,,,
d_main_04_04_e_6,d_main_04_04_e,Narration,talkative,Narration,Locale_MainScenario:d_main_04_04_e_6,True,,,,,,,,,,,,,,,,,talkative_event_01,talkative_event_01,1.0,,,,,,,,,idle,,,,,,,,,,,
d_main_04_04_e_7,d_main_04_04_e,Speech,mihara,mihara,Locale_MainScenario:d_main_04_04_e_7,True,,,,,,,,,,,,,,,,,talkative_event_01,talkative_event_01,1.0,,,,,,,,,idle,,,,,,,,,,,
d_main_04_04_e_8,d_main_04_04_e,Narration,mihara,Narration,Locale_MainScenario:d_main_04_04_e_8,True,,,,,,,,,,,,,,,,talkative_action_02,1,1,1.0,,,,,,,,,idle,sfx_scn_breaks,,,,,talkative_event,Low_2,Vignetting,,,
d_main_04_04_e_9,d_main_04_04_e,Narration,mihara,Narration,Locale_MainScenario:d_main_04_04_e_9,True,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,,,,,,Vignetting,,,
d_main_04_04_e_10,d_main_04_04_e,Speech,talkative,talkative,Locale_MainScenario:d_main_04_04_e_10,True,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,,,,,,Vignetting,,,
d_main_04_04_e_11,d_main_04_04_e,Speech,talkative,talkative,Locale_MainScenario:d_main_04_04_e_11,True,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,,,,,,Vignetting,,,
d_main_04_04_e_12,d_main_04_04_e,Speech,talkative,talkative,Locale_MainScenario:d_main_04_04_e_12,True,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,,,,,Low_2,Vignetting,,,
d_main_04_04_e_13,d_main_04_04_e,Speech,talkative,talkative,Locale_MainScenario:d_main_04_04_e_13,True,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,,,,,,Vignetting,,,
d_main_04_04_e_14,d_main_04_04_e,Speech,mihara,mihara,Locale_MainScenario:d_main_04_04_e_14,True,anis,1,void,neon,13,idle,mihara,17,idle,yuni,19,surprise,talkative,7,idle,CityForest_01,1700,17,1.0,,,,,,,,,,,,,,,,,,,,
