id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
d_main_22_05_e_1,d_main_22_05_e,Speech,noir,noir,Locale_MainScenario:d_main_22_05_e_1,True,noir,7,surprise,blanc,5,think,rosanna,13,angry,sakura,3,angry,moran,1,worry,CoinRushIndoor,75,75,1.0,bgm_story_conflict,Blur_Low,,,,
d_main_22_05_e_2,d_main_22_05_e,Speech,blanc,blanc,Locale_MainScenario:d_main_22_05_e_2,True,,7,surprise,,5,think,,13,angry,,3,angry,,1,worry,,75,75,1.0,,Blur_Low,,,,
d_main_22_05_e_3,d_main_22_05_e,Speech,noir,noir,Locale_MainScenario:d_main_22_05_e_3,True,,7,surprise,,5,think,,13,angry,,3,angry,,1,worry,,75,75,1.0,,Blur_Low,,,,
d_main_22_05_e_4,d_main_22_05_e,Speech,blanc,blanc,Locale_MainScenario:d_main_22_05_e_4,True,,7,surprise,,5,think,,13,angry,,3,angry,,1,worry,,75,75,1.0,,Blur_Low,,,,
d_main_22_05_e_5,d_main_22_05_e,Speech,blanc,blanc,Locale_MainScenario:d_main_22_05_e_5,True,,7,surprise,,5,think,,13,angry,,3,angry,,1,worry,,75,75,1.0,,Blur_Low,,,,
d_main_22_05_e_6,d_main_22_05_e,Speech,rosanna,rosanna,Locale_MainScenario:d_main_22_05_e_6,True,,7,surprise,,5,think,,13,angry,,3,angry,,1,worry,,130,130,1.0,,Blur_Low,,,,
d_main_22_05_e_7,d_main_22_05_e,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_e_7,True,,7,surprise,,5,think,,13,angry,,3,angry,,1,worry,,30,30,1.0,,Blur_Low,,,,
d_main_22_05_e_8,d_main_22_05_e,Speech,moran,moran,Locale_MainScenario:d_main_22_05_e_8,True,,7,surprise,,5,think,,13,angry,,3,angry,,1,worry,,10,10,1.0,,Blur_Low,,,,
d_main_22_05_e_9,d_main_22_05_e,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_e_9,True,,7,surprise,,5,think,,13,angry,,3,idle,,1,worry,,53,53,1.0,,Blur_Low,,,,
d_main_22_05_e_10,d_main_22_05_e,Speech,blanc,blanc,Locale_MainScenario:d_main_22_05_e_10,True,,7,surprise,,5,think,,13,angry,,3,idle,,1,worry,,53,53,1.0,,Blur_Low,,,,
d_main_22_05_e_11,d_main_22_05_e,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_e_11,True,,7,surprise,,5,think,,13,angry,,3,idle,,1,worry,,53,53,1.0,,Blur_Low,,,,
d_main_22_05_e_12,d_main_22_05_e,Speech,blanc,blanc,Locale_MainScenario:d_main_22_05_e_12,True,,7,surprise,,5,think,,13,angry,,3,idle,,1,worry,,53,53,1.0,,Blur_Low,,,,
d_main_22_05_e_13,d_main_22_05_e,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_e_13,True,,7,surprise,,5,think,,13,angry,,3,idle,,1,worry,,53,53,1.0,,Blur_Low,,,,
d_main_22_05_e_14,d_main_22_05_e,Narration,,,Locale_MainScenario:d_main_22_05_e_14,False,,7,surprise,,5,think,,13,angry,,3,idle,,1,worry,,53,31,1.0,,Blur_Low,,,,
d_main_22_05_e_15,d_main_22_05_e,Speech,moran,moran,Locale_MainScenario:d_main_22_05_e_15,True,,7,surprise,,5,think,,13,angry,,3,idle,,1,worry,,31,31,1.0,,Blur_Low,,,,
d_main_22_05_e_16,d_main_22_05_e,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_e_16,True,,7,surprise,,5,think,,13,angry,,3,angry,,1,worry,,31,31,1.0,,Blur_Low,,,,
