id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_theater_09_1,d_ex_theater_09,Monologue,volume,Locale_SuddenStory:d_ex_theater_09_1,False,Theater,4,4,1.0,bgm_story_girlstalk,,,,volume,4,idle,,clay,2,idle,,bay,12,idle
d_ex_theater_09_2,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_2,True,,4,S_40,1.0,,volume,,,,4,idle,,,2,idle,,,12,idle
d_ex_theater_09_3,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_3,True,,S_40,S_40,1.0,,volume,,,,4,idle,,,2,idle,,,12,idle
d_ex_theater_09_4,d_ex_theater_09,Self,clay,Locale_SuddenStory:d_ex_theater_09_4,False,,S_40,S_40,1.0,,,,,,4,idle,,,2,idle,,,12,idle
d_ex_theater_09_5,d_ex_theater_09,Self,clay,Locale_SuddenStory:d_ex_theater_09_5,False,,S_40,1,1.0,,,,,,4,idle,,,2,idle,,,12,idle
d_ex_theater_09_6,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_6,True,,1,1,1.0,,bay,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_7,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_7,True,,1,1,1.0,,bay,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_8,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_8,True,,1,1,1.0,,clay,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_9,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_9,True,,1,4,1.0,,volume,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_10,d_ex_theater_09,Monologue,volume,Locale_SuddenStory:d_ex_theater_09_10,False,,4,4,1.0,,,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_11,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_11,True,,4,4,1.0,,volume,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_12,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_12,True,,4,4,1.0,,volume,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_13,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_13,True,,4,4,1.0,,volume,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_14,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_14,True,,4,S_40,1.0,,volume,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_15,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_15,True,,S_40,S_400,0.5,,volume,,,,4,idle,,,2,idle,,,12,delight
d_ex_theater_09_16,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_16,False,,2,200,0.5,,clay,,,,4,idle,,,2,worry,,,12,delight
d_ex_theater_09_17,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_17,True,,S_400,S_400,1.0,,volume,,,,4,idle,,,2,worry,,,12,delight
d_ex_theater_09_18,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_18,True,,S_400,S_40,1.0,,volume,,,,4,delight,,,2,worry,,,12,delight
d_ex_theater_09_19,d_ex_theater_09,Self,volume,Locale_SuddenStory:d_ex_theater_09_19,False,,S_40,S_40,1.0,,,,,,4,delight,,,2,worry,,,12,delight
d_ex_theater_09_20,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_20,True,,S_40,S_40,1.0,,volume,,,,4,idle,,,2,worry,,,12,delight
d_ex_theater_09_21,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_21,True,,S_40,1,1.0,,clay,,,,4,idle,,,2,shy,,,12,delight
d_ex_theater_09_22,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_22,True,,1,1,1.0,,bay,,,,4,idle,,,2,shy,,,12,delight
d_ex_theater_09_23,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_23,True,,S_400,S_400,1.0,,volume,,,,4,idle,,,2,shy,,,12,delight
d_ex_theater_09_24,d_ex_theater_09,Narration,volume,Locale_SuddenStory:d_ex_theater_09_24,False,,black,black,1.0,none,,,,,4,idle,,,2,shy,,,12,delight
d_ex_theater_09_25,d_ex_theater_09,Monologue,volume,Locale_SuddenStory:d_ex_theater_09_25,False,,black,black,1.0,event_bgm_onemoretime,,,,,4,idle,,,2,shy,,,12,delight
d_ex_theater_09_26,d_ex_theater_09,Monologue,volume,Locale_SuddenStory:d_ex_theater_09_26,False,,black,black,1.0,,,,,,4,idle,,,2,shy,,,12,delight
d_ex_theater_09_27,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_27,True,,12,1200,0.5,,bay,sfx_scn_pompom3,,,4,idle,,,2,delight,,,12,delight
d_ex_theater_09_28,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_28,True,,1200,1200,1.0,,bay,,,,4,idle,,,2,delight,,,12,delight
d_ex_theater_09_29,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_29,True,,2,200,0.5,,clay,sfx_scn_pompom3,,,4,idle,,,2,delight,,,12,delight
d_ex_theater_09_30,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_30,True,,200,200,1.0,,clay,,,,4,idle,,,2,delight,,,12,delight
d_ex_theater_09_31,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_31,True,,4,S_400,1.0,,volume,,,,4,idle,,,2,delight,,,12,delight
d_ex_theater_09_32,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_32,True,,S_400,200,1.0,,clay,,,,4,idle,,,2,worry,,,12,delight
d_ex_theater_09_33,d_ex_theater_09,Narration,clay,Locale_SuddenStory:d_ex_theater_09_33,False,,200,200,1.0,,,sfx_scn_heavytrip,Low_2,,4,idle,,,2,worry,clay,,12,delight
d_ex_theater_09_34,d_ex_theater_09,Monologue,clay,Locale_SuddenStory:d_ex_theater_09_34,False,,200,200,1.0,,,,,,4,idle,,,,,,,12,idle
d_ex_theater_09_35,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_35,True,,S_400,S_400,1.0,,volume,,,,4,angry,,,,,,,12,idle
d_ex_theater_09_36,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_36,True,,S_400,S_40,1.0,none,volume,,,,4,angry,,,,,,,12,idle
d_ex_theater_09_37,d_ex_theater_09,Monologue,volume,Locale_SuddenStory:d_ex_theater_09_37,False,,S_40,S_40,1.0,,,,,,4,angry,,clay,2,sad,,,12,idle
d_ex_theater_09_38,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_38,True,,S_40,3,1.0,bgm_story_destinedtofight,volume,,,,4,angry,,,2,sad,,,12,idle
d_ex_theater_09_39,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_39,True,,3,3,1.0,,clay,,,,4,angry,,,2,sad,,,12,idle
d_ex_theater_09_40,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_40,True,,3,3,1.0,,volume,,,,4,angry,,,2,sad,,,12,idle
d_ex_theater_09_41,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_41,True,,3,3,1.0,,volume,,,,4,angry,,,2,sad,,,12,idle
d_ex_theater_09_42,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_42,True,,1200,1200,1.0,,bay,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_43,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_43,True,,S_400,S_400,1.0,,volume,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_44,d_ex_theater_09,Self,volume,Locale_SuddenStory:d_ex_theater_09_44,False,,S_400,S_400,1.0,,,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_45,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_45,True,,S_400,S_40,1.0,,volume,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_46,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_46,True,,S_40,S_40,1.0,,volume,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_47,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_47,True,,S_40,S_40,1.0,,volume,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_48,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_48,True,,S_40,3,1.0,,clay,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_49,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_49,True,,3,3,1.0,,volume,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_50,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_50,True,,3,3,1.0,,clay,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_51,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_51,True,,3,S_40,1.0,,volume,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_52,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_52,True,,1200,1200,1.0,,bay,,,,4,angry,,,2,sad,,,12,angry
d_ex_theater_09_53,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_53,True,,S_400,S_400,1.0,,volume,,,,4,surprise,,,2,sad,,,12,angry
d_ex_theater_09_54,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_54,True,,S_400,S_400,1.0,,volume,,,,4,surprise,,,2,sad,,,12,angry
d_ex_theater_09_55,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_55,True,,1200,1200,1.0,,bay,,,,4,surprise,,,2,sad,,,12,shy
d_ex_theater_09_56,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_56,True,,S_400,S_400,1.0,,volume,,,,4,angry,,,2,sad,,,12,shy
d_ex_theater_09_57,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_57,True,,1200,1200,1.0,,bay,,,,4,angry,,,2,sad,,,12,shy
d_ex_theater_09_58,d_ex_theater_09,Monologue,bay,Locale_SuddenStory:d_ex_theater_09_58,False,,1200,1200,1.0,,,,,,4,angry,,,2,sad,,,12,shy
d_ex_theater_09_59,d_ex_theater_09,Self,bay,Locale_SuddenStory:d_ex_theater_09_59,False,,1200,1200,1.0,none,,,,,4,angry,,,2,sad,,,12,shy
d_ex_theater_09_60,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_60,True,,1200,200,0.5,,clay,,,,4,angry,,,2,shy,,,12,shy
d_ex_theater_09_61,d_ex_theater_09,Speech,bay,Locale_SuddenStory:d_ex_theater_09_61,False,,1200,1200,1.0,bgm_story_marrybad,bay,,,,4,angry,,,2,shy,,,12,sad
d_ex_theater_09_62,d_ex_theater_09,Speech,volume,Locale_SuddenStory:d_ex_theater_09_62,False,,S_400,S_400,1.0,,volume,,,,4,angry,,,2,shy,,,12,sad
d_ex_theater_09_63,d_ex_theater_09,Speech,clay,Locale_SuddenStory:d_ex_theater_09_63,True,,200,200,1.0,,clay,,,,4,angry,,,2,shy,,,12,sad
