id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,jump_target
d_main_02_02_1,d_main_02_02,Speech,neon,neon,Locale_MainScenario:d_main_02_02_1,True,rapi,1,idle,anis,3,idle,neon,13,idle,CityForest_01,13,S_1300,0.5,bgm_emergency,,,,
d_main_02_02_2,d_main_02_02,Speech,anis,anis,Locale_MainScenario:d_main_02_02_2,True,,1,idle,,3,angry,,13,idle,,3,300,0.5,,,,,
d_main_02_02_3,d_main_02_02,Speech,rapi,rapi,Locale_MainScenario:d_main_02_02_3,True,,1,angry,,3,angry,,13,idle,,1,100,0.5,,,,,
d_main_02_02_4,d_main_02_02,Speech,rapi,rapi,Locale_MainScenario:d_main_02_02_4,True,,1,angry,,3,angry,,13,idle,,100,100,1.0,,,,,
d_main_02_02_5,d_main_02_02,Speech,neon,neon,Locale_MainScenario:d_main_02_02_5,True,,1,angry,,3,angry,,13,idle,,S_1300,13,3.0,,,,,
d_main_02_02_6,d_main_02_02,Speech,anis,anis,Locale_MainScenario:d_main_02_02_6,True,,1,angry,,3,angry,,13,idle,,13,3,3.0,,,,,
d_main_02_02_7,d_main_02_02,Speech,neon,neon,Locale_MainScenario:d_main_02_02_7,True,,1,idle,,3,angry,,13,idle,,13,13,1.0,none,,,,
d_main_02_02_8,d_main_02_02,Speech,anis,anis,Locale_MainScenario:d_main_02_02_8,True,,1,idle,,3,void,,13,idle,,3,3,1.0,bgm_story_herecomestrouble,,,,
d_main_02_02_9,d_main_02_02,Speech,anis,anis,Locale_MainScenario:d_main_02_02_9,True,,1,idle,,3,void,,13,idle,,3,30,1.0,,,,,
d_main_02_02_10,d_main_02_02,Speech,neon,neon,Locale_MainScenario:d_main_02_02_10,True,,1,idle,,3,void,,13,idle,,13,13,1.0,,,,,
d_main_02_02_11,d_main_02_02,Speech,anis,anis,Locale_MainScenario:d_main_02_02_11,True,,1,idle,,3,idle,,13,idle,,3,3,1.0,,,,,
d_main_02_02_12,d_main_02_02,Speech,rapi,rapi,Locale_MainScenario:d_main_02_02_12,True,,1,idle,,3,idle,,13,idle,,3,1,1.0,,,,,
d_main_02_02_13,d_main_02_02,Speech,neon,neon,Locale_MainScenario:d_main_02_02_13,True,,1,idle,,3,idle,,13,idle,,1,13,1.0,,,,,
d_main_02_02_14,d_main_02_02,Speech,neon,neon,Locale_MainScenario:d_main_02_02_14,True,,1,idle,,3,idle,,13,idle,,13,13,1.0,,,,,
d_main_02_02_15,d_main_02_02,Speech,neon,neon,Locale_MainScenario:d_main_02_02_15,True,,1,idle,,3,idle,,13,no,,13,S_130,1.0,,,,,
d_main_02_02_16,d_main_02_02,Speech,rapi,rapi,Locale_MainScenario:d_main_02_02_16,False,,1,think,,3,idle,,13,no,,10,10,1.0,,,,,
d_main_02_02_17,d_main_02_02,Speech,shifty,shifty,Locale_MainScenario:d_main_02_02_17,False,,1,think,,3,idle,,13,no,,10,10,1.0,,shifty,OP_leftup,think,
d_main_02_02_18,d_main_02_02,Speech,anis,anis,Locale_MainScenario:d_main_02_02_18,False,,1,think,,3,no,,13,no,,30,30,1.0,,,OP_leftup,think,
d_main_02_02_19,d_main_02_02,Speech,anis,anis,Locale_MainScenario:d_main_02_02_19,True,,1,think,,3,idle,,13,no,,30,300,1.0,,,OP_leftup,think,
d_main_02_02_20,d_main_02_02,Speech,shifty,shifty,Locale_MainScenario:d_main_02_02_20,True,,1,idle,,3,idle,,13,idle,,300,300,1.0,,,OP_center,angry,
d_main_02_02_21,d_main_02_02,Speech,shifty,shifty,Locale_MainScenario:d_main_02_02_21,False,,1,idle,,3,idle,,13,idle,,300,30,1.0,,,OP_center,angry,
d_main_02_02_22,d_main_02_02,Speech,shifty,shifty,Locale_MainScenario:d_main_02_02_22,True,,1,idle,,3,idle,,13,idle,,30,30,1.0,,,OP_center,no,
d_main_02_02_23,d_main_02_02,Speech,anis,anis,Locale_MainScenario:d_main_02_02_23,False,,1,idle,,3,no,,13,idle,,30,300,1.0,,,OP_leftup,no,
