id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_13af_06_1,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_1,True,OutpostOut,L_130,L_130,1.0,bgm_story_weare,,neon,5,idle,anis,3,void,rapi,1,idle,,ingrid,13,idle,,,,
d_main_13af_06_2,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_2,True,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,,
d_main_13af_06_3,d_main_13af_06,Self,ingrid,,Locale_MainScenario:d_main_13af_06_3,False,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,,
d_main_13af_06_4,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_4,True,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,,
d_main_13af_06_5,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_5,True,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,,
d_main_13af_06_6,d_main_13af_06,Speech,marian_p,marian_p,Locale_MainScenario:d_main_13af_06_6,False,,L_130,14,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,marian_p,15,idle
d_main_13af_06_7,d_main_13af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_06_7,False,,2,2,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_8,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_8,False,,2,2,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_9,d_main_13af_06,Speech,neon,neon,Locale_MainScenario:d_main_13af_06_9,False,,2,4,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_10,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_10,True,,4,30,1.0,,,,5,idle,,3,delight,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_11,d_main_13af_06,Speech,neon,neon,Locale_MainScenario:d_main_13af_06_11,True,,30,S_50,1.0,,,,5,delight,,3,idle,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_12,d_main_13af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_06_12,True,,10,10,1.0,,,,5,idle,,3,idle,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_13,d_main_13af_06,Speech,marian_p,marian_p,Locale_MainScenario:d_main_13af_06_13,True,,150,150,1.0,,,,5,surprise,,3,idle,,1,worry,,,13,idle,,,15,delight
d_main_13af_06_14,d_main_13af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_06_14,False,,150,150,1.0,,,,5,idle,,3,sad,,1,think,,,13,idle,,,15,delight
d_main_13af_06_15,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_15,False,,150,150,1.0,,,,5,idle,,3,sad,,1,think,,,13,idle,,,15,delight
d_main_13af_06_16,d_main_13af_06,Speech,neon,neon,Locale_MainScenario:d_main_13af_06_16,False,,150,150,1.0,,,,5,idle,,3,sad,,1,think,,,13,idle,,,15,delight
