id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker
d_main_40_02_1,d_main_40_02,Self,nayuta_n,Locale_MainScenario:d_main_40_02_1,False,rapi_red,1,idle,nayuta_n,3,idle,maxwell_p,13,idle,TechIndoor,300,300,1.0,bgm_story_halo,
d_main_40_02_2,d_main_40_02,Speech,nayuta_n,Locale_MainScenario:d_main_40_02_2,True,,1,idle,,3,idle,,13,idle,,300,300,1.0,,nayuta_n
d_main_40_02_3,d_main_40_02,Speech,nayuta_n,Locale_MainScenario:d_main_40_02_3,True,,1,idle,,3,idle,,13,idle,,300,300,1.0,,nayuta_n
d_main_40_02_4,d_main_40_02,Speech,nayuta_n,Locale_MainScenario:d_main_40_02_4,True,,1,idle,,3,idle,,13,idle,,300,300,1.0,,nayuta_n
d_main_40_02_5,d_main_40_02,Self,nayuta_n,Locale_MainScenario:d_main_40_02_5,False,,1,idle,,3,idle,,13,idle,,300,300,1.0,,
d_main_40_02_6,d_main_40_02,Speech,nayuta_n,Locale_MainScenario:d_main_40_02_6,True,,1,idle,,3,idle,,13,idle,,300,300,1.0,,nayuta_n
d_main_40_02_7,d_main_40_02,Speech,nayuta_n,Locale_MainScenario:d_main_40_02_7,True,,1,idle,,3,idle,,13,idle,,300,300,1.0,,nayuta_n
d_main_40_02_8,d_main_40_02,Speech,nayuta_n,Locale_MainScenario:d_main_40_02_8,True,,1,idle,,3,idle,,13,idle,,300,30,1.0,,nayuta_n
d_main_40_02_9,d_main_40_02,Speech,rapi_red,Locale_MainScenario:d_main_40_02_9,True,,1,think,,3,idle,,13,idle,,30,31,1.0,,rapi_red
d_main_40_02_10,d_main_40_02,Speech,nayuta_n,Locale_MainScenario:d_main_40_02_10,True,,1,think,,3,idle,,13,idle,,31,31,1.0,,nayuta_n
d_main_40_02_11,d_main_40_02,Speech,nayuta_n,Locale_MainScenario:d_main_40_02_11,True,,1,think,,3,idle,,13,idle,,31,31,1.0,,nayuta_n
d_main_40_02_12,d_main_40_02,Speech,nayuta_n,Locale_MainScenario:d_main_40_02_12,True,,1,think,,3,idle,,13,idle,,31,31,1.0,,nayuta_n
d_main_40_02_13,d_main_40_02,Self,nayuta_n,Locale_MainScenario:d_main_40_02_13,False,,1,think,,3,idle,,13,idle,,31,31,1.0,,
