id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id
d_main_29_04_e_1,d_main_29_04_e,Speech,shifty,shifty,Locale_MainScenario:d_main_29_04_e_1,True,shifty,OP_leftup,angry,trony_op_r,OP_rightup,shy,anis,5,void,neon,3,idle,rapi,1,idle,fragile,13,sorry,drilley,15,idle,CrystalCity,1,1,1.0,bgm_emergency,,
d_main_29_04_e_2,d_main_29_04_e,Speech,shifty,shifty,Locale_MainScenario:d_main_29_04_e_2,True,,OP_leftup,angry,,OP_rightup,shy,,5,void,,3,idle,,1,idle,,13,sorry,,15,idle,,1,1,1.0,,,
d_main_29_04_e_3,d_main_29_04_e,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_04_e_3,True,,OP_leftup,angry,,OP_rightup,shy,,5,void,,3,idle,,1,idle,,13,sorry,,15,idle,,1,1,1.0,,,
d_main_29_04_e_4,d_main_29_04_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_04_e_4,True,,OP_leftup,angry,,OP_rightup,shy,,5,void,,3,idle,,1,angry,,13,sorry,,15,idle,,1,10,0.6,,shifty,trony_op_r
d_main_29_04_e_5,d_main_29_04_e,Self,neon,,Locale_MainScenario:d_main_29_04_e_5,False,,,,,,,,5,void,,3,idle,,1,angry,,13,sorry,,15,idle,,10,S_30,1.0,,,
d_main_29_04_e_6,d_main_29_04_e,Speech,neon,neon,Locale_MainScenario:d_main_29_04_e_6,True,,,,,,,,5,void,,3,idle,,1,angry,,13,sorry,,15,idle,,S_30,S_30,1.0,,,
d_main_29_04_e_7,d_main_29_04_e,Self,fragile,,Locale_MainScenario:d_main_29_04_e_7,False,,,,,,,,5,void,,3,idle,,1,angry,,13,sorry,,15,idle,,S_30,14,1.0,,,
d_main_29_04_e_8,d_main_29_04_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_e_8,True,,,,,,,,5,void,,3,idle,,1,angry,,13,sorry,,15,idle,,14,14,1.0,,,
d_main_29_04_e_9,d_main_29_04_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_04_e_9,True,,,,,,,,5,void,,3,idle,,1,angry,,13,sorry,,15,idle,,14,14,1.0,,,
d_main_29_04_e_10,d_main_29_04_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_e_10,True,,,,,,,,5,void,,3,idle,,1,angry,,13,surprise,,15,idle,,14,14,1.0,,,
d_main_29_04_e_11,d_main_29_04_e,Speech,neon,neon,Locale_MainScenario:d_main_29_04_e_11,True,,,,,,,,5,void,,3,surprise,,1,angry,,13,surprise,,15,idle,,S_30,3,0.6,,,
d_main_29_04_e_12,d_main_29_04_e,Speech,neon,neon,Locale_MainScenario:d_main_29_04_e_12,True,,,,,,,,5,void,,3,surprise,,1,angry,,13,surprise,,15,idle,,3,3,1.0,,,
d_main_29_04_e_13,d_main_29_04_e,Speech,anis,anis,Locale_MainScenario:d_main_29_04_e_13,True,,,,,,,,5,angry,,3,surprise,,1,angry,,13,surprise,,15,idle,,3,4,1.0,,,
