id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_06_05_1,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_1,True,IceLand_03,1,1,1.0,bgm_story_inwonderland,alice,3,idle,ludmilla,1,idle,rapi,13,idle,,anis,15,idle,,neon,17,idle,
d_main_06_05_2,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_2,True,,1,1,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_3,d_main_06_05,Speech,anis,anis,Locale_MainScenario:d_main_06_05_3,True,,15,15,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_4,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_4,True,,15,1,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_5,d_main_06_05,Self,ludmilla,Self,Locale_MainScenario:d_main_06_05_5,True,,1,1,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_6,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_6,True,,1,10,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_7,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_7,True,,10,10,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_8,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_8,True,,10,10,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_9,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_9,True,,10,10,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_10,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_10,True,,10,100,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_11,d_main_06_05,Speech,anis,anis,Locale_MainScenario:d_main_06_05_11,True,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_12,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_12,True,,10,10,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_13,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_13,True,,10,31,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_14,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_14,True,,31,31,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_15,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_15,True,,31,31,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_16,d_main_06_05,Speech,alice,alice,Locale_MainScenario:d_main_06_05_16,True,,31,31,1.0,,,3,delight,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_17,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_17,True,,31,1,1.0,,,3,delight,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_18,d_main_06_05,Self,ludmilla,Self,Locale_MainScenario:d_main_06_05_18,True,,1,1,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_19,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_19,True,,1,1,1.0,,,3,idle,,1,idle,,13,idle,,,15,idle,,,17,idle,
d_main_06_05_20,d_main_06_05,Monologue,ludmilla,,Locale_MainScenario:d_main_06_05_20,True,,1,5,1.0,,,3,idle,,1,idle,,13,idle,rapi,,15,idle,anis,,17,idle,neon
d_main_06_05_21,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_21,True,,5,1,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_22,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_22,True,,1,1,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_23,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_23,True,,1,10,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_24,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_24,True,,10,10,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_25,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_25,True,,10,10,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_26,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_26,True,,10,10,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_27,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_27,True,,10,100,2.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_28,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_28,True,,100,100,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_29,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_29,True,,100,100,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_30,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_30,True,,100,10,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_31,d_main_06_05,Self,ludmilla,Self,Locale_MainScenario:d_main_06_05_31,True,,10,10,1.0,,,3,idle,,1,think,,,,,,,,,,,,
d_main_06_05_32,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_32,True,,10,31,1.0,,,3,idle,,1,idle,,,,,,,,,,,,
d_main_06_05_33,d_main_06_05,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_05_33,True,,31,31,1.0,,,3,idle,,1,idle,,,,,,,,,,,,
d_main_06_05_34,d_main_06_05,Speech,alice,alice,Locale_MainScenario:d_main_06_05_34,True,,31,9,2.0,,,3,delight,,1,idle,,,,,,,,,,,,
