id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,fade,characters/1/hide_char_id
d_ex_toyshop_04_1,d_ex_toyshop_04,Narration,Narration,Locale_SuddenStory:d_ex_toyshop_04_1,False,ToyShop,1,1,1.0,sfx_scn_toyshopbell,bgm_story_orangepop,,,,,,,,,,,
d_ex_toyshop_04_2,d_ex_toyshop_04,Self,Self,Locale_SuddenStory:d_ex_toyshop_04_2,False,,1,1,1.0,,,,,,,,,,,,,
d_ex_toyshop_04_3,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_3,True,,1,1,1.0,,,ludmilla,neve,2,idle,ludmilla,12,idle,,,,
d_ex_toyshop_04_4,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_4,True,,1,1,1.0,,,ludmilla,,2,idle,,12,idle,,,,
d_ex_toyshop_04_5,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_5,False,,1,1,1.0,,,neve,,2,"expression_0,idle",,12,idle,,,,
d_ex_toyshop_04_6,d_ex_toyshop_04,Choice,,Locale_SuddenStory:d_ex_toyshop_04_6,False,,1,1,1.0,,,,,2,idle,,12,idle,d_ex_toyshop_04_8,,,
d_ex_toyshop_04_7,d_ex_toyshop_04,Choice,,Locale_SuddenStory:d_ex_toyshop_04_7,False,,1,1,1.0,,,,,2,idle,,12,idle,d_ex_toyshop_04_11,,,
d_ex_toyshop_04_8,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_8,True,,1,1,1.0,,,ludmilla,,2,idle,,12,pain,,,,
d_ex_toyshop_04_9,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_9,True,,1,1,1.0,,,ludmilla,,2,idle,,12,pain,,,,
d_ex_toyshop_04_10,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_10,True,,1,1,1.0,,,neve,,2,idle,,12,pain,d_ex_toyshop_04_14,,,
d_ex_toyshop_04_11,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_11,True,,1,1,1.0,,,ludmilla,,2,idle,,12,idle,,,,
d_ex_toyshop_04_12,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_12,True,,1,1,1.0,,,ludmilla,,2,idle,,12,pain,,,,
d_ex_toyshop_04_13,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_13,True,,1,1,1.0,,,ludmilla,,2,idle,,12,pain,,,,
d_ex_toyshop_04_14,d_ex_toyshop_04,Self,Self,Locale_SuddenStory:d_ex_toyshop_04_14,False,,1,1,1.0,,,,,2,idle,,12,pain,,,,
d_ex_toyshop_04_15,d_ex_toyshop_04,Self,Self,Locale_SuddenStory:d_ex_toyshop_04_15,False,,1,1,1.0,,,,,2,idle,,12,pain,,,,
d_ex_toyshop_04_16,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_16,True,,1,1,1.0,,,neve,,2,idle,,12,idle,,,,
d_ex_toyshop_04_17,d_ex_toyshop_04,Self,Self,Locale_SuddenStory:d_ex_toyshop_04_17,False,,1,1,1.0,,,neve,,2,idle,,12,idle,,,,
d_ex_toyshop_04_18,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_18,True,,1,20,1.5,,,neve,,2,idle,,12,idle,,,,
d_ex_toyshop_04_19,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_19,True,,20,20,1.0,,,neve,,2,idle,,12,idle,,,,
d_ex_toyshop_04_20,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_20,True,,20,20,1.0,,,neve,,2,idle,,12,idle,,,,
d_ex_toyshop_04_21,d_ex_toyshop_04,Self,Self,Locale_SuddenStory:d_ex_toyshop_04_21,False,,20,20,1.0,,,neve,,2,idle,,12,idle,,,,
d_ex_toyshop_04_22,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_22,True,,20,120,1.0,,,ludmilla,,2,idle,,12,idle,,,,
d_ex_toyshop_04_23,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_23,True,,120,1,1.0,,,neve,,2,shy,,12,idle,,,,
d_ex_toyshop_04_24,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_24,True,,1,1,1.0,,,neve,,2,shy,,12,idle,,,,
d_ex_toyshop_04_25,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_25,True,,1,1,1.0,,,neve,,2,shy,,12,idle,,,,
d_ex_toyshop_04_26,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_26,True,,1,1,1.0,,,ludmilla,,2,shy,,12,think,,,,
d_ex_toyshop_04_27,d_ex_toyshop_04,Speech,ludmilla,Locale_SuddenStory:d_ex_toyshop_04_27,True,,1,1,1.0,,,ludmilla,,2,shy,,12,think,,,,
d_ex_toyshop_04_28,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_28,True,,1,1,1.0,,,neve,,2,idle,,12,think,,,,
d_ex_toyshop_04_29,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_29,True,,1,1,1.0,,,neve,,2,idle,,12,think,,,,
d_ex_toyshop_04_30,d_ex_toyshop_04,Speech,neve,Locale_SuddenStory:d_ex_toyshop_04_30,True,,1,20,2.0,,,neve,,2,sad,,12,idle,,,,
