id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_05_09_1,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_1,True,IceLand_02,14,14,1.0,bgm_mystery,,alice,3,idle,ludmilla,1,idle,rapi,13,idle,anis,15,idle,neon,17,idle
d_main_05_09_2,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_2,True,,14,14,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_3,d_main_05_09,Speech,neon,neon,Locale_MainScenario:d_main_05_09_3,True,,14,16,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_4,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_4,True,,16,16,1.0,,,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle
d_main_05_09_5,d_main_05_09,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_09_5,True,,16,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_6,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_6,True,,113,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_7,d_main_05_09,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_09_7,True,,113,113,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_8,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_8,True,,113,130,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_9,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_9,True,,3,S_30,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_10,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_10,True,,130,130,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_11,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_11,True,,S_30,S_30,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_12,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_12,True,,130,1300,3.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_13,d_main_05_09,Monologue,rapi,,Locale_MainScenario:d_main_05_09_13,True,,1300,1300,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_14,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_14,False,,1300,130,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_15,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_15,True,,130,13,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_16,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_16,True,,3,S_30,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_17,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_17,True,,130,1300,3.0,,,,3,surprise,,1,idle,,13,think,,15,idle,,17,idle
d_main_05_09_18,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_18,True,,S_30,S_300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_19,d_main_05_09,Speech,neon,neon,Locale_MainScenario:d_main_05_09_19,False,,S_170,S_170,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_20,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_20,False,,150,150,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_21,d_main_05_09,Self,anis,Self,Locale_MainScenario:d_main_05_09_21,True,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_22,d_main_05_09,Speech,neon,neon,Locale_MainScenario:d_main_05_09_22,False,,150,S_170,0.5,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,no
d_main_05_09_23,d_main_05_09,Speech,neon,neon,Locale_MainScenario:d_main_05_09_23,True,,S_170,S_170,1.0,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,no
d_main_05_09_24,d_main_05_09,Speech,neon,neon,Locale_MainScenario:d_main_05_09_24,True,,S_170,S_1700,0.2,,,,3,idle,,1,idle,,13,idle,,15,idle,,17,no
d_main_05_09_25,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_25,True,,S_300,S_300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,no
d_main_05_09_26,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_26,True,,150,150,1.0,,,,3,surprise,,1,idle,,13,idle,,15,delight,,17,idle
d_main_05_09_27,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_27,True,,150,1500,0.5,,,,3,surprise,,1,idle,,13,idle,,15,delight,,17,idle
d_main_05_09_28,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_28,True,,S_300,S_300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_29,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_29,True,,S_300,1300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_30,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_30,True,,1300,130,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_31,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_31,True,,130,150,1.0,,,,3,surprise,,1,idle,,13,idle,,15,sad,,17,idle
d_main_05_09_32,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_32,True,,S_300,S_300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,sad,,17,idle
d_main_05_09_33,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_33,True,,150,150,1.0,,,,3,surprise,,1,idle,,13,idle,,15,delight,,17,idle
d_main_05_09_34,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_34,True,,150,1500,0.2,,,,3,surprise,,1,idle,,13,idle,,15,delight,,17,idle
d_main_05_09_35,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_35,True,,S_30,S_300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_36,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_36,True,,150,1500,3.0,,,,3,surprise,,1,idle,,13,idle,,15,delight,,17,idle
d_main_05_09_37,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_37,True,,1500,1300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_38,d_main_05_09,Choice,anis,,Locale_MainScenario:d_main_05_09_38,True,,1300,1300,1.0,,d_main_05_09_40,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_39,d_main_05_09,Choice,anis,,Locale_MainScenario:d_main_05_09_39,True,,1300,1300,1.0,,d_main_05_09_47,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_40,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_40,False,,1300,1300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_41,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_41,True,,1300,130,1.0,,,,3,surprise,,1,idle,,13,think,,15,idle,,17,idle
d_main_05_09_42,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_42,True,,130,130,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_43,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_43,True,,S_300,S_300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_44,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_44,True,,130,1300,3.0,,,,3,surprise,,1,idle,,13,think,,15,idle,,17,idle
d_main_05_09_45,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_45,True,,S_300,S_300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_46,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_46,True,,1300,13,3.0,,d_main_05_09_54,,3,surprise,,1,idle,,13,think,,15,idle,,17,idle
d_main_05_09_47,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_47,True,,1300,1300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_48,d_main_05_09,Speech,anis,anis,Locale_MainScenario:d_main_05_09_48,True,,1300,1500,1.0,,,,3,surprise,,1,idle,,13,idle,,15,delight,,17,idle
d_main_05_09_49,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_49,False,,1500,1300,2.0,,,,3,surprise,,1,idle,,13,idle,,15,delight,,17,idle
d_main_05_09_50,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_50,True,,1300,130,1.0,,,,3,surprise,,1,idle,,13,think,,15,idle,,17,idle
d_main_05_09_51,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_51,True,,130,130,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_52,d_main_05_09,Speech,alice,alice,Locale_MainScenario:d_main_05_09_52,True,,S_300,S_300,1.0,,,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle
d_main_05_09_53,d_main_05_09,Speech,rapi,rapi,Locale_MainScenario:d_main_05_09_53,True,,130,130,1.0,,,,3,surprise,,1,idle,,13,think,,15,idle,,17,idle
