id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
d_main_23_08_s_1,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_1,True,crow,15,idle,viper,17,idle,jackal,19,idle,ArkRuinIndoor,16,16,1.0,bgm_story_facetoface,,,,,,,,,,,,
d_main_23_08_s_2,d_main_23_08_s,Speech,viper,viper,Locale_MainScenario:d_main_23_08_s_2,True,,15,idle,,17,idle,,19,idle,,16,18,1.0,,,,,,,,,,,,,
d_main_23_08_s_3,d_main_23_08_s,Speech,jackal,jackal,Locale_MainScenario:d_main_23_08_s_3,True,,15,idle,,17,idle,,19,idle,,18,18,1.0,,,,,,,,,,,,,
d_main_23_08_s_4,d_main_23_08_s,Self,,,Locale_MainScenario:d_main_23_08_s_4,False,,15,idle,,17,idle,,19,idle,,18,18,1.0,,,,,,,,,,,,,
d_main_23_08_s_5,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_5,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_6,d_main_23_08_s,Monologue,,,Locale_MainScenario:d_main_23_08_s_6,False,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_7,d_main_23_08_s,Monologue,,,Locale_MainScenario:d_main_23_08_s_7,False,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_8,d_main_23_08_s,Self,,,Locale_MainScenario:d_main_23_08_s_8,False,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_9,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_9,True,,15,idle,,17,idle,,19,idle,,150,15,1.0,,,,,,,,,,,,,
d_main_23_08_s_10,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_10,True,,15,idle,,17,idle,,19,idle,,15,15,1.0,,,,,,,,,,,,,
d_main_23_08_s_11,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_11,True,,15,idle,,17,idle,,19,idle,,15,15,1.0,,,,,,,,,,,,,
d_main_23_08_s_12,d_main_23_08_s,Monologue,,,Locale_MainScenario:d_main_23_08_s_12,False,,15,idle,,17,idle,,19,idle,,15,1,1.0,,,,,,,,,,,,,
d_main_23_08_s_13,d_main_23_08_s,Self,,,Locale_MainScenario:d_main_23_08_s_13,False,,15,idle,,17,idle,,19,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_23_08_s_14,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_14,True,,15,idle,,17,idle,,19,idle,,1,1,1.0,,,,,,,,,,,,,
d_main_23_08_s_15,d_main_23_08_s,Monologue,,,Locale_MainScenario:d_main_23_08_s_15,False,,15,idle,,17,idle,,19,idle,,1,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_16,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_16,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_17,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_17,True,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_18,d_main_23_08_s,Self,,,Locale_MainScenario:d_main_23_08_s_18,False,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_19,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_19,True,,15,smile,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_20,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_20,True,,15,smile,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_21,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_21,True,,15,smile,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_22,d_main_23_08_s,Self,,,Locale_MainScenario:d_main_23_08_s_22,False,,15,smile,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_23,d_main_23_08_s,Self,,,Locale_MainScenario:d_main_23_08_s_23,False,,15,smile,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_24,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_24,False,,15,idle,,17,idle,,19,idle,,150,150,1.0,,,,,,,,,,,,,
d_main_23_08_s_25,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_25,True,,15,idle,,17,idle,,19,idle,,150,15,1.0,,,,,,,,,,,,,
d_main_23_08_s_26,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_26,True,,15,idle,,17,idle,,19,idle,,15,15,1.0,,,,,,,,,,,,,
d_main_23_08_s_27,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_27,True,,15,idle,,17,idle,,19,idle,,15,15,1.0,,,,,,,,,,,,,
d_main_23_08_s_28,d_main_23_08_s,Self,,,Locale_MainScenario:d_main_23_08_s_28,False,,15,idle,,17,idle,,19,idle,,15,15,1.0,,,,,,,,,,,,,
d_main_23_08_s_29,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_29,True,,15,idle,,17,idle,,19,idle,White,15,7,2.0,,drake,9,idle,laplace,7,idle,maxwell,5,idle,,,
d_main_23_08_s_30,d_main_23_08_s,Speech,crow,crow,Locale_MainScenario:d_main_23_08_s_30,True,,15,idle,,17,idle,,19,idle,,7,7,1.0,,,9,idle,,7,idle,,5,idle,,,
