id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake,characters/1/hide_char_id
d_ex_trainstation_05_1,d_ex_trainstation_05,Monologue,Monologue,Locale_SuddenStory:d_ex_trainstation_05_1,False,Station,2,2,1.0,bgm_story_whosdumber,,,,,,,,,,
d_ex_trainstation_05_2,d_ex_trainstation_05,Monologue,Monologue,Locale_SuddenStory:d_ex_trainstation_05_2,False,,2,2,1.0,,,,,,,,,,,
d_ex_trainstation_05_3,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_3,False,,2,2,1.0,,d,cocoa,6,idle,d,2,idle,,,
d_ex_trainstation_05_4,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_4,False,,2,6,2.0,,cocoa,,6,idle,,2,idle,,,
d_ex_trainstation_05_5,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_5,False,,2,1,1.0,,d,,6,idle,,1,idle,,,
d_ex_trainstation_05_6,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_6,False,,1,5,2.0,,cocoa,,5,idle,,1,idle,,,
d_ex_trainstation_05_7,d_ex_trainstation_05,Choice,,Locale_SuddenStory:d_ex_trainstation_05_7,False,,5,5,1.0,,,,5,idle,,1,idle,d_ex_trainstation_05_9,,
d_ex_trainstation_05_8,d_ex_trainstation_05,Choice,,Locale_SuddenStory:d_ex_trainstation_05_8,False,,5,5,1.0,,,,5,idle,,1,idle,d_ex_trainstation_05_14,,
d_ex_trainstation_05_9,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_9,True,,5,1,1.0,,d,,5,idle,,1,think,,,
d_ex_trainstation_05_10,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_10,True,,1,1,1.0,,d,,5,idle,,1,think,,,
d_ex_trainstation_05_11,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_11,False,,1,1,1.0,,,,5,idle,,1,think,,,
d_ex_trainstation_05_12,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_12,True,,1,1,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_13,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_13,False,,1,5,2.0,,,,5,idle,,1,idle,d_ex_trainstation_05_17,,
d_ex_trainstation_05_14,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_14,True,,5,5,1.0,,cocoa,,5,serious,,1,idle,,,
d_ex_trainstation_05_15,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_15,True,,5,5,1.0,,cocoa,,5,serious,,1,idle,,,
d_ex_trainstation_05_16,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_16,False,,5,5,1.0,,,,5,serious,,1,idle,,,
d_ex_trainstation_05_17,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_17,True,,5,XS_50,2.0,,cocoa,,5,serious,,1,idle,,,
d_ex_trainstation_05_18,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_18,True,,XS_50,XS_50,1.0,,cocoa,,5,serious,,1,idle,,,
d_ex_trainstation_05_19,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_19,True,,XS_50,XS_50,1.0,,cocoa,,5,serious,,1,idle,,,
d_ex_trainstation_05_20,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_20,True,,XS_50,XS_50,1.0,,cocoa,,5,serious,,1,idle,,,
d_ex_trainstation_05_21,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_21,True,,XS_50,XS_50,1.0,,cocoa,,5,delight,,1,idle,,,
d_ex_trainstation_05_22,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_22,True,,XS_50,XS_50,1.0,,cocoa,,5,delight,,1,idle,,,
d_ex_trainstation_05_23,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_23,False,,XS_50,5,2.0,,,,5,delight,,1,idle,,,
d_ex_trainstation_05_24,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_24,False,,5,1,1.0,,,,5,delight,,1,idle,,,
d_ex_trainstation_05_25,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_25,False,,1,1,1.0,,d,,5,idle,,1,think,,,
d_ex_trainstation_05_26,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_26,True,,1,1,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_27,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_27,True,,1,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_28,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_28,False,,10,10,1.0,,,,5,idle,,1,idle,,,
d_ex_trainstation_05_29,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_29,True,,10,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_30,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_30,True,,10,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_31,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_31,True,,10,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_32,d_ex_trainstation_05,Choice,,Locale_SuddenStory:d_ex_trainstation_05_32,False,,10,10,1.0,,,,5,idle,,1,idle,d_ex_trainstation_05_34,,
d_ex_trainstation_05_33,d_ex_trainstation_05,Choice,,Locale_SuddenStory:d_ex_trainstation_05_33,False,,10,10,1.0,,,,5,idle,,1,idle,d_ex_trainstation_05_37,,
d_ex_trainstation_05_34,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_34,True,,10,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_35,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_35,True,,10,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_36,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_36,True,,10,10,1.0,,d,,5,idle,,1,idle,d_ex_trainstation_05_43,,
d_ex_trainstation_05_37,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_37,True,,10,10,1.0,,d,,5,idle,,1,think,,,
d_ex_trainstation_05_38,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_38,True,,10,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_39,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_39,True,,10,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_40,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_40,True,,10,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_41,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_41,False,,10,10,1.0,,,,5,idle,,1,idle,,,
