id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,set_camera_shake,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_wingofvictory_04_1,d_ex_wingofvictory_04,Speech,vesti,vesti,Locale_SuddenStory:d_ex_wingofvictory_04_1,True,Park,5,1,2.0,bgm_story_leisuretime,,,,,,,vesti,1,idle,,,,,,,
d_ex_wingofvictory_04_2,d_ex_wingofvictory_04,Monologue,vesti,,Locale_SuddenStory:d_ex_wingofvictory_04_2,True,,1,XS_10,1.0,,,,,,,,,1,idle,,,,,,,
d_ex_wingofvictory_04_3,d_ex_wingofvictory_04,Self,vesti,,Locale_SuddenStory:d_ex_wingofvictory_04_3,True,,XS_10,XS_10,1.0,,,,,,,,,1,idle,,,,,,,
d_ex_wingofvictory_04_4,d_ex_wingofvictory_04,Speech,vesti,vesti,Locale_SuddenStory:d_ex_wingofvictory_04_4,True,,XS_10,XS_10,1.0,,,,,,,,,1,idle,,,,,,,
d_ex_wingofvictory_04_5,d_ex_wingofvictory_04,Speech,vesti,vesti,Locale_SuddenStory:d_ex_wingofvictory_04_5,True,,XS_10,XS_10,1.0,,,,,,,,,1,sad,,,,,,,
d_ex_wingofvictory_04_6,d_ex_wingofvictory_04,Speech,vesti,vesti,Locale_SuddenStory:d_ex_wingofvictory_04_6,True,,XS_10,XS_10,1.0,,,,,,,,,1,sad,,,,,,,
d_ex_wingofvictory_04_7,d_ex_wingofvictory_04,Self,vesti,,Locale_SuddenStory:d_ex_wingofvictory_04_7,True,,XS_10,XS_10,1.0,,,,,,,,,1,sad,,,,,,,
d_ex_wingofvictory_04_8,d_ex_wingofvictory_04,Speech,vesti,vesti,Locale_SuddenStory:d_ex_wingofvictory_04_8,True,,XS_10,XS_10,1.0,,,,,,,,,1,sad,,,,,,,
d_ex_wingofvictory_04_9,d_ex_wingofvictory_04,Self,vesti,,Locale_SuddenStory:d_ex_wingofvictory_04_9,True,,XS_10,XS_10,1.0,,,,,,,,,1,sad,,,,,,,
d_ex_wingofvictory_04_10,d_ex_wingofvictory_04,Speech,vesti,vesti,Locale_SuddenStory:d_ex_wingofvictory_04_10,True,,XS_10,XS_100,0.5,,,,,,,,,1,idle,,,,,,,
d_ex_wingofvictory_04_11,d_ex_wingofvictory_04,Self,vesti,,Locale_SuddenStory:d_ex_wingofvictory_04_11,True,,XS_100,XS_100,1.0,,,,,,,,,1,idle,,,,,,,
d_ex_wingofvictory_04_12,d_ex_wingofvictory_04,Speech,viper,viper,Locale_SuddenStory:d_ex_wingofvictory_04_12,True,,130,130,1.0,bgm_story_kneeldownfools,black,,,,,,,1,idle,,viper,13,idle,,,
