id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/2/hide_char_id,characters/0/hide_char_id
d_ex_hospital_05_1,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_1,True,Corridor,12,12,1.0,bgm_story_leisuretime,,,,,,,,,,,,,,
d_ex_hospital_05_2,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_2,True,,12,12,1.0,,,,,,,,,,,,,,,
d_ex_hospital_05_3,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_3,False,,12,12,1.0,,,,,,,,,,,,,,,
d_ex_hospital_05_4,d_ex_hospital_05,Monologue,,,Locale_SuddenStory:d_ex_hospital_05_4,False,,12,12,1.0,,biscuit,1,sad,mary,13,worry,,,,,,,,
d_ex_hospital_05_5,d_ex_hospital_05,Choice,,,Locale_SuddenStory:d_ex_hospital_05_5,False,,12,12,1.0,,,1,sad,,13,worry,d_ex_hospital_05_7,,,,,,,
d_ex_hospital_05_6,d_ex_hospital_05,Choice,,,Locale_SuddenStory:d_ex_hospital_05_6,False,,12,12,1.0,,,1,sad,,13,worry,d_ex_hospital_05_7,,,,,,,
d_ex_hospital_05_7,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_7,True,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_8,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_8,True,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_9,d_ex_hospital_05,Choice,,,Locale_SuddenStory:d_ex_hospital_05_9,False,,12,12,1.0,,,1,idle,,13,idle,d_ex_hospital_05_11,,,,,,,
d_ex_hospital_05_10,d_ex_hospital_05,Choice,,,Locale_SuddenStory:d_ex_hospital_05_10,False,,12,12,1.0,,,1,idle,,13,idle,d_ex_hospital_05_13,,,,,,,
d_ex_hospital_05_11,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_11,True,,12,12,1.0,,,1,idle,,13,worry,,,,,,,,
d_ex_hospital_05_12,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_12,True,,12,12,1.0,,,1,idle,,13,worry,d_ex_hospital_05_15,,,,,,,
d_ex_hospital_05_13,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_13,True,,12,12,1.0,,,1,shy,,13,idle,,,,,,,,
d_ex_hospital_05_14,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_14,True,,12,12,1.0,,,1,shy,,13,idle,d_ex_hospital_05_15,,,,,,,
d_ex_hospital_05_15,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_15,False,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_16,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_16,True,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_17,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_17,False,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_18,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_18,True,,12,XS_10,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_19,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_19,True,,XS_10,XS_10,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_20,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_20,True,,XS_10,XS_10,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_21,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_21,True,,XS_10,XS_10,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_22,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_22,True,,XS_10,XS_10,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_23,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_23,True,,XS_10,XS_10,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_24,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_24,False,,XS_10,XS_10,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_25,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_25,True,,XS_10,XS_10,1.0,,,1,delight,,13,idle,,,,,,,,
d_ex_hospital_05_26,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_26,False,,XS_10,XS_10,1.0,,,1,delight,,13,idle,,,,,,,,
d_ex_hospital_05_27,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_27,False,,XS_10,XS_10,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_28,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_28,True,,XS_10,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_29,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_29,True,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_30,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_30,False,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_31,d_ex_hospital_05,Choice,,,Locale_SuddenStory:d_ex_hospital_05_31,False,,12,12,1.0,,,1,idle,,13,idle,d_ex_hospital_05_33,,,,,,,
d_ex_hospital_05_32,d_ex_hospital_05,Choice,,,Locale_SuddenStory:d_ex_hospital_05_32,False,,12,12,1.0,,,1,idle,,13,idle,d_ex_hospital_05_36,,,,,,,
d_ex_hospital_05_33,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_33,True,,12,12,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_34,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_34,True,,12,12,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_35,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_35,False,,12,12,1.0,,,1,sad,,13,idle,d_ex_hospital_05_36,,,,,,,
d_ex_hospital_05_36,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_36,True,,12,XS_10,2.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_37,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_37,True,,XS_10,XS_10,1.0,,,1,delight,,13,idle,,,,,,,,
d_ex_hospital_05_38,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_38,False,,XS_10,XS_10,1.0,,,1,delight,,13,idle,,,,,,,,
d_ex_hospital_05_39,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_39,True,,XS_10,XS_130,1.0,,,1,idle,,13,worry,,,,,,,,
d_ex_hospital_05_40,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_40,True,,XS_130,XS_130,1.0,,,1,idle,,13,worry,,,,,,,,
d_ex_hospital_05_41,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_41,False,,XS_130,XS_130,1.0,,,1,idle,,13,worry,,,,,,,,
d_ex_hospital_05_42,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_42,True,,XS_130,XS_130,1.0,,,1,idle,,13,idle,,,,,,,,
