id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id
d_main_26_2_e_1,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_1,False,dorothy,7,think,redhood,5,think,anis,3,void,neon,1,idle,chime,13,idle,crown,15,idle,Desert_01,3,3,1.0,bgm_highnoon,,,,
d_main_26_2_e_2,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_2,False,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle,,3,3,1.0,,,,,
d_main_26_2_e_3,d_main_26_02_e,Speech,Locale_MainScenario:d_main_26_2_e_3,True,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle,,3,3,1.0,,anis,anis,,
d_main_26_2_e_4,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_4,False,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle,,3,3,1.0,,,,,
d_main_26_2_e_5,d_main_26_02_e,Speech,Locale_MainScenario:d_main_26_2_e_5,False,,7,think,,5,think,,3,worry,,1,idle,,13,idle,,15,idle,,3,3,1.0,,anis,anis,,
d_main_26_2_e_6,d_main_26_02_e,Speech,Locale_MainScenario:d_main_26_2_e_6,True,,7,think,,5,think,,3,worry,,1,idle,,13,idle,,15,idle,,3,3,1.0,,anis,anis,,
d_main_26_2_e_7,d_main_26_02_e,Speech,Locale_MainScenario:d_main_26_2_e_7,True,,7,think,,5,think,,3,worry,,1,idle,,13,idle,,15,idle,,3,3,1.0,,anis,anis,,
d_main_26_2_e_8,d_main_26_02_e,Speech,Locale_MainScenario:d_main_26_2_e_8,True,,7,think,,5,think,,3,worry,,1,idle,,13,idle,,15,idle,,3,3,1.0,,anis,anis,,
d_main_26_2_e_9,d_main_26_02_e,Speech,Locale_MainScenario:d_main_26_2_e_9,True,,7,think,,5,think,,3,worry,,1,idle,,13,idle,,15,idle,,3,3,1.0,,anis,anis,,
d_main_26_2_e_10,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_10,False,,7,think,,5,think,,3,worry,,1,idle,,13,idle,,15,idle,,3,3,1.0,,,,,
d_main_26_2_e_11,d_main_26_02_e,Speech,Locale_MainScenario:d_main_26_2_e_11,True,,7,think,,5,think,,3,angry,,1,idle,,13,idle,,15,idle,,3,30,0.6,,anis,anis,,
d_main_26_2_e_12,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_12,False,,7,think,,5,think,,3,angry,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_26_2_e_13,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_13,False,,7,think,,5,think,,3,angry,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_26_2_e_14,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_14,False,,7,think,,5,think,,3,angry,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_26_2_e_15,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_15,False,,7,think,,5,think,,3,angry,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_26_2_e_16,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_16,False,,7,think,,5,think,,3,angry,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_26_2_e_17,d_main_26_02_e,Speech,Locale_MainScenario:d_main_26_2_e_17,True,,7,think,,5,think,,3,worry,,1,idle,,13,idle,,15,idle,,30,30,1.0,,anis,anis,,
d_main_26_2_e_18,d_main_26_02_e,Self,Locale_MainScenario:d_main_26_2_e_18,False,,7,think,,5,think,,3,worry,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,,
