id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,highlight,speaker,set_camera_shake,fade
d_ex_cafe_08_1,d_ex_cafe_08,Monologue,Locale_SuddenStory:d_ex_cafe_08_1,False,CommanderRoom,1,1,1.0,none,,,,,,,,,,,
d_ex_cafe_08_2,d_ex_cafe_08,Monologue,Locale_SuddenStory:d_ex_cafe_08_2,False,,1,1,1.0,,,,,,,,,,,,
d_ex_cafe_08_3,d_ex_cafe_08,Narration,Locale_SuddenStory:d_ex_cafe_08_3,False,Cafe,black,black,1.0,,bay,1,idle,emma,3,idle,sfx_scn_chimebell02,,,,
d_ex_cafe_08_4,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_4,True,,2,2,1.0,bgm_story_orangepop,,1,idle,,3,idle,,emma,emma,,
d_ex_cafe_08_5,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_5,True,,2,2,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_6,d_ex_cafe_08,Monologue,Locale_SuddenStory:d_ex_cafe_08_6,False,,2,2,1.0,,,1,idle,,3,idle,,bay,,,
d_ex_cafe_08_7,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_7,True,,2,2,1.0,,,1,idle,,3,idle,,emma,emma,,
d_ex_cafe_08_8,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_8,True,,2,2,1.0,,,1,idle,,3,idle,,emma,emma,,
d_ex_cafe_08_9,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_9,True,,2,2,1.0,,,1,idle,,3,delight,,emma,emma,,
d_ex_cafe_08_10,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_10,True,,2,2,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_11,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_11,True,,2,2,1.0,,,1,idle,,3,idle,,emma,emma,,
d_ex_cafe_08_12,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_12,True,,2,2,1.0,,,1,idle,,3,idle,,emma,emma,,
d_ex_cafe_08_13,d_ex_cafe_08,Self,Locale_SuddenStory:d_ex_cafe_08_13,False,,2,2,1.0,,,1,idle,,3,idle,,emma,,,
d_ex_cafe_08_14,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_14,True,,2,30,1.0,,,1,idle,,3,delight,,emma,emma,,
d_ex_cafe_08_15,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_15,True,,30,30,1.0,,,1,idle,,3,idle,,emma,emma,,
d_ex_cafe_08_16,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_16,True,,30,2,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_17,d_ex_cafe_08,Monologue,Locale_SuddenStory:d_ex_cafe_08_17,False,,2,2,1.0,,,1,idle,,3,idle,,bay,,,
d_ex_cafe_08_18,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_18,True,,2,2,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_19,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_19,True,,2,2,1.0,,,1,idle,,3,idle,,emma,emma,,
d_ex_cafe_08_20,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_20,True,,2,2,1.0,,,1,idle,,3,idle,,emma,emma,,
d_ex_cafe_08_21,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_21,True,,2,2,1.0,,,1,surprise,,3,idle,,bay,bay,,
d_ex_cafe_08_22,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_22,True,,2,10,1.0,,,1,surprise,,3,idle,,bay,bay,,
d_ex_cafe_08_23,d_ex_cafe_08,Monologue,Locale_SuddenStory:d_ex_cafe_08_23,False,,10,10,1.0,,,1,idle,,3,idle,,bay,,,
d_ex_cafe_08_24,d_ex_cafe_08,Monologue,Locale_SuddenStory:d_ex_cafe_08_24,False,,10,10,1.0,,,1,idle,,3,idle,,bay,,,
d_ex_cafe_08_25,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_25,True,,10,10,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_26,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_26,True,,10,10,1.0,,,1,surprise,,3,idle,,bay,bay,,
d_ex_cafe_08_27,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_27,True,,10,10,1.0,,,1,surprise,,3,idle,,bay,bay,,
d_ex_cafe_08_28,d_ex_cafe_08,Self,Locale_SuddenStory:d_ex_cafe_08_28,False,,10,10,1.0,,,1,surprise,,3,surprise,,bay,,,
d_ex_cafe_08_29,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_29,True,,10,30,1.0,,,1,surprise,,3,surprise,,emma,emma,,
d_ex_cafe_08_30,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_30,True,,30,30,1.0,,,1,surprise,,3,special,,emma,emma,,
d_ex_cafe_08_31,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_31,True,,30,2,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_32,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_32,True,,2,2,1.0,,,1,idle,,3,idle,,emma,emma,,
d_ex_cafe_08_33,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_33,True,,2,2,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_34,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_34,True,,2,2,1.0,,,1,idle,,3,delight,,emma,emma,,
d_ex_cafe_08_35,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_35,True,,2,2,1.0,,,1,sad,,3,delight,,bay,bay,,
d_ex_cafe_08_36,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_36,True,,2,2,1.0,,,1,sad,,3,idle,,emma,emma,,
d_ex_cafe_08_37,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_37,True,,2,2,1.0,,,1,sad,,3,idle,,emma,emma,,
d_ex_cafe_08_38,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_38,True,,2,10,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_39,d_ex_cafe_08,Monologue,Locale_SuddenStory:d_ex_cafe_08_39,False,,10,10,1.0,,,1,idle,,3,idle,,bay,,,
d_ex_cafe_08_40,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_40,True,,10,10,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_41,d_ex_cafe_08,Narration,Locale_SuddenStory:d_ex_cafe_08_41,False,,10,10,1.0,,,1,idle,,3,idle,sfx_scn_dustcloth,bay,,,
d_ex_cafe_08_42,d_ex_cafe_08,Monologue,Locale_SuddenStory:d_ex_cafe_08_42,False,,10,10,1.0,,,1,idle,,3,idle,,bay,,,
d_ex_cafe_08_43,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_43,True,,10,10,1.0,,,1,surprise,,3,idle,,bay,bay,,
d_ex_cafe_08_44,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_44,True,,10,10,1.0,,,1,idle,,3,idle,,bay,bay,,
d_ex_cafe_08_45,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_45,False,,10,100,1.0,,,1,sad,,3,idle,,bay,bay,,
d_ex_cafe_08_46,d_ex_cafe_08,Speech,Locale_SuddenStory:d_ex_cafe_08_46,True,,100,100,1.0,,,1,sad,,3,idle,,bay,bay,,
d_ex_cafe_08_47,d_ex_cafe_08,Monologue,Locale_SuddenStory:d_ex_cafe_08_47,False,,100,100,1.0,,,1,sad,,3,idle,,bay,,,
