id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
d_main_32_02_s_1,d_main_32_02_s,Self,Locale_MainScenario:d_main_32_02_s_1,False,grave,7,idle,rapi,5,idle,neon,3,idle,anis,1,idle,eunhwa,13,idle,emma,15,idle,vesti,17,idle,CrystalCity,31,31,1.0,bgm_chapter32_field_advance,,
d_main_32_02_s_2,d_main_32_02_s,Self,Locale_MainScenario:d_main_32_02_s_2,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_32_02_s_3,d_main_32_02_s,Self,Locale_MainScenario:d_main_32_02_s_3,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_32_02_s_4,d_main_32_02_s,Self,Locale_MainScenario:d_main_32_02_s_4,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,
d_main_32_02_s_5,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_5,True,,7,idle,,5,idle,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,neon,neon
d_main_32_02_s_6,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_6,True,,7,idle,,5,idle,,3,delight,,1,worry,,13,idle,,15,idle,,17,idle,,31,31,1.0,,anis,anis
d_main_32_02_s_7,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_7,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,XS_170,XS_170,1.0,,vesti,vesti
d_main_32_02_s_8,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_8,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,130,130,1.0,,eunhwa,eunhwa
d_main_32_02_s_9,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_9,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,eunhwa,eunhwa
d_main_32_02_s_10,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_10,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,1315,1.0,,emma,emma
d_main_32_02_s_11,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_11,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,1315,1315,1.0,,emma,emma
d_main_32_02_s_12,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_12,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,1315,1315,1.0,,emma,emma
d_main_32_02_s_13,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_13,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,1315,1315,1.0,,eunhwa,eunhwa
d_main_32_02_s_14,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_14,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,1315,130,1.0,,eunhwa,eunhwa
d_main_32_02_s_15,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_15,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,eunhwa,eunhwa
d_main_32_02_s_16,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_16,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,eunhwa,eunhwa
d_main_32_02_s_17,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_17,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,eunhwa,eunhwa
d_main_32_02_s_18,d_main_32_02_s,Speech,Locale_MainScenario:d_main_32_02_s_18,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,eunhwa,eunhwa
