id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_17_05_s_1,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_1,True,IceLand_02,L_10,L_10,1.0,bgm_story_thepilgrim,,,snowwhite,1,idle,rapunzel,13,idle,hongryeon,3,idle,anis,15,idle,neon,17,idle,rapi,19,idle
d_main_17_05_s_2,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_2,True,,130,130,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_3,d_main_17_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_05_s_3,True,,30,30,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_4,d_main_17_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_05_s_4,True,,30,30,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_5,d_main_17_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_05_s_5,True,,30,30,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_6,d_main_17_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_05_s_6,True,,30,30,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_7,d_main_17_05_s,Self,hongryeon,,Locale_MainScenario:d_main_17_05_s_7,False,,30,30,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_8,d_main_17_05_s,Speech,anis,anis,Locale_MainScenario:d_main_17_05_s_8,True,,30,1517,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_9,d_main_17_05_s,Speech,anis,anis,Locale_MainScenario:d_main_17_05_s_9,True,,1517,1517,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_10,d_main_17_05_s,Speech,neon,neon,Locale_MainScenario:d_main_17_05_s_10,True,,1517,1517,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,angry,,19,idle
d_main_17_05_s_11,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_11,True,,1517,1,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,angry,,19,idle
d_main_17_05_s_12,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_12,True,,1,1,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,angry,,19,idle
d_main_17_05_s_13,d_main_17_05_s,Self,snowwhite,,Locale_MainScenario:d_main_17_05_s_13,False,,1,1,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,angry,,19,idle
d_main_17_05_s_14,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_14,True,,1,1,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,angry,,19,idle
d_main_17_05_s_15,d_main_17_05_s,Monologue,snowwhite,,Locale_MainScenario:d_main_17_05_s_15,False,,1,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,angry,,19,idle
d_main_17_05_s_16,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_16,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,angry,,19,idle
d_main_17_05_s_17,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_17,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,angry,,19,idle
d_main_17_05_s_18,d_main_17_05_s,Speech,anis,anis,Locale_MainScenario:d_main_17_05_s_18,True,,1517,1517,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,angry,,19,idle
