id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_22_09_1,d_main_22_09,Narration,Locale_MainScenario:d_main_22_09_1,False,eh,1,idle,ElevatorOut,black,black,1.0,bgm_story_conflict,,,,,,,,,,,
d_main_22_09_2,d_main_22_09,Narration,Locale_MainScenario:d_main_22_09_2,False,,1,idle,,black,black,1.0,,,,,,,,,,,,
d_main_22_09_3,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_3,False,,1,idle,,1,1,1.0,,eh,eh,,,,,,,,,
d_main_22_09_4,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_4,True,,1,idle,,1,1,1.0,,eh,eh,,,,,,,,,
d_main_22_09_5,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_5,True,,1,idle,,1,3,0.5,,moran,moran,moran,3,angry,,,,,,
d_main_22_09_6,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_6,True,,1,idle,,3,31,2.0,,eh,eh,,3,angry,,,,,,
d_main_22_09_7,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_7,True,,1,idle,,31,31,1.0,,eh,eh,,3,angry,,,,,,
d_main_22_09_8,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_8,True,,1,idle,,31,31,1.0,,eh,eh,,3,angry,,,,,,
d_main_22_09_9,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_9,True,,1,idle,,31,31,1.0,,moran,moran,,3,angry,,,,,,
d_main_22_09_10,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_10,True,,1,idle,,31,31,1.0,,eh,eh,,3,angry,,,,,,
d_main_22_09_11,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_11,True,,1,idle,,31,31,1.0,,moran,moran,,3,angry,,,,,,
d_main_22_09_12,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_12,True,,1,idle,,31,31,1.0,,moran,moran,,3,angry,,,,,,
d_main_22_09_13,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_13,True,,1,idle,,31,31,1.0,,eh,eh,,3,angry,,,,,,
d_main_22_09_14,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_14,True,,1,idle,,31,31,1.0,,eh,eh,,3,angry,,,,,,
d_main_22_09_15,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_15,True,,1,idle,,31,31,1.0,,moran,moran,,3,angry,,,,,,
d_main_22_09_16,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_16,True,,1,idle,,31,31,1.0,,eh,eh,,3,angry,,,,,,
d_main_22_09_17,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_17,True,,1,idle,,31,31,1.0,,moran,moran,,3,worry,,,,,,
d_main_22_09_18,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_18,True,,1,idle,,31,1315,2.0,,rosanna,rosanna,,3,worry,rosanna,13,angry,sakura,15,idle
d_main_22_09_19,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_19,True,,1,idle,,1315,1315,1.0,,sakura,sakura,,3,worry,,13,angry,,15,idle
d_main_22_09_20,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_20,True,,1,idle,,30,30,1.0,,moran,moran,,3,worry,,13,angry,,15,idle
d_main_22_09_21,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_21,True,,1,delight,,10,10,1.0,,eh,eh,,3,worry,,13,angry,,15,idle
d_main_22_09_22,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_22,True,,1,idle,,10,130,1.0,,rosanna,rosanna,,3,worry,,13,angry,,15,idle
d_main_22_09_23,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_23,True,,1,idle,,130,130,1.0,,rosanna,rosanna,,3,worry,,13,angry,,15,idle
d_main_22_09_24,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_24,True,,1,idle,,130,130,1.0,,rosanna,rosanna,,3,worry,,13,angry,,15,idle
d_main_22_09_25,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_25,True,,1,idle,,130,130,1.0,,rosanna,rosanna,,3,worry,,13,angry,,15,idle
d_main_22_09_26,d_main_22_09,Speech,Locale_MainScenario:d_main_22_09_26,True,,1,idle,,130,1300,2.0,,rosanna,rosanna,,3,worry,,13,angry,,15,idle
