id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_34_01_s_1,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_1,True,behemoth,2,worry,BlackPuddle,20,200,1.0,bgm_story_empathize,,,,
d_main_34_01_s_2,d_main_34_01_s,Narration,behemoth,,Locale_MainScenario:d_main_34_01_s_2,False,,2,worry,,200,20,1.0,,sfx_scn_mudfall,,,
d_main_34_01_s_3,d_main_34_01_s,Narration,behemoth,,Locale_MainScenario:d_main_34_01_s_3,False,,2,worry,,20,20,1.0,,,,,
d_main_34_01_s_4,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_4,True,,2,worry,,20,2,1.5,,,,,
d_main_34_01_s_5,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_5,True,,2,worry,,2,2,1.0,,,,,
d_main_34_01_s_6,d_main_34_01_s,Narration,leviathan,,Locale_MainScenario:d_main_34_01_s_6,False,,2,worry,,2,1,1.0,,sfx_scn_darkwaterspawn,leviathan,12,angry
d_main_34_01_s_7,d_main_34_01_s,Narration,leviathan,,Locale_MainScenario:d_main_34_01_s_7,False,,2,worry,,1,1,1.0,,,,12,angry
d_main_34_01_s_8,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_8,True,,2,think,,1,1,1.0,,,,12,angry
d_main_34_01_s_9,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_9,True,,2,think,,1,1,1.0,,,,12,angry
d_main_34_01_s_10,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_10,True,,2,think,,1,1,1.0,,,,12,angry
d_main_34_01_s_11,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_11,True,,2,think,,1,1,1.0,,,,12,angry
d_main_34_01_s_12,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_12,True,,2,think,,1,1,1.0,,,,12,angry
d_main_34_01_s_13,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_13,True,,2,think,,1,1,1.0,,,,12,angry
d_main_34_01_s_14,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_14,True,,2,think,,1,1,1.0,,,,12,angry
