id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,set_camera_shake,fade
d_main_16_09_s_1,d_main_16_09_s,Narration,Narration,Locale_MainScenario:d_main_16_09_s_1,False,IceLand_02,4,12,2.0,bgm_secondhand,,,,,,,,,,,,,
d_main_16_09_s_2,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_2,True,,12,12,1.0,,viper,viper,13,idle,crow,1,idle,jackal,3,idle,,,
d_main_16_09_s_3,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_3,True,,12,12,1.0,,viper,,13,delight,,1,idle,,3,idle,,,
d_main_16_09_s_4,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_4,True,,12,1,1.0,,crow,,13,delight,,1,idle,,3,idle,,,
d_main_16_09_s_5,d_main_16_09_s,Narration,Narration,Locale_MainScenario:d_main_16_09_s_5,False,,1,8,1.5,,,,13,idle,,1,idle,,3,idle,sfx_scn_flare,Low_2,
d_main_16_09_s_6,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_6,True,,8,1,1.0,,crow,,13,idle,,1,idle,,3,idle,,,
d_main_16_09_s_7,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_7,True,,1,1,1.0,,crow,,13,idle,,1,smile,,3,idle,,,
d_main_16_09_s_8,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_8,True,RuinIndoor,10,10,2.0,bgm_story_crawlinganxiety,crow,,13,idle,,1,surprise,,3,idle,,,black
d_main_16_09_s_9,d_main_16_09_s,Speech,jackal,Locale_MainScenario:d_main_16_09_s_9,True,,10,S_30,0.3,,jackal,,13,idle,,1,surprise,,3,crazy,,Low_2,
d_main_16_09_s_10,d_main_16_09_s,Speech,jackal,Locale_MainScenario:d_main_16_09_s_10,True,,S_30,S_30,1.0,,jackal,,13,idle,,1,surprise,,3,crazy,,,
d_main_16_09_s_11,d_main_16_09_s,Speech,jackal,Locale_MainScenario:d_main_16_09_s_11,True,,S_30,S_30,1.0,,jackal,,13,idle,,1,idle,,3,no,,,
d_main_16_09_s_12,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_12,True,,S_30,10,2.0,,crow,,13,idle,,1,smile,,3,no,,,
d_main_16_09_s_13,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_13,True,,10,10,1.0,,crow,,13,idle,,1,smile,,3,idle,,,
d_main_16_09_s_14,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_14,True,,10,12,1.0,,viper,,13,idle,,1,smile,,3,idle,,,
d_main_16_09_s_15,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_15,True,,12,12,1.0,,viper,,13,delight,,1,idle,,3,idle,,,
