id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/3/hide_char_id,play_sound
d_main_29_01_e_1,d_main_29_01_e,Self,fragile,Locale_MainScenario:d_main_29_01_e_1,False,rapi,3,idle,anis,1,void,neon,13,idle,fragile,15,idle,Drain,15,S_150,1.0,bgm_chapter29_field_drifting,,,
d_main_29_01_e_2,d_main_29_01_e,Speech,fragile,Locale_MainScenario:d_main_29_01_e_2,True,,3,idle,,1,void,,13,idle,,15,idle,,S_150,S_150,1.0,,fragile,,
d_main_29_01_e_3,d_main_29_01_e,Self,fragile,Locale_MainScenario:d_main_29_01_e_3,False,,3,idle,,1,void,,13,idle,,15,idle,,S_150,S_150,1.0,,,,
d_main_29_01_e_4,d_main_29_01_e,Speech,fragile,Locale_MainScenario:d_main_29_01_e_4,False,,3,idle,,1,void,,13,idle,,15,shy,,S_150,15,1.0,,fragile,,
d_main_29_01_e_5,d_main_29_01_e,Speech,fragile,Locale_MainScenario:d_main_29_01_e_5,True,,3,idle,,1,void,,13,idle,,15,idle,,15,15,1.0,,fragile,,
d_main_29_01_e_6,d_main_29_01_e,Speech,anis,Locale_MainScenario:d_main_29_01_e_6,True,,3,idle,,1,void,,13,idle,,15,idle,,15,12,1.0,,anis,,
d_main_29_01_e_7,d_main_29_01_e,Speech,anis,Locale_MainScenario:d_main_29_01_e_7,True,,3,idle,,1,worry,,13,idle,,15,idle,,12,12,1.0,,anis,,
d_main_29_01_e_8,d_main_29_01_e,Speech,neon,Locale_MainScenario:d_main_29_01_e_8,True,,3,idle,,1,worry,,13,idle,,15,idle,,12,12,1.0,,neon,,
d_main_29_01_e_9,d_main_29_01_e,Speech,fragile,Locale_MainScenario:d_main_29_01_e_9,True,,3,idle,,1,void,,13,idle,,15,shy,,12,15,1.0,,fragile,,
d_main_29_01_e_10,d_main_29_01_e,Speech,fragile,Locale_MainScenario:d_main_29_01_e_10,False,,3,idle,,1,void,,13,idle,,15,shy,,15,15,1.0,,fragile,,
d_main_29_01_e_11,d_main_29_01_e,Speech,fragile,Locale_MainScenario:d_main_29_01_e_11,True,,3,idle,,1,void,,13,idle,,15,idle,,15,15,1.0,,fragile,,
d_main_29_01_e_12,d_main_29_01_e,Narration,fragile,Locale_MainScenario:d_main_29_01_e_12,False,,3,idle,,1,void,,13,idle,,15,idle,,15,15,1.0,,,fragile,sfx_scn_walkaway
d_main_29_01_e_13,d_main_29_01_e,Speech,anis,Locale_MainScenario:d_main_29_01_e_13,True,,3,idle,,1,void,,13,idle,,,,,15,2,1.0,,anis,,
d_main_29_01_e_14,d_main_29_01_e,Speech,rapi,Locale_MainScenario:d_main_29_01_e_14,True,,3,idle,,1,void,,13,idle,,,,,2,2,1.0,,rapi,,
d_main_29_01_e_15,d_main_29_01_e,Speech,anis,Locale_MainScenario:d_main_29_01_e_15,True,,3,idle,,1,worry,,13,idle,,,,,2,2,1.0,,anis,,
d_main_29_01_e_16,d_main_29_01_e,Speech,anis,Locale_MainScenario:d_main_29_01_e_16,True,,3,idle,,1,worry,,13,idle,,,,,2,2,1.0,,anis,,
d_main_29_01_e_17,d_main_29_01_e,Speech,anis,Locale_MainScenario:d_main_29_01_e_17,True,,3,idle,,1,worry,,13,idle,,,,,2,2,1.0,,anis,,
d_main_29_01_e_18,d_main_29_01_e,Speech,neon,Locale_MainScenario:d_main_29_01_e_18,True,,3,idle,,1,worry,,13,idle,,,,,2,12,1.0,,neon,,
d_main_29_01_e_19,d_main_29_01_e,Speech,anis,Locale_MainScenario:d_main_29_01_e_19,True,,3,idle,,1,angry,,13,idle,,,,,12,12,1.0,,anis,,
d_main_29_01_e_20,d_main_29_01_e,Speech,neon,Locale_MainScenario:d_main_29_01_e_20,True,,3,idle,,1,angry,,13,surprise,,,,,12,12,1.0,,neon,,
d_main_29_01_e_21,d_main_29_01_e,Speech,anis,Locale_MainScenario:d_main_29_01_e_21,True,,3,idle,,1,angry,,13,surprise,,,,,12,12,1.0,,anis,,
d_main_29_01_e_22,d_main_29_01_e,Speech,neon,Locale_MainScenario:d_main_29_01_e_22,True,,3,idle,,1,angry,,13,surprise,,,,,12,12,1.0,,neon,,
d_main_29_01_e_23,d_main_29_01_e,Speech,anis,Locale_MainScenario:d_main_29_01_e_23,True,,3,idle,,1,angry,,13,surprise,,,,,12,12,1.0,,anis,,
d_main_29_01_e_24,d_main_29_01_e,Speech,neon,Locale_MainScenario:d_main_29_01_e_24,True,,3,idle,,1,angry,,13,delight,,,,,12,12,1.0,,neon,,
d_main_29_01_e_25,d_main_29_01_e,Speech,rapi,Locale_MainScenario:d_main_29_01_e_25,True,,3,think,,1,angry,,13,delight,,,,,12,3,1.0,,rapi,,
d_main_29_01_e_26,d_main_29_01_e,Self,rapi,Locale_MainScenario:d_main_29_01_e_26,False,,3,think,,1,angry,,13,idle,,,,,3,3,1.0,,,,
d_main_29_01_e_27,d_main_29_01_e,Self,rapi,Locale_MainScenario:d_main_29_01_e_27,False,,3,think,,1,angry,,13,idle,,,,,3,3,1.0,,,,
d_main_29_01_e_28,d_main_29_01_e,Self,rapi,Locale_MainScenario:d_main_29_01_e_28,False,,3,think,,1,angry,,13,idle,,,,,3,3,1.0,,,,
