id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_08_01_1,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_1,True,WasteLand_01,1,1,1.0,bgm_theruinedcity,,rapi,3,idle,anis,1,void,neon,13,idle,shifty,OP_leftup,idle,
d_main_08_01_2,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_2,True,,1,1,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,idle,
d_main_08_01_3,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_3,True,,1,1,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,
d_main_08_01_4,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_4,True,,1,1,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,
d_main_08_01_5,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_5,True,,1,1,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,
d_main_08_01_6,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_6,True,,1,1,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,
d_main_08_01_7,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_7,True,,1,1,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,idle,
d_main_08_01_8,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_8,True,,1,1,1.0,,,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,
d_main_08_01_9,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_9,True,,1,1,1.0,,,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,
d_main_08_01_10,d_main_08_01,Speech,neon,neon,Locale_MainScenario:d_main_08_01_10,True,,1,12,0.5,,,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,
d_main_08_01_11,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_11,True,,12,12,1.0,,,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,
d_main_08_01_12,d_main_08_01,Speech,neon,neon,Locale_MainScenario:d_main_08_01_12,False,,12,S_130,2.0,,,,3,idle,,1,idle,,13,worry,,OP_leftup,idle,
d_main_08_01_13,d_main_08_01,Speech,neon,neon,Locale_MainScenario:d_main_08_01_13,True,,S_130,S_130,1.0,,,,3,idle,,1,idle,,13,surprise,,OP_leftup,idle,
d_main_08_01_14,d_main_08_01,Speech,neon,neon,Locale_MainScenario:d_main_08_01_14,True,,S_130,S_130,1.0,,,,3,idle,,1,idle,,13,delight,,OP_leftup,idle,
d_main_08_01_15,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_15,True,,S_130,10,1.0,,,,3,idle,,1,idle,,13,delight,,OP_leftup,no,
d_main_08_01_16,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_16,True,,10,10,1.0,,,,3,idle,,1,idle,,13,idle,,OP_leftup,no,
d_main_08_01_17,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_17,True,,10,10,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,no,
d_main_08_01_18,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_18,False,,10,10,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,surprise,
d_main_08_01_19,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_19,True,,10,1,1.0,,,,3,idle,,1,worry,,13,idle,,OP_leftup,surprise,
d_main_08_01_20,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_20,True,,1,1,1.0,,,,3,idle,,1,worry,,13,idle,,OP_leftup,surprise,
d_main_08_01_21,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_21,True,,1,1,1.0,,,,3,idle,,1,worry,,13,idle,,OP_leftup,pain,
d_main_08_01_22,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_22,True,,1,2,1.0,,,,3,idle,,1,void,,13,idle,,OP_leftup,delight,
d_main_08_01_23,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_23,True,,2,2,1.0,,,,3,idle,,1,void,,13,idle,,OP_leftup,delight,
d_main_08_01_24,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_24,True,,2,2,1.0,,,,3,idle,,1,void,,13,idle,,OP_leftup,delight,
d_main_08_01_25,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_25,True,,2,2,1.0,,,,3,idle,,1,void,,13,idle,,OP_leftup,idle,
d_main_08_01_26,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_26,True,,2,10,1.0,,,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,
d_main_08_01_27,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_27,True,,10,10,1.0,,,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,
d_main_08_01_28,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_28,True,,10,10,1.0,,,,3,idle,,1,idle,,13,idle,,OP_leftup,delight,
d_main_08_01_29,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_29,True,,10,10,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,
d_main_08_01_30,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_30,True,,10,10,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,
d_main_08_01_31,d_main_08_01,Speech,anis,anis,Locale_MainScenario:d_main_08_01_31,True,,10,10,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,delight,
d_main_08_01_32,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_32,False,,10,10,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,think,
d_main_08_01_33,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_33,True,,10,10,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,think,
d_main_08_01_34,d_main_08_01,Speech,shifty,shifty,Locale_MainScenario:d_main_08_01_34,True,,10,10,1.0,,,,3,idle,,1,delight,,13,idle,,OP_leftup,idle,
