id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_hospital_01_1,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_1,True,Hospital,XS_100,1,3.0,bgm_story_orangepop,,,mary,1,idle,epinel,3,idle,
d_ex_hospital_01_2,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_2,True,,1,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_3,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_3,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_4,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_4,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_5,d_ex_hospital_01,Self,epinel,,Locale_SuddenStory:d_ex_hospital_01_5,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_6,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_6,True,,1,XS_10,3.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_7,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_7,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_8,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_8,True,,1,XS_100,3.0,none,,,,1,idle,,3,idle,
d_ex_hospital_01_9,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_9,True,,XS_100,XS_30,1.0,bgm_story_herecomestrouble,,,,1,idle,,3,idle,
d_ex_hospital_01_10,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_10,True,,XS_30,XS_30,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_11,d_ex_hospital_01,Narration,mary,,Locale_SuddenStory:d_ex_hospital_01_11,True,,XS_30,XS_300,0.5,,,,,1,idle,,3,idle,
d_ex_hospital_01_12,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_12,False,,XS_300,XS_300,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_13,d_ex_hospital_01,Narration,epinel,,Locale_SuddenStory:d_ex_hospital_01_13,True,,XS_300,XS_30,1.0,,Low_2,,,1,idle,,3,pain,
d_ex_hospital_01_14,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_14,True,,XS_30,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_15,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_15,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_16,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_16,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_17,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_17,True,,2,3,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_18,d_ex_hospital_01,Narration,mary,,Locale_SuddenStory:d_ex_hospital_01_18,True,,3,XS_300,0.5,,,sfx_scn_poke,,1,idle,,3,idle,
d_ex_hospital_01_19,d_ex_hospital_01,Self,mary,,Locale_SuddenStory:d_ex_hospital_01_19,False,,XS_300,XS_300,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_20,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_20,True,,XS_300,XS_30,1.0,,Low_2,,,1,idle,,3,pain,
d_ex_hospital_01_21,d_ex_hospital_01,Narration,epinel,,Locale_SuddenStory:d_ex_hospital_01_21,True,,XS_30,XS_300,1.0,,,sfx_scn_poke2,,1,idle,,3,idle,
d_ex_hospital_01_22,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_22,True,,XS_300,XS_30,1.0,,Low_2,,,1,idle,,3,pain,
d_ex_hospital_01_23,d_ex_hospital_01,Narration,epinel,,Locale_SuddenStory:d_ex_hospital_01_23,True,,XS_30,XS_300,1.0,,,sfx_scn_poke3,,1,idle,,3,idle,
d_ex_hospital_01_24,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_24,True,,XS_300,XS_30,1.0,,Low_2,,,1,idle,,3,pain,
d_ex_hospital_01_25,d_ex_hospital_01,Narration,epinel,,Locale_SuddenStory:d_ex_hospital_01_25,True,,XS_30,XS_300,1.0,,,sfx_scn_poke4,,1,idle,,3,idle,
d_ex_hospital_01_26,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_26,False,,XS_300,3,1.0,,Low_2,,,1,idle,,3,pain,
