id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_main_15_06_1,d_main_15_06,Speech,rapi,rapi,Locale_MainScenario:d_main_15_06_1,True,rapi,6,idle,anis,4,idle,neon,2,idle,rupee,12,idle,dolla,14,idle,yan,16,idle,CityForest_03,6,6,1.0,bgm_recognition,,,,
d_main_15_06_2,d_main_15_06,Speech,anis,anis,Locale_MainScenario:d_main_15_06_2,True,,6,idle,,4,worry,,2,idle,,12,idle,,14,idle,,16,idle,,6,4,1.0,,,,,
d_main_15_06_3,d_main_15_06,Speech,neon,neon,Locale_MainScenario:d_main_15_06_3,True,,6,idle,,4,worry,,2,delight,,12,idle,,14,idle,,16,idle,,4,3,1.0,,,,,
d_main_15_06_4,d_main_15_06,Speech,neon,neon,Locale_MainScenario:d_main_15_06_4,True,,6,idle,,4,worry,,2,delight,,12,idle,,14,idle,,16,idle,,3,3,1.0,,,,,
d_main_15_06_5,d_main_15_06,Speech,anis,anis,Locale_MainScenario:d_main_15_06_5,True,,6,idle,,4,shy,,2,delight,,12,idle,,14,idle,,16,idle,,3,3,1.0,,,,,
d_main_15_06_6,d_main_15_06,Speech,anis,anis,Locale_MainScenario:d_main_15_06_6,True,,6,idle,,4,shy,,2,delight,,12,idle,,14,idle,,16,idle,,3,40,2.0,,,,,
d_main_15_06_7,d_main_15_06,Speech,anis,anis,Locale_MainScenario:d_main_15_06_7,True,,6,idle,,4,shy,,2,delight,,12,idle,,14,idle,,16,idle,,40,40,1.0,,,,,
d_main_15_06_8,d_main_15_06,Speech,rupee,rupee,Locale_MainScenario:d_main_15_06_8,False,,6,idle,,4,shy,,2,idle,,12,surprise,,14,idle,,16,idle,,12,L_120,0.5,,,,,
d_main_15_06_9,d_main_15_06,Speech,dolla,dolla,Locale_MainScenario:d_main_15_06_9,False,,6,idle,,4,shy,,2,idle,,12,surprise,,14,surprise,,16,idle,,14,S_140,0.5,,,,,
d_main_15_06_10,d_main_15_06,Speech,yan,yan,Locale_MainScenario:d_main_15_06_10,False,,6,idle,,4,shy,,2,idle,,12,surprise,,14,surprise,,16,surprise,,16,S_160,0.5,,,,,
d_main_15_06_11,d_main_15_06,Speech,anis,anis,Locale_MainScenario:d_main_15_06_11,True,,6,idle,,4,angry,,2,idle,,12,surprise,,14,surprise,,16,surprise,,S_160,40,0.5,,,,,
d_main_15_06_12,d_main_15_06,Speech,anis,anis,Locale_MainScenario:d_main_15_06_12,True,,6,idle,,4,angry,,2,idle,,12,idle,,14,idle,,16,idle,,40,40,1.0,,,,,
d_main_15_06_13,d_main_15_06,Monologue,,,Locale_MainScenario:d_main_15_06_13,False,,6,idle,,4,angry,,2,idle,,12,idle,,14,idle,,16,idle,,40,2,1.0,,,,,
d_main_15_06_14,d_main_15_06,Speech,neon,neon,Locale_MainScenario:d_main_15_06_14,True,,6,idle,,4,angry,,2,angry,,12,idle,,14,idle,,16,idle,,2,S_20,0.5,,,,,
d_main_15_06_15,d_main_15_06,Speech,neon,neon,Locale_MainScenario:d_main_15_06_15,True,,6,idle,,4,angry,,2,angry,,12,idle,,14,idle,,16,idle,,S_20,S_20,1.0,,,,,
d_main_15_06_16,d_main_15_06,Monologue,,,Locale_MainScenario:d_main_15_06_16,False,,6,idle,,4,angry,,2,angry,,12,idle,,14,idle,,16,idle,,S_20,6,1.0,,,,,
d_main_15_06_17,d_main_15_06,Speech,rapi,rapi,Locale_MainScenario:d_main_15_06_17,False,,6,worry,,4,angry,,2,angry,,12,idle,,14,idle,,16,idle,,6,60,2.0,,,,,
d_main_15_06_18,d_main_15_06,Speech,rapi,rapi,Locale_MainScenario:d_main_15_06_18,True,,6,think,,4,angry,,2,idle,,12,idle,,14,idle,,16,idle,,60,60,1.0,,,,,
d_main_15_06_19,d_main_15_06,Speech,rupee,rupee,Locale_MainScenario:d_main_15_06_19,True,,6,think,,4,idle,,2,idle,,12,surprise,,14,idle,,16,idle,,12,12,1.0,none,fx_Eventscene_camera_recording,rec,True,
d_main_15_06_20,d_main_15_06,Speech,rupee,rupee,Locale_MainScenario:d_main_15_06_20,True,,6,idle,,4,idle,,2,idle,,12,surprise,,14,idle,,16,idle,,12,L_1200,0.3,bgm_story_shopperholic,,,,
d_main_15_06_21,d_main_15_06,Speech,rupee,rupee,Locale_MainScenario:d_main_15_06_21,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,L_1200,L_120,1.0,,,,,
d_main_15_06_22,d_main_15_06,Speech,rupee,rupee,Locale_MainScenario:d_main_15_06_22,True,,6,idle,,4,idle,,2,idle,,12,angry,,14,idle,,16,idle,,L_120,L_1200,0.5,,,,,
d_main_15_06_23,d_main_15_06,Speech,rupee,rupee,Locale_MainScenario:d_main_15_06_23,True,,6,idle,,4,idle,,2,idle,,12,surprise,,14,idle,,16,idle,,L_1200,L_1200,1.0,,,,,
d_main_15_06_24,d_main_15_06,Speech,rupee,rupee,Locale_MainScenario:d_main_15_06_24,True,,6,idle,,4,idle,,2,idle,,12,delight,,14,idle,,16,idle,,L_1200,L_1200,1.0,,,,,
d_main_15_06_25,d_main_15_06,Self,,Self,Locale_MainScenario:d_main_15_06_25,False,,6,idle,,4,idle,,2,idle,,12,delight,,14,idle,,16,idle,,L_1200,L_1200,1.0,,,,,
d_main_15_06_26,d_main_15_06,Speech,rupee,rupee,Locale_MainScenario:d_main_15_06_26,True,,6,idle,,4,idle,,2,idle,,12,sad,,14,idle,,16,idle,,L_1200,L_120,2.0,,,,,
d_main_15_06_27,d_main_15_06,Speech,rupee,rupee,Locale_MainScenario:d_main_15_06_27,True,,6,idle,,4,idle,,2,idle,,12,shy,,14,idle,,16,idle,,L_120,L_120,1.0,,,,,
d_main_15_06_28,d_main_15_06,Speech,yan,yan,Locale_MainScenario:d_main_15_06_28,True,,6,idle,,4,idle,,2,idle,,12,shy,,14,idle,,16,idle,,L_120,S_160,1.0,,,,,fx_Eventscene_camera_recording
d_main_15_06_29,d_main_15_06,Speech,yan,yan,Locale_MainScenario:d_main_15_06_29,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,S_160,S_160,1.0,,,,,
d_main_15_06_30,d_main_15_06,Speech,yan,yan,Locale_MainScenario:d_main_15_06_30,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,"expression_0,delight",,S_160,S_160,1.0,,,,,
