id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,set_camera_shake,characters/2/hide_char_id,characters/0/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_ex_police_09_1,d_ex_police_09,Monologue,Locale_SuddenStory:d_ex_police_09_1,False,OutpostOut,2,2,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,
d_ex_police_09_2,d_ex_police_09,Monologue,Locale_SuddenStory:d_ex_police_09_2,False,,2,2,1.0,,soda_b,2,sad,,,,,,,,,,,,,,,,,
d_ex_police_09_3,d_ex_police_09,Self,Locale_SuddenStory:d_ex_police_09_3,False,,2,2,1.0,,,2,sad,,,,,,,,,,,,,,,,,
d_ex_police_09_4,d_ex_police_09,Speech,Locale_SuddenStory:d_ex_police_09_4,True,,2,S_20,1.0,,,2,worry,soda_b,soda_b,,,,,,,,,,,,,,,
d_ex_police_09_5,d_ex_police_09,Speech,Locale_SuddenStory:d_ex_police_09_5,True,,S_20,S_20,1.0,,,2,idle,soda_b,soda_b,,,,,,,,,,,,,,,
d_ex_police_09_6,d_ex_police_09,Speech,Locale_SuddenStory:d_ex_police_09_6,True,,S_20,S_20,1.0,,,2,delight,soda_b,soda_b,,,,,,,,,,,,,,,
d_ex_police_09_7,d_ex_police_09,Self,Locale_SuddenStory:d_ex_police_09_7,False,,S_20,S_20,1.0,,,2,delight,soda_b,,,,,,,,,,,,,,,,
d_ex_police_09_8,d_ex_police_09,Speech,Locale_SuddenStory:d_ex_police_09_8,True,,S_20,S_20,1.0,,,2,delight,soda_b,soda_b,,,,,,,,,,,,,,,
d_ex_police_09_9,d_ex_police_09,Speech,Locale_SuddenStory:d_ex_police_09_9,True,,S_20,S_20,1.0,,,2,worry,soda_b,soda_b,,,,,,,,,,,,,,,
d_ex_police_09_10,d_ex_police_09,Self,Locale_SuddenStory:d_ex_police_09_10,False,,S_20,S_20,1.0,,,2,worry,soda_b,,,,,,,,,,,,,,,,
d_ex_police_09_11,d_ex_police_09,Speech,Locale_SuddenStory:d_ex_police_09_11,True,,S_20,S_200,1.0,,,2,shy,soda_b,soda_b,,,,,,,,,,,,,,,
d_ex_police_09_12,d_ex_police_09,Self,Locale_SuddenStory:d_ex_police_09_12,False,,S_200,S_200,1.0,,,2,shy,soda_b,,,,,,,,,,,,,,,,
d_ex_police_09_13,d_ex_police_09,Self,Locale_SuddenStory:d_ex_police_09_13,False,,S_200,S_200,1.0,,,2,shy,soda_b,,,,,,,,,,,,,,,,
d_ex_police_09_14,d_ex_police_09,Speech,Locale_SuddenStory:d_ex_police_09_14,True,,S_200,S_200,1.0,,,2,delight,soda_b,soda_b,,,,,,,,,,,,,,,
d_ex_police_09_15,d_ex_police_09,Narration,Locale_SuddenStory:d_ex_police_09_15,False,Police,black,black,1.0,,,2,delight,soda_b,,sfx_scn_autodooropen,,,,,,,,,,,,,,
d_ex_police_09_16,d_ex_police_09,Speech,Locale_SuddenStory:d_ex_police_09_16,True,,2,S_20,1.0,,,2,idle,soda_b,soda_b,,,,,,,,,,,,,,,
