id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,play_sound
d_main_33_06_1,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_1,True,cinderella,1,idle,grave_p,3,idle,rapi,13,idle,anis,15,idle,neon,17,idle,BlackPuddle,L_300,L_30,1.0,bgm_chapter33_field_blackwave,,,,,,
d_main_33_06_2,d_main_33_06,Speech,rapi,rapi,Locale_MainScenario:d_main_33_06_2,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,,,,
d_main_33_06_3,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_3,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,L_30,L_30,1.0,,,,,,,
d_main_33_06_4,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_4,True,,1,delight,,3,idle,,13,idle,,15,idle,,17,idle,,L_30,31,1.0,,,,,,,
d_main_33_06_5,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_5,True,,1,delight,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_6,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_6,True,,1,delight,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_7,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_7,True,,1,delight,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_8,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_8,True,,1,delight,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_9,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_9,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_10,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_10,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_11,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_11,True,,1,idle,,3,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_12,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_12,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,150,150,1.0,,,,,,,
d_main_33_06_13,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_13,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,L_30,L_30,1.0,,,,,,,
d_main_33_06_14,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_14,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,L_30,L_30,1.0,,,,,,,
d_main_33_06_15,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_15,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,L_30,L_30,1.0,,,,,,,
d_main_33_06_16,d_main_33_06,Speech,neon,neon,Locale_MainScenario:d_main_33_06_16,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,S_170,S_170,1.0,,,,,,,
d_main_33_06_17,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_17,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,S_170,150,1.0,,,,,,,
d_main_33_06_18,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_18,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,150,150,1.0,,,,,,,
d_main_33_06_19,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_19,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,L_30,L_30,1.0,,,,,,,
d_main_33_06_20,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_20,True,,1,delight,,3,idle,,13,idle,,15,void,,17,idle,,S_10,S_100,1.0,,,,,,,
d_main_33_06_21,d_main_33_06,Speech,rapi,rapi,Locale_MainScenario:d_main_33_06_21,False,,1,delight,,3,idle,,13,idle,,15,void,,17,idle,,1300,1300,1.0,,,,,,,
d_main_33_06_22,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_22,True,,1,surprise,,3,idle,,13,idle,,15,void,,17,idle,,1300,S_100,1.0,,,,,,,
d_main_33_06_23,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_23,True,,1,surprise,,3,idle,,13,idle,,15,void,,17,idle,,S_100,S_10,1.0,,,,,,,
d_main_33_06_24,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_24,False,,1,surprise,,3,idle,,13,idle,,15,void,,17,idle,,S_10,31,1.0,,,,,,,
d_main_33_06_25,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_25,False,,1,surprise,,3,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_26,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_26,True,,1,surprise,,3,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_27,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_27,True,,1,surprise,,3,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_28,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_28,True,,1,surprise,,3,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_29,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_29,True,,1,surprise,,3,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_30,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_30,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_31,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_31,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,
d_main_33_06_32,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_32,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,150,150,1.0,,,,,,,
d_main_33_06_33,d_main_33_06,Speech,neon,neon,Locale_MainScenario:d_main_33_06_33,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,150,1517,1.0,,,,,,,
d_main_33_06_34,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_34,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1517,1517,1.0,,,,,,,
d_main_33_06_35,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_35,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1517,1517,1.0,,,,,,,
d_main_33_06_36,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_36,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,L_30,L_300,1.0,,,,,,,
d_main_33_06_37,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_37,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1500,1500,1.0,,,,,,,
d_main_33_06_38,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_38,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1500,1500,1.0,,,,,,,
d_main_33_06_39,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_39,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1500,1500,1.0,,,,,,,
d_main_33_06_40,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_40,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1500,150,1.0,,,,,,,
d_main_33_06_41,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_41,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,150,150,1.0,,,,,,,
d_main_33_06_42,d_main_33_06,Speech,neon,neon,Locale_MainScenario:d_main_33_06_42,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,150,1517,1.0,,,,,,,
d_main_33_06_43,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_43,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1517,1517,1.0,,,,,,,
d_main_33_06_44,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_44,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1517,1517,1.0,,,,,,,
d_main_33_06_45,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_45,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,S_10,S_100,1.0,,,,,,,
d_main_33_06_46,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_46,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,S_100,S_100,1.0,,,,,,,
d_main_33_06_47,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_47,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1500,1500,1.0,,,,,,,
d_main_33_06_48,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_48,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,1500,1500,1.0,,,,,,,
d_main_33_06_49,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_49,False,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,S_100,S_100,1.0,,,,,,,
d_main_33_06_50,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_50,True,,1,idle,,3,idle,,13,idle,,15,worry,,17,idle,,S_100,S_10,1.0,,,,,,,
d_main_33_06_51,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_51,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,150,150,1.0,,,,,,,
d_main_33_06_52,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_52,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,S_10,S_10,1.0,,,,,,,
d_main_33_06_53,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_53,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,L_30,L_30,1.0,,,,,,,
d_main_33_06_54,d_main_33_06,Speech,rapi,rapi,Locale_MainScenario:d_main_33_06_54,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,
d_main_33_06_55,d_main_33_06,Speech,rapi,rapi,Locale_MainScenario:d_main_33_06_55,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,
d_main_33_06_56,d_main_33_06,Speech,rapi,rapi,Locale_MainScenario:d_main_33_06_56,True,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,130,1300,0.5,,,,,,,
d_main_33_06_57,d_main_33_06,Self,rapi,,Locale_MainScenario:d_main_33_06_57,False,,1,idle,,3,idle,,13,idle,,15,void,,17,idle,,1300,1300,1.0,,,,,,,
d_main_33_06_58,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_58,True,,1,idle,,3,idle,,13,idle,,15,sad,,17,idle,,1300,1500,1.0,,,,,,,
d_main_33_06_59,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_59,True,,1,idle,,3,idle,,13,idle,,15,sad,,17,idle,,1500,1500,1.0,,,,,,,
d_main_33_06_60,d_main_33_06,Speech,anis,anis,Locale_MainScenario:d_main_33_06_60,True,,1,idle,,3,idle,,13,idle,,15,sad,,17,idle,,1500,1500,1.0,,,,,,,
d_main_33_06_61,d_main_33_06,Speech,rapi,rapi,Locale_MainScenario:d_main_33_06_61,True,,1,idle,,3,idle,,13,idle,,15,sad,,17,idle,,1500,1300,1.0,,,,,,,
d_main_33_06_62,d_main_33_06,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_06_62,True,,1,idle,,3,idle,,13,idle,,15,sad,,17,idle,,1300,S_100,1.0,,,,,,,
d_main_33_06_63,d_main_33_06,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_06_63,True,,1,idle,,3,idle,,13,idle,,15,sad,,17,idle,,S_100,L_300,1.0,,,,,,,
