id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,fade,jump_target
d_main_23_05_s_1,d_main_23_05_s,Narration,Locale_MainScenario:d_main_23_05_s_1,False,Drain,black,black,1.0,sfx_scn_slide,bgm_greyhaze_b,,,,,,,,,,,,
d_main_23_05_s_2,d_main_23_05_s,Narration,Locale_MainScenario:d_main_23_05_s_2,False,,7,7,1.0,,,Low_2,,,,,,,,,,,
d_main_23_05_s_3,d_main_23_05_s,Self,Locale_MainScenario:d_main_23_05_s_3,False,,7,7,1.0,,,,,,,,,,,,,,
d_main_23_05_s_4,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_4,True,,7,7,1.0,,,,rapi,rapi,rapi,7,idle,viper,13,idle,,,
d_main_23_05_s_5,d_main_23_05_s,Self,Locale_MainScenario:d_main_23_05_s_5,False,,7,7,1.0,,,,,,,7,idle,,13,idle,,,
d_main_23_05_s_6,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_6,True,,7,7,1.0,,,,rapi,rapi,,7,idle,,13,idle,,,
d_main_23_05_s_7,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_7,True,,7,7,1.0,,,,rapi,rapi,,7,idle,,13,idle,,,
d_main_23_05_s_8,d_main_23_05_s,Self,Locale_MainScenario:d_main_23_05_s_8,False,,7,7,1.0,,,,,,,7,idle,,13,idle,,,
d_main_23_05_s_9,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_9,True,,7,7,1.0,,,,rapi,rapi,,7,idle,,13,idle,,,
d_main_23_05_s_10,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_10,True,,7,13,1.0,,,,viper,viper,,7,idle,,13,idle,,,
d_main_23_05_s_11,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_11,True,,13,13,1.0,,,,rapi,rapi,,7,angry,,13,idle,,,
d_main_23_05_s_12,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_12,True,,13,13,1.0,,,,viper,viper,,7,angry,,13,idle,,,
d_main_23_05_s_13,d_main_23_05_s,Self,Locale_MainScenario:d_main_23_05_s_13,False,,7,7,1.0,,,,,,,7,angry,,13,idle,,,
d_main_23_05_s_14,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_14,True,,7,7,1.0,,,,rapi,rapi,,7,angry,,13,idle,,,
d_main_23_05_s_15,d_main_23_05_s,Narration,Locale_MainScenario:d_main_23_05_s_15,False,,7,3,1.0,,,,,,,3,angry,,13,idle,,,
d_main_23_05_s_16,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_16,True,,3,3,1.0,,,,viper,viper,,3,angry,,13,good,,,
d_main_23_05_s_17,d_main_23_05_s,Narration,Locale_MainScenario:d_main_23_05_s_17,False,,3,1,1.0,,,,,,,3,angry,,13,good,Red,,
d_main_23_05_s_18,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_18,False,,1,1,1.0,,,,,,,3,idle,,13,good,Red,,
d_main_23_05_s_19,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_19,True,,13,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_20,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_20,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_21,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_21,True,,30,30,1.0,,,,rapi,rapi,,3,idle,,13,idle,,,
d_main_23_05_s_22,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_22,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_23,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_23,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_24,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_24,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_25,d_main_23_05_s,Self,Locale_MainScenario:d_main_23_05_s_25,False,,130,130,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_26,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_26,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_27,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_27,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_28,d_main_23_05_s,Self,Locale_MainScenario:d_main_23_05_s_28,False,,130,130,1.0,,,,,,,3,idle,,13,good,,,
d_main_23_05_s_29,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_29,False,,130,13,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_30,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_30,True,,13,13,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_31,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_31,True,,13,13,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_32,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_32,True,,13,13,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_33,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_33,False,,13,13,1.0,,,,,,,3,idle,,13,idle,,black,
d_main_23_05_s_34,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_34,False,,13,13,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_35,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_35,False,,13,13,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_36,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_36,False,,13,3,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_37,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_37,False,,3,3,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_38,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_38,False,,3,3,1.0,,,,rapi,rapi,,3,idle,,13,idle,,,
d_main_23_05_s_39,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_39,False,,3,3,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_40,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_40,False,,3,3,1.0,,,,rapi,rapi,,3,idle,,13,idle,,,
d_main_23_05_s_41,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_41,False,,3,3,1.0,,,,rapi,rapi,,3,idle,,13,idle,,,
d_main_23_05_s_42,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_42,False,,3,3,1.0,,,,rapi,rapi,,3,idle,,13,idle,,,
d_main_23_05_s_43,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_43,False,,3,3,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_44,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_44,False,,3,3,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_45,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_45,False,,3,3,1.0,,,,rapi,rapi,,3,idle,,13,idle,,,
d_main_23_05_s_46,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_46,False,,3,3,1.0,,,,rapi,rapi,,3,idle,,13,idle,,,
d_main_23_05_s_47,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_47,False,,3,3,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_48,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_48,True,,3,13,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_49,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_49,False,,13,13,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_50,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_50,False,,13,13,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_51,d_main_23_05_s,Self,Locale_MainScenario:d_main_23_05_s_51,False,,13,13,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_52,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_52,True,,13,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_53,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_53,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_54,d_main_23_05_s,Choice,Locale_MainScenario:d_main_23_05_s_54,False,,130,130,1.0,,,,,,,3,idle,,13,good,,,d_main_23_05_s_56
d_main_23_05_s_55,d_main_23_05_s,Choice,Locale_MainScenario:d_main_23_05_s_55,False,,130,130,1.0,,,,,,,3,idle,,13,good,,,d_main_23_05_s_58
d_main_23_05_s_56,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_56,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,
