id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_28_03_1,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_1,True,rapi,7,idle,elegg,5,idle,liveryn,3,idle,hammering,1,worry,anis,13,idle,neon,15,idle,CrystalCity,2,2,1.0,bgm_destroyingcalamity_a,,,,,,,
d_main_28_03_2,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_2,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,idle,,2,2,1.0,,,,,,,,
d_main_28_03_3,d_main_28_03,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_03_3,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,idle,,2,2,1.0,,,,,,,,
d_main_28_03_4,d_main_28_03,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_03_4,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,idle,,2,2,1.0,,,,,,,,
d_main_28_03_5,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_5,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,idle,,2,10,1.0,,,,,,,,
d_main_28_03_6,d_main_28_03,Narration,,,Locale_MainScenario:d_main_28_03_6,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,idle,,10,10,1.0,,sfx_scn_solidglasssmash,Low_2,,,,,
d_main_28_03_7,d_main_28_03,Monologue,,,Locale_MainScenario:d_main_28_03_7,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,idle,,10,10,1.0,,,,,,,,
d_main_28_03_8,d_main_28_03,Speech,anis,anis,Locale_MainScenario:d_main_28_03_8,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,idle,,14,14,1.0,,,,,,,,
d_main_28_03_9,d_main_28_03,Speech,neon,neon,Locale_MainScenario:d_main_28_03_9,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,surprise,,14,14,1.0,,,,,,,,
d_main_28_03_10,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_10,True,,7,idle,,5,idle,,3,idle,,1,smile,,13,idle,,15,surprise,,14,12,1.0,,,,,,,,
d_main_28_03_11,d_main_28_03,Speech,anis,anis,Locale_MainScenario:d_main_28_03_11,True,,7,idle,,5,idle,,3,idle,,1,smile,,13,angry,,15,surprise,,12,12,1.0,,,,,,,,
d_main_28_03_12,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_12,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,angry,,15,surprise,,12,12,1.0,,,,,,,,
d_main_28_03_13,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_13,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,12,12,1.0,,,,,,,,
d_main_28_03_14,d_main_28_03,Narration,,,Locale_MainScenario:d_main_28_03_14,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,12,12,1.0,,sfx_scn_solidglasssmash,Low_2,,,,,
d_main_28_03_15,d_main_28_03,Speech,anis,anis,Locale_MainScenario:d_main_28_03_15,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,12,12,1.0,,,,,,,,
d_main_28_03_16,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_16,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,12,12,1.0,,,,,,,,
d_main_28_03_17,d_main_28_03,Speech,anis,anis,Locale_MainScenario:d_main_28_03_17,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,worry,,15,idle,,12,12,1.0,,,,,,,,
d_main_28_03_18,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_18,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,worry,,15,idle,,12,12,1.0,,,,,,,,
d_main_28_03_19,d_main_28_03,Speech,anis,anis,Locale_MainScenario:d_main_28_03_19,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,12,12,1.0,,,,,,,,
d_main_28_03_20,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_20,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,angry,,15,idle,,12,10,1.0,,,,,,,,
d_main_28_03_21,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_21,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,angry,,15,idle,,10,10,1.0,,,,,,,,
d_main_28_03_22,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_22,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,void,,15,idle,,10,10,1.0,,,,,,,,
d_main_28_03_23,d_main_28_03,Speech,elegg,elegg,Locale_MainScenario:d_main_28_03_23,True,,7,idle,,5,worry,,3,idle,,1,worry,,13,void,,15,idle,,4,4,1.0,,,,,,,,
d_main_28_03_24,d_main_28_03,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_03_24,True,,7,idle,,5,worry,,3,surprise,,1,worry,,13,void,,15,idle,,4,4,1.0,,,,,,,,
d_main_28_03_25,d_main_28_03,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_03_25,True,,7,idle,,5,worry,,3,surprise,,1,worry,,13,void,,15,idle,,4,4,1.0,,,,,,,,
d_main_28_03_26,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_26,True,,7,idle,,5,worry,,3,surprise,,1,worry,,13,void,,15,idle,,10,10,1.0,,,,,,,,
d_main_28_03_27,d_main_28_03,Narration,,,Locale_MainScenario:d_main_28_03_27,False,,7,idle,,5,worry,,3,surprise,,1,worry,,13,void,,15,idle,,10,10,1.0,,sfx_scn_solidglasssmash,Low_2,,,,,
d_main_28_03_28,d_main_28_03,Narration,,,Locale_MainScenario:d_main_28_03_28,False,,7,idle,,5,worry,,3,surprise,,1,worry,,13,void,,15,idle,,10,10,1.0,,sfx_scn_wallhit,,,,,,
d_main_28_03_29,d_main_28_03,Speech,neon,neon,Locale_MainScenario:d_main_28_03_29,True,,7,idle,,5,worry,,3,surprise,,1,worry,,13,void,,15,surprise,,S_150,S_150,1.0,,,,,,,,
d_main_28_03_30,d_main_28_03,Speech,hammering,hammering,Locale_MainScenario:d_main_28_03_30,True,,7,idle,,5,worry,,3,surprise,,1,worry,,13,void,,15,surprise,,10,10,1.0,,,,,,,,
