id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1091_1,d_subquest_1091,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1091_1,True,CityForest_02,10,10,1.0,bgm_distress,,rapi,1,idle,anis,13,void,neon,15,idle
d_subquest_1091_2,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_2,True,,10,12,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_3,d_subquest_1091,Speech,neon,neon,Locale_SubScenario:d_subquest_1091_3,True,,12,14,1.0,,,,1,idle,,13,void,,15,surprise
d_subquest_1091_4,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_4,True,,14,14,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_5,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_5,True,,14,130,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_6,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_6,True,,130,130,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_7,d_subquest_1091,Self,anis,,Locale_SubScenario:d_subquest_1091_7,False,,130,130,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_8,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_8,True,,130,130,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_9,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_9,True,,130,130,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_10,d_subquest_1091,Speech,neon,neon,Locale_SubScenario:d_subquest_1091_10,True,,S_150,S_150,1.0,,,,1,idle,,13,void,,15,surprise
d_subquest_1091_11,d_subquest_1091,Choice,neon,,Locale_SubScenario:d_subquest_1091_11,False,,S_150,S_150,1.0,,d_subquest_1091_13,,1,idle,,13,void,,15,idle
d_subquest_1091_12,d_subquest_1091,Choice,neon,,Locale_SubScenario:d_subquest_1091_12,False,,S_150,S_150,1.0,,d_subquest_1091_13,,1,idle,,13,void,,15,idle
d_subquest_1091_13,d_subquest_1091,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1091_13,True,,S_150,10,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_14,d_subquest_1091,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1091_14,True,,10,10,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_15,d_subquest_1091,Speech,neon,neon,Locale_SubScenario:d_subquest_1091_15,True,,S_150,S_150,1.0,,,,1,think,,13,void,,15,idle
d_subquest_1091_16,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_16,True,,S_150,14,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_17,d_subquest_1091,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1091_17,True,,14,12,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_18,d_subquest_1091,Self,rapi,,Locale_SubScenario:d_subquest_1091_18,False,,12,12,1.0,,,,1,idle,,13,void,,15,idle
d_subquest_1091_19,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_19,True,,12,130,0.5,,,,1,idle,,13,angry,,15,idle
d_subquest_1091_20,d_subquest_1091,Speech,neon,neon,Locale_SubScenario:d_subquest_1091_20,True,,S_150,S_150,1.0,,,,1,idle,,13,void,,15,worry
d_subquest_1091_21,d_subquest_1091,Speech,neon,neon,Locale_SubScenario:d_subquest_1091_21,True,,S_150,S_150,1.0,,,,1,idle,,13,void,,15,worry
d_subquest_1091_22,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_22,True,,S_150,130,1.0,,,,1,idle,,13,sad,,15,idle
d_subquest_1091_23,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_23,True,,130,130,1.0,,,,1,idle,,13,angry,,15,idle
d_subquest_1091_24,d_subquest_1091,Speech,neon,neon,Locale_SubScenario:d_subquest_1091_24,True,,130,14,1.0,,,,1,idle,,13,void,,15,surprise
d_subquest_1091_25,d_subquest_1091,Speech,anis,anis,Locale_SubScenario:d_subquest_1091_25,True,,14,14,1.0,,,,1,idle,,13,angry,,15,idle
d_subquest_1091_26,d_subquest_1091,Speech,neon,neon,Locale_SubScenario:d_subquest_1091_26,False,,14,S_150,1.0,,,,1,idle,,13,angry,,15,surprise
