id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,set_camera_shake,fade,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_24af_06_1,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_1,True,anis,1,void,neon,13,idle,ElevatorOut,10,10,1.0,bgm_inark,,,,,,,,,,,,
d_main_24af_06_2,d_main_24af_06,Self,anis,,Locale_MainScenario:d_main_24af_06_2,False,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_3,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_3,True,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_4,d_main_24af_06,Self,anis,,Locale_MainScenario:d_main_24af_06_4,False,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_5,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_5,True,,1,angry,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_6,d_main_24af_06,Self,anis,,Locale_MainScenario:d_main_24af_06_6,False,,1,angry,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_7,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_7,True,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_8,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_8,True,,1,void,,13,surprise,,10,12,1.0,,,,,,,,,,,,,
d_main_24af_06_9,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_9,True,,1,no,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_10,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_10,True,,1,no,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_11,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_11,True,,1,angry,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_12,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_12,True,,1,angry,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_13,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_13,False,,1,sad,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_14,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_14,True,,1,void,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_15,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_15,True,,1,void,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_16,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_16,True,,1,void,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_17,d_main_24af_06,Self,anis,,Locale_MainScenario:d_main_24af_06_17,False,,1,void,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_18,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_18,True,,1,worry,,13,idle,,12,10,1.0,,,,,,,,,,,,,
d_main_24af_06_19,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_19,True,,1,worry,,13,idle,,S_130,S_130,1.0,,,,,,,,,,,,,
d_main_24af_06_20,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_20,True,,1,sad,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_21,d_main_24af_06,Self,anis,,Locale_MainScenario:d_main_24af_06_21,False,,1,sad,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_22,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_22,True,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_23,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_23,True,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_24,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_24,True,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_25,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_25,True,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_26,d_main_24af_06,Self,anis,,Locale_MainScenario:d_main_24af_06_26,False,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_27,d_main_24af_06,Self,anis,,Locale_MainScenario:d_main_24af_06_27,False,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_28,d_main_24af_06,Self,anis,,Locale_MainScenario:d_main_24af_06_28,False,,1,void,,13,idle,,10,10,1.0,,,,,,,,,,,,,
d_main_24af_06_29,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_29,True,,1,void,,13,worry,,10,12,1.0,,,,,,,,,,,,,
d_main_24af_06_30,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_30,True,,1,worry,,13,idle,,12,12,1.0,,,,,,,,,,,,,
d_main_24af_06_31,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_31,True,,1,void,,13,idle,,12,10,1.0,,,,,,,,,,,,,
d_main_24af_06_32,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_32,True,,1,void,,13,idle,,10,S_130,1.0,,,,,,,,,,,,,
d_main_24af_06_33,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_33,True,,1,void,,13,idle,,10,10,1.0,none,,,,,,,,,,,,
d_main_24af_06_34,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_34,True,,1,void,,13,idle,,10,S_30,2.0,bgm_story_kneeldownfools,syuen,3,think,,,,,,,,,
d_main_24af_06_35,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_35,True,,1,void,,13,surprise,,S_30,S_300,1.0,,,3,think,,,,,,,,,
d_main_24af_06_36,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_36,True,,1,delight,,13,surprise,,S_300,S_300,1.0,,,3,think,,,,,,,,,
d_main_24af_06_37,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_37,False,,1,void,,13,idle,,S_300,S_300,1.0,,,3,think,,,,,,,,,
d_main_24af_06_38,d_main_24af_06,Self,syuen,,Locale_MainScenario:d_main_24af_06_38,False,,1,void,,13,idle,,S_300,S_300,1.0,,,3,think,,,,,,,,,
d_main_24af_06_39,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_39,True,,1,void,,13,idle,,S_300,S_30,1.0,,,3,think,,,,,,,,,
d_main_24af_06_40,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_40,True,,1,void,,13,idle,,S_30,S_30,1.0,,,3,think,,,,,,,,,
d_main_24af_06_41,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_41,True,,1,angry,,13,idle,,10,10,1.0,,,3,think,,,,,,,,,
d_main_24af_06_42,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_42,True,,1,angry,,13,idle,,10,10,1.0,,,3,think,,,,,,,,,
d_main_24af_06_43,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_43,True,,1,void,,13,idle,,S_30,S_30,1.0,,,3,think,,,,,,,,,
d_main_24af_06_44,d_main_24af_06,Narration,syuen,,Locale_MainScenario:d_main_24af_06_44,False,,1,void,,13,idle,,S_30,2,1.0,,,3,think,,,,,,,,,
d_main_24af_06_45,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_45,True,,1,void,,13,idle,,2,12,1.0,,,3,think,,,,,,,,,
d_main_24af_06_46,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_46,True,,1,void,,13,idle,,12,12,1.0,,,3,think,,,,,,,,,
d_main_24af_06_47,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_47,True,,1,void,,13,idle,,12,12,1.0,,,3,think,,,,,,,,,
d_main_24af_06_48,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_48,True,,1,void,,13,idle,,12,12,1.0,,,3,think,,,,,,,,,
d_main_24af_06_49,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_49,True,,1,void,,13,angry,,12,12,1.0,,,3,think,,,,,,,,,
d_main_24af_06_50,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_50,True,,1,void,,13,angry,,12,12,1.0,,,3,think,,,,,,,,,
d_main_24af_06_51,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_51,True,,1,angry,,13,idle,,12,10,1.0,,,3,think,,,,,,,,,
d_main_24af_06_52,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_52,True,,1,angry,,13,idle,,10,10,1.0,,,3,think,,,,,,,,,
d_main_24af_06_53,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_53,True,,1,void,,13,idle,,S_30,S_30,1.0,,,3,idle,,,,,,,,,
d_main_24af_06_54,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_54,True,,1,void,,13,idle,,S_30,S_30,1.0,,,3,idle,,,,,,,,,
d_main_24af_06_55,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_55,True,,1,void,,13,idle,,S_30,S_30,1.0,,,3,idle,,,,,,,,,
d_main_24af_06_56,d_main_24af_06,Self,syuen,,Locale_MainScenario:d_main_24af_06_56,False,,1,void,,13,idle,,S_30,S_30,1.0,,,3,idle,,,,,,,,,
d_main_24af_06_57,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_57,False,,1,void,,13,idle,,12,12,1.0,,,3,idle,,,,,,,,,
d_main_24af_06_58,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_58,False,,1,void,,13,idle,,12,12,1.0,,,3,idle,,,,,,,,,
d_main_24af_06_59,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_59,True,,1,void,,13,idle,,S_30,S_30,1.0,,,3,idle,,,,,,,,,
d_main_24af_06_60,d_main_24af_06,Self,syuen,,Locale_MainScenario:d_main_24af_06_60,False,,1,void,,13,idle,,S_30,S_30,1.0,,,3,idle,,,,,,,,,
d_main_24af_06_61,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_61,True,,1,void,,13,idle,,S_30,S_30,1.0,,,3,think,,,,,,,,,
d_main_24af_06_62,d_main_24af_06,Self,syuen,,Locale_MainScenario:d_main_24af_06_62,False,,1,void,,13,idle,,S_30,S_30,1.0,,,3,think,,,,,,,,,
d_main_24af_06_63,d_main_24af_06,Speech,anis,anis,Locale_MainScenario:d_main_24af_06_63,False,,1,void,,13,idle,,S_30,12,2.0,,,3,think,,,,,,,,,
d_main_24af_06_64,d_main_24af_06,Speech,neon,neon,Locale_MainScenario:d_main_24af_06_64,False,,1,void,,13,idle,,12,12,1.0,,,3,think,,,,,,,,,
d_main_24af_06_65,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_65,True,,1,void,,13,idle,,12,3,0.5,,,3,angry,anis,neon,,,,,,,
d_main_24af_06_66,d_main_24af_06,Monologue,syuen,,Locale_MainScenario:d_main_24af_06_66,False,,,,,,,,3,S_30,0.5,,,3,angry,,,,,,,,,
d_main_24af_06_67,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_67,True,,,,,,,,S_30,S_300,2.0,,,3,angry,,,,,,,,,
d_main_24af_06_68,d_main_24af_06,Self,syuen,,Locale_MainScenario:d_main_24af_06_68,False,,,,,,,,S_300,S_300,1.0,,,3,angry,,,,,,,,,
d_main_24af_06_69,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_69,True,,,,,,,,S_300,S_300,1.0,,,3,angry,,,,,,,,,
d_main_24af_06_70,d_main_24af_06,Self,syuen,,Locale_MainScenario:d_main_24af_06_70,False,,,,,,,,S_300,S_300,1.0,,,3,angry,,,,,,,,,
d_main_24af_06_71,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_71,True,,,,,,,,S_300,S_300,1.0,,,3,angry,,,,,,,,,
d_main_24af_06_72,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_72,True,,,,,,,,S_300,S_300,1.0,,,3,angry,,,Low_2,,,,,,
d_main_24af_06_73,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_73,True,,,,,,,,S_300,S_300,1.0,,,3,angry,,,,,,,,,
d_main_24af_06_74,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_74,True,,,,,,,,S_300,S_30,1.0,,,3,angry,,,,,,,,,
d_main_24af_06_75,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_75,True,,,,,,,,S_30,S_30,1.0,,,3,think,,,,,,,,,
d_main_24af_06_76,d_main_24af_06,Monologue,syuen,,Locale_MainScenario:d_main_24af_06_76,False,,,,,,,,S_30,S_30,1.0,,,3,think,,,,,,,,,
d_main_24af_06_77,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_77,True,,,,,,,TechIndoor,S_10,S_30,2.0,,,3,think,,,,black,,,,,
d_main_24af_06_78,d_main_24af_06,Self,syuen,,Locale_MainScenario:d_main_24af_06_78,False,,,,,,,,S_30,S_30,1.0,,,3,think,,,,,,,,,
d_main_24af_06_79,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_79,True,,,,,,,EventScene_Chap_24_09,black,black,1.0,,,3,angry,,,,,syuen,,,,
d_main_24af_06_80,d_main_24af_06,Speech,syuen,syuen,Locale_MainScenario:d_main_24af_06_80,True,,,,,,,,syuen_24chap_02,syuen_24chap_01,1.0,,,,,,,,,,,,,
