id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,conversation_id,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_08_05_1,d_main_08_05,Speech,rapi,rapi,Locale_MainScenario:d_main_08_05_1,False,WasteLand_01,3,3,1.0,bgm_theruinedcity_a,,,,rapi,3,think,neon,1,worry,,anis,13,idle,
d_main_08_05_2,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_2,False,,3,1,1.0,,,,,,3,think,,1,worry,,,13,sad,
d_main_08_05_3,d_main_08_05,Speech,anis,anis,Locale_MainScenario:d_main_08_05_3,False,,1,13,1.0,,,,,,3,idle,,1,worry,,,13,sad,
d_main_08_05_4,d_main_08_05,Choice,,,Locale_MainScenario:d_main_08_05_4,False,,13,13,1.0,,d_main_08_05_6,,,,3,idle,,1,idle,,,13,sad,
d_main_08_05_5,d_main_08_05,Choice,,,Locale_MainScenario:d_main_08_05_5,False,,13,13,1.0,,d_main_08_05_6,,,,3,idle,,1,idle,,,13,sad,
d_main_08_05_6,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_6,True,,13,S_10,0.5,,,,,,3,idle,,1,angry,,,13,sad,
d_main_08_05_7,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_7,True,,S_10,S_10,1.0,,,,,,3,idle,,1,angry,,,13,sad,
d_main_08_05_8,d_main_08_05,Speech,anis,anis,Locale_MainScenario:d_main_08_05_8,True,,S_10,130,0.5,,,,,,3,idle,,1,angry,,,13,angry,
d_main_08_05_9,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_9,True,,130,S_10,0.5,,,,,,3,idle,,1,angry,,,13,angry,
d_main_08_05_10,d_main_08_05,Speech,anis,anis,Locale_MainScenario:d_main_08_05_10,True,,S_10,130,0.3,,,,,,3,idle,,1,angry,,,13,angry,
