id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_subquest_1194_s_1,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_1,True,rapi,6,idle,neon,4,idle,anis,2,idle,liter,12,sorrow,centi,14,idle,Desert_03,XS_120,XS_120,2.0,bgm_inark,
d_subquest_1194_s_2,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_2,True,,6,idle,,4,idle,,2,idle,,12,sorrow,,14,idle,,XS_120,XS_120,1.0,,
d_subquest_1194_s_3,d_subquest_1194_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1194_s_3,True,,6,idle,,4,idle,,2,idle,,12,sorrow,,14,idle,,S_40,S_40,1.0,,
d_subquest_1194_s_4,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_4,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,1,1,1.0,,
d_subquest_1194_s_5,d_subquest_1194_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_s_5,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,1,1,1.0,,
d_subquest_1194_s_6,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_6,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,1,1,1.0,,
d_subquest_1194_s_7,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_7,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,1,1,1.0,,
d_subquest_1194_s_8,d_subquest_1194_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_s_8,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,1,1,1.0,,
d_subquest_1194_s_9,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_9,True,,6,idle,,4,idle,,2,idle,,12,no,,14,idle,,1,1,1.0,,
d_subquest_1194_s_10,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_10,True,,6,idle,,4,idle,,2,idle,,12,no,,14,idle,,1,1,1.0,,
d_subquest_1194_s_11,d_subquest_1194_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_s_11,True,,6,idle,,4,idle,,2,void,,12,no,,14,idle,,1,20,2.0,,
d_subquest_1194_s_12,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_12,True,,6,idle,,4,idle,,2,void,,12,no,,14,idle,,20,XS_120,1.0,,
d_subquest_1194_s_13,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_13,True,,6,idle,,4,idle,,2,void,,12,no,,14,idle,,XS_120,XS_120,1.0,,
d_subquest_1194_s_14,d_subquest_1194_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_s_14,True,,6,idle,,4,idle,,2,void,,12,no,,14,idle,,20,20,1.0,,
d_subquest_1194_s_15,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_15,True,,6,idle,,4,idle,,2,void,,12,sorrow,,14,idle,,20,XS_120,2.0,,
d_subquest_1194_s_16,d_subquest_1194_s,Self,,Self,Locale_SubScenario:d_subquest_1194_s_16,False,,6,idle,,4,idle,,2,void,,12,sorrow,,14,idle,,XS_120,XS_120,1.0,,
d_subquest_1194_s_17,d_subquest_1194_s,Self,,Self,Locale_SubScenario:d_subquest_1194_s_17,False,,6,idle,,4,idle,,2,void,,12,sorrow,,14,idle,,XS_120,XS_120,1.0,,
