id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_35bf_04_1,d_main_35bf_04,Narration,ingrid,Locale_MainScenario:d_main_35bf_04_1,False,Laboratory,black,black,1.0,bgm_story_fairytalesend_if,,neon,5,idle,anis,3,idle,rapi_red,1,idle,ingrid,13,idle
d_main_35bf_04_2,d_main_35bf_04,Self,ingrid,Locale_MainScenario:d_main_35bf_04_2,False,,L_130,L_130,1.0,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_04_3,d_main_35bf_04,Speech,ingrid,Locale_MainScenario:d_main_35bf_04_3,True,,L_130,L_130,1.0,,ingrid,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_04_4,d_main_35bf_04,Speech,ingrid,Locale_MainScenario:d_main_35bf_04_4,True,,L_130,L_130,1.0,,ingrid,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_04_5,d_main_35bf_04,Self,ingrid,Locale_MainScenario:d_main_35bf_04_5,False,,L_130,L_130,1.0,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_04_6,d_main_35bf_04,Speech,ingrid,Locale_MainScenario:d_main_35bf_04_6,True,,L_130,L_130,1.0,,ingrid,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_04_7,d_main_35bf_04,Speech,ingrid,Locale_MainScenario:d_main_35bf_04_7,True,,L_130,L_130,1.0,,ingrid,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_04_8,d_main_35bf_04,Speech,ingrid,Locale_MainScenario:d_main_35bf_04_8,True,,L_130,L_130,1.0,,ingrid,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_04_9,d_main_35bf_04,Self,ingrid,Locale_MainScenario:d_main_35bf_04_9,False,,L_130,L_130,1.0,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_04_10,d_main_35bf_04,Self,ingrid,Locale_MainScenario:d_main_35bf_04_10,False,,L_130,L_130,1.0,,,,5,idle,,3,idle,,1,idle,,13,idle
