id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
d_main_30_af_01_1,d_main_30_af_01,Narration,Locale_MainScenario:d_main_30_af_01_1,False,CountryVillage_d,4,4,1.0,bgm_distress_a,,,,,,,,,,,,,,,,,,
d_main_30_af_01_2,d_main_30_af_01,Self,Locale_MainScenario:d_main_30_af_01_2,False,,4,3,1.0,,shifty,anis,3,void,neon,1,idle,rapi,13,idle,shifty,OP_leftup,worry,,,,,
d_main_30_af_01_3,d_main_30_af_01,Speech,Locale_MainScenario:d_main_30_af_01_3,True,,3,3,1.0,,shifty,,3,void,,1,idle,,13,idle,,OP_leftup,worry,shifty,,,,
d_main_30_af_01_4,d_main_30_af_01,Speech,Locale_MainScenario:d_main_30_af_01_4,True,,3,3,1.0,,shifty,,3,void,,1,idle,,13,idle,,OP_leftup,think,shifty,,,,
d_main_30_af_01_5,d_main_30_af_01,Speech,Locale_MainScenario:d_main_30_af_01_5,True,,3,3,1.0,,anis,,3,void,,1,idle,,13,idle,,OP_leftup,think,anis,,,,
d_main_30_af_01_6,d_main_30_af_01,Speech,Locale_MainScenario:d_main_30_af_01_6,True,,3,3,1.0,,shifty,,3,void,,1,idle,,13,idle,,OP_leftup,worry,shifty,,,,
d_main_30_af_01_7,d_main_30_af_01,Speech,Locale_MainScenario:d_main_30_af_01_7,True,,3,3,1.0,,shifty,,3,void,,1,idle,,13,idle,,OP_leftup,worry,shifty,,,,
d_main_30_af_01_8,d_main_30_af_01,Speech,Locale_MainScenario:d_main_30_af_01_8,True,,3,3,1.0,,anis,,3,void,,1,idle,,13,idle,,OP_leftup,worry,anis,,,,
d_main_30_af_01_9,d_main_30_af_01,Speech,Locale_MainScenario:d_main_30_af_01_9,True,,3,3,1.0,,shifty,,3,void,,1,idle,,13,idle,,OP_leftup,worry,shifty,,,,
d_main_30_af_01_10,d_main_30_af_01,Speech,Locale_MainScenario:d_main_30_af_01_10,True,,3,3,1.0,,shifty,,3,void,,1,idle,,13,idle,,OP_leftup,worry,shifty,,,,
