id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound,characters/0/hide_char_id
d_ex_theater_03_1,d_ex_theater_03,Monologue,Locale_SuddenStory:d_ex_theater_03_1,False,Theater,9,1,3.0,bgm_story_fairytalesend_if,,,,,,,,
d_ex_theater_03_2,d_ex_theater_03,Monologue,Locale_SuddenStory:d_ex_theater_03_2,False,,1,1,1.0,,,,,,,,,
d_ex_theater_03_3,d_ex_theater_03,Narration,Locale_SuddenStory:d_ex_theater_03_3,False,,1,1,1.0,,,,,,,,,
d_ex_theater_03_4,d_ex_theater_03,Narration,Locale_SuddenStory:d_ex_theater_03_4,False,,1,1,1.0,,,,,,,,,
d_ex_theater_03_5,d_ex_theater_03,Narration,Locale_SuddenStory:d_ex_theater_03_5,False,,1,1,1.0,,,,,,,,,
d_ex_theater_03_6,d_ex_theater_03,Narration,Locale_SuddenStory:d_ex_theater_03_6,False,,1,1,1.0,,,,,,,,,
d_ex_theater_03_7,d_ex_theater_03,Narration,Locale_SuddenStory:d_ex_theater_03_7,False,,1,1,1.0,,,,,,,,,
d_ex_theater_03_8,d_ex_theater_03,Self,Locale_SuddenStory:d_ex_theater_03_8,False,,1,1,1.0,,,,,,,,,
d_ex_theater_03_9,d_ex_theater_03,Speech,Locale_SuddenStory:d_ex_theater_03_9,True,,1,1,1.0,,crow,crow,crow,1,smile,,,
d_ex_theater_03_10,d_ex_theater_03,Speech,Locale_SuddenStory:d_ex_theater_03_10,True,,1,1,1.0,,crow,crow,,1,smile,,,
d_ex_theater_03_11,d_ex_theater_03,Choice,Locale_SuddenStory:d_ex_theater_03_11,False,,1,1,1.0,,crow,,,1,idle,d_ex_theater_03_13,,
d_ex_theater_03_12,d_ex_theater_03,Choice,Locale_SuddenStory:d_ex_theater_03_12,False,,1,1,1.0,,crow,,,1,idle,d_ex_theater_03_16,,
