id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,fade,characters/0/hide_char_id
d_ex_armory_08_1,d_ex_armory_08,Narration,Locale_SuddenStory:d_ex_armory_08_1,False,1,1,1.0,sfx_scn_autodooropen,none,,,,,,,,,,,
d_ex_armory_08_2,d_ex_armory_08,Monologue,Locale_SuddenStory:d_ex_armory_08_2,False,1,1,1.0,,,,,,,,,,,,,
d_ex_armory_08_3,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_3,True,1,XS_120,1.0,,bgm_story_orangepop,alice_b,alice_b,alice_b,12,surprise,eunhwa,2,idle,Armory,,
d_ex_armory_08_4,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_4,True,XS_120,XS_120,1.0,,,alice_b,alice_b,,12,surprise,,2,idle,,,
d_ex_armory_08_5,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_5,True,XS_120,XS_120,1.0,,,alice_b,alice_b,,12,delight,,2,idle,,,
d_ex_armory_08_6,d_ex_armory_08,Self,Locale_SuddenStory:d_ex_armory_08_6,False,XS_120,XS_120,1.0,,,alice_b,,,12,delight,,2,idle,,,
d_ex_armory_08_7,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_7,False,XS_120,20,1.0,,,eunhwa,eunhwa,,12,delight,,2,idle,,,
d_ex_armory_08_8,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_8,True,20,20,1.0,,,eunhwa,eunhwa,,12,delight,,2,idle,,,
d_ex_armory_08_9,d_ex_armory_08,Self,Locale_SuddenStory:d_ex_armory_08_9,False,20,20,1.0,,,eunhwa,,,12,delight,,2,idle,,,
d_ex_armory_08_10,d_ex_armory_08,Self,Locale_SuddenStory:d_ex_armory_08_10,False,20,20,1.0,,,eunhwa,,,12,delight,,2,idle,,,
d_ex_armory_08_11,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_11,True,20,20,1.0,,,eunhwa,eunhwa,,12,delight,,2,idle,,,
d_ex_armory_08_12,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_12,True,20,20,1.0,,,eunhwa,eunhwa,,12,delight,,2,idle,,,
d_ex_armory_08_13,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_13,True,20,1,1.0,,,alice_b,alice_b,,12,delight,,2,idle,,,
d_ex_armory_08_14,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_14,True,1,1,1.0,,,eunhwa,eunhwa,,12,delight,,2,surprise,,,
d_ex_armory_08_15,d_ex_armory_08,Self,Locale_SuddenStory:d_ex_armory_08_15,False,1,1,1.0,,,eunhwa,,,12,delight,,2,surprise,,,
d_ex_armory_08_16,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_16,True,1,XS_120,1.0,,,alice_b,alice_b,,12,idle,,2,surprise,,,
d_ex_armory_08_17,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_17,True,XS_120,XS_1200,1.0,,,alice_b,alice_b,,12,delight,,2,surprise,,,
d_ex_armory_08_18,d_ex_armory_08,Self,Locale_SuddenStory:d_ex_armory_08_18,False,XS_1200,XS_1200,1.0,,,alice_b,,,12,delight,,2,surprise,,,
d_ex_armory_08_19,d_ex_armory_08,Speech,Locale_SuddenStory:d_ex_armory_08_19,False,XS_1200,1,1.0,,,eunhwa,eunhwa,,12,delight,,2,angry,,,
