id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_29_04_s_1,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_1,True,neon,5,idle,anis,3,void,rapi,1,idle,fragile,13,idle,drilley,15,idle,CrystalCity,12,12,1.0,bgm_chapter29_field_drifting,,,,
d_main_29_04_s_2,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_2,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,
d_main_29_04_s_3,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_3,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,
d_main_29_04_s_4,d_main_29_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_04_s_4,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,
d_main_29_04_s_5,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_5,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,12,S_130,1.0,,,,,
d_main_29_04_s_6,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_6,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_7,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_7,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_8,d_main_29_04_s,Speech,anis,anis,Locale_MainScenario:d_main_29_04_s_8,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_29_04_s_9,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_9,True,,5,idle,,3,void,,1,idle,,13,sorry,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_10,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_10,True,,5,idle,,3,void,,1,idle,,13,sorry,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_11,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_11,True,,5,idle,,3,void,,1,idle,,13,sorry,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_12,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_12,True,,5,idle,,3,void,,1,idle,,13,sorry,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_13,d_main_29_04_s,Self,fragile,,Locale_MainScenario:d_main_29_04_s_13,False,,5,idle,,3,void,,1,idle,,13,sorry,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_14,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_14,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_15,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_15,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_16,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_16,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_17,d_main_29_04_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_04_s_17,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_130,13,1.0,,trony_op_r,OP_rightup,idle,
d_main_29_04_s_18,d_main_29_04_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_04_s_18,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,13,13,1.0,,,OP_rightup,idle,
d_main_29_04_s_19,d_main_29_04_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_04_s_19,False,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,13,15,1.0,,,OP_rightup,idle,
