id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound
d_ex_theater_06_1,d_ex_theater_06,Monologue,Locale_SuddenStory:d_ex_theater_06_1,False,blanc,1,delight,noir,13,idle,Theater,black,black,1.0,bgm_story_orangepop,,,
d_ex_theater_06_2,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_2,True,,1,delight,,13,idle,,113,113,1.0,,blanc,blanc,
d_ex_theater_06_3,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_3,True,,1,delight,,13,idle,,113,113,1.0,,blanc,blanc,
d_ex_theater_06_4,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_4,True,,1,delight,,13,idle,,113,113,1.0,,noir,noir,
d_ex_theater_06_5,d_ex_theater_06,Self,Locale_SuddenStory:d_ex_theater_06_5,False,,1,delight,,13,idle,,113,113,1.0,,,,
d_ex_theater_06_6,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_6,True,,1,idle,,13,idle,,113,L_10,1.0,,blanc,blanc,
d_ex_theater_06_7,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_7,True,,1,idle,,13,idle,,L_10,L_10,1.0,,blanc,blanc,
d_ex_theater_06_8,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_8,True,,1,idle,,13,idle,,L_10,L_10,1.0,,blanc,blanc,
d_ex_theater_06_9,d_ex_theater_06,Self,Locale_SuddenStory:d_ex_theater_06_9,False,,1,idle,,13,idle,,L_10,L_10,1.0,,,,
d_ex_theater_06_10,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_10,True,,1,idle,,13,idle,,L_10,L_100,1.0,,blanc,blanc,
d_ex_theater_06_11,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_11,True,,1,idle,,13,idle,,L_100,L_100,1.0,,blanc,blanc,
d_ex_theater_06_12,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_12,True,,1,delight,,13,delight,,L_100,113,1.0,,noir,noir,
d_ex_theater_06_13,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_13,True,,1,delight,,13,delight,,113,113,1.0,,blanc,blanc,
d_ex_theater_06_14,d_ex_theater_06,Monologue,Locale_SuddenStory:d_ex_theater_06_14,False,,1,delight,,13,delight,,113,113,1.0,,,,
d_ex_theater_06_15,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_15,True,,1,idle,,13,idle,,113,113,1.0,,blanc,blanc,
d_ex_theater_06_16,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_16,True,,1,idle,,13,idle,,113,113,1.0,,noir,noir,
d_ex_theater_06_17,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_17,True,,1,idle,,13,idle,,113,113,1.0,,noir,noir,
d_ex_theater_06_18,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_18,True,,1,idle,,13,idle,,113,113,1.0,,noir,noir,
d_ex_theater_06_19,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_19,True,,1,idle,,13,idle,,113,113,1.0,,blanc,blanc,
d_ex_theater_06_20,d_ex_theater_06,Self,Locale_SuddenStory:d_ex_theater_06_20,False,,1,idle,,13,idle,,113,113,1.0,,,,
d_ex_theater_06_21,d_ex_theater_06,Speech,Locale_SuddenStory:d_ex_theater_06_21,True,,1,idle,,13,idle,,113,113,1.0,none,blanc,blanc,
