id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_14_08_1,d_main_14_08,Monologue,Locale_MainScenario:d_main_14_08_1,False,none,black,black,1.0,none,,,,,,,,,,,triangle_event,event,idle,,,,,,,,
d_main_14_08_2,d_main_14_08,Monologue,Locale_MainScenario:d_main_14_08_2,False,,black,black,1.0,,,,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_3,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_3,True,,triangle_all,triangle_all,1.0,bgm_story_destinedtofight,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_4,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_4,True,,triangle_all,triangle_all,1.0,,anis,anis,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_5,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_5,True,,triangle_all,triangle_all,1.0,,anis,anis,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_6,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_6,False,,triangle_all,triangle_privaty,3.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_7,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_7,True,,triangle_privaty,triangle_privaty,1.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_8,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_8,True,,triangle_privaty,triangle_privaty,1.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_9,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_9,True,,triangle_privaty,triangle_privaty,1.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_10,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_10,True,,triangle_privaty,triangle_privaty,1.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_11,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_11,True,,triangle_privaty,triangle_all,3.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_12,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_12,True,,triangle_all,triangle_all,1.0,,rapi,rapi,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_13,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_13,True,,triangle_all,triangle_all,1.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_14,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_14,True,,triangle_all,triangle_all,1.0,,rapi,rapi,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_15,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_15,True,,triangle_all,triangle_all,1.0,,rapi,rapi,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_16,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_16,False,,triangle_all,triangle_all,1.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_17,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_17,True,,triangle_all,triangle_all,1.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_18,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_18,True,,triangle_all,triangle_all,1.0,,rapi,rapi,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_19,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_19,True,,triangle_all,triangle_all,1.0,,privaty,privaty,,,,,,,,,,event,idle,,,,,,,,
d_main_14_08_20,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_20,True,CityForest_01,53,53,1.0,,yulha,yulha,black,privaty,1,angry,rapi,13,idle,,,event,idle,triangle_event,yulha,3,idle,admi,5,idle,
d_main_14_08_21,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_21,True,,53,53,1.0,,yulha,yulha,,,1,angry,,13,idle,,,,,,,3,idle,,5,idle,
d_main_14_08_22,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_22,True,,53,53,1.0,,admi,admi,,,1,angry,,13,idle,,,,,,,3,idle,,5,idle,
d_main_14_08_23,d_main_14_08,Speech,Locale_MainScenario:d_main_14_08_23,True,,53,113,1.0,,privaty,privaty,,,1,idle,,13,idle,,,,,,,3,idle,,5,idle,
