id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id
d_main_02_03_1,d_main_02_03,Speech,shifty,shifty,Locale_MainScenario:d_main_02_03_1,True,RuinIndoor,1,1,1.0,bgm_recognition_underworld,rapi,1,idle,,anis,3,idle,,neon,13,idle,,shifty,OP_leftup,idle,
d_main_02_03_2,d_main_02_03,Speech,rapi,rapi,Locale_MainScenario:d_main_02_03_2,True,,1,10,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_03_3,d_main_02_03,Self,rapi,,Locale_MainScenario:d_main_02_03_3,False,,10,10,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_03_4,d_main_02_03,Speech,shifty,shifty,Locale_MainScenario:d_main_02_03_4,True,,10,10,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,delight,
d_main_02_03_5,d_main_02_03,Speech,shifty,shifty,Locale_MainScenario:d_main_02_03_5,True,,10,10,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,delight,
d_main_02_03_6,d_main_02_03,Speech,shifty,shifty,Locale_MainScenario:d_main_02_03_6,True,,10,10,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,delight,
d_main_02_03_7,d_main_02_03,Narration,shifty,,Locale_MainScenario:d_main_02_03_7,True,,10,1,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_03_8,d_main_02_03,Self,shifty,Self,Locale_MainScenario:d_main_02_03_8,False,,1,1,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_03_9,d_main_02_03,Speech,shifty,shifty,Locale_MainScenario:d_main_02_03_9,True,,1,1,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_03_10,d_main_02_03,Self,shifty,Self,Locale_MainScenario:d_main_02_03_10,False,,1,1,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_03_11,d_main_02_03,Speech,rapi,rapi,Locale_MainScenario:d_main_02_03_11,True,,1,10,1.0,,,1,think,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_03_12,d_main_02_03,Speech,anis,anis,Locale_MainScenario:d_main_02_03_12,False,,30,30,1.0,,,1,think,,,3,no,,,13,idle,,,OP_leftup,idle,
d_main_02_03_13,d_main_02_03,Narration,,Narration,Locale_MainScenario:d_main_02_03_13,True,none,30,30,1.0,,,1,idle,rapi,,3,no,anis,,13,idle,neon,,OP_leftup,idle,shifty
d_main_02_03_14,d_main_02_03,Speech,shifty,shifty,Locale_MainScenario:d_main_02_03_14,True,RuinIndoor,1,1,1.0,,rapi,1,idle,,anis,3,idle,,neon,13,idle,,shifty,OP_leftup,idle,
d_main_02_03_15,d_main_02_03,Speech,rapi,rapi,Locale_MainScenario:d_main_02_03_15,True,,1,10,1.0,,,1,idle,,,3,idle,,,13,idle,,,OP_leftup,idle,
d_main_02_03_16,d_main_02_03,Speech,neon,neon,Locale_MainScenario:d_main_02_03_16,True,,S_130,S_1300,0.5,,,1,idle,,,3,idle,,,13,no,,,OP_leftup,idle,
d_main_02_03_17,d_main_02_03,Speech,anis,anis,Locale_MainScenario:d_main_02_03_17,False,,30,300,0.5,,,1,idle,,,3,no,,,13,no,,,OP_leftup,idle,
