id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,fade,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_02af_04_1,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_1,True,CommanderRoom,1,100,3.0,bgm_menu_commandersroom,,,,,anis,1,void,,neon,3,idle,,,,,
d_main_02af_04_2,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_2,True,,100,100,1.0,,,,,,,1,angry,,,3,idle,,,,,
d_main_02af_04_3,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_3,True,,100,100,1.0,,,,,,,1,angry,,,3,idle,,,,,
d_main_02af_04_4,d_main_02af_04,Speech,neon,neon,Locale_MainScenario:d_main_02af_04_4,True,,100,S_300,1.0,,,,,,,1,void,,,3,no,,,,,
d_main_02af_04_5,d_main_02af_04,Narration,neon,Narration,Locale_MainScenario:d_main_02af_04_5,True,,S_300,31,1.0,,,,,,,1,void,,,7,no,,,,,
d_main_02af_04_6,d_main_02af_04,Narration,neon,Narration,Locale_MainScenario:d_main_02af_04_6,True,,31,31,1.0,,sfx_scn_showerlever,,,,,1,void,,,7,no,,,,,
d_main_02af_04_7,d_main_02af_04,Narration,neon,Narration,Locale_MainScenario:d_main_02af_04_7,True,,31,31,1.0,,sfx_scn_shower,,,,,1,void,,,7,no,,,,,
d_main_02af_04_8,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_8,True,,31,10,1.0,,,,,,,1,angry,,,7,no,,,,,
d_main_02af_04_9,d_main_02af_04,Speech,neon,neon,Locale_MainScenario:d_main_02af_04_9,True,,10,31,1.0,,,,,,,1,angry,,,3,no,,,,,
d_main_02af_04_10,d_main_02af_04,Speech,anis,anis,Locale_MainScenario:d_main_02af_04_10,True,,31,31,1.0,,,,,,,1,sad,,,3,no,,,,,
