id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,play_sound
d_main_39_10_1,d_main_39_10,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_10_1,True,nayuta_n,1,idle,maxwell_p,3,rage,WhaleyBack,L_30,L_30,1.0,bgm_chapter39_field_gliding,,,,,,,,,,,,,,,
d_main_39_10_2,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_2,True,,1,idle,,3,rage,,L_30,31,1.0,,,,,,,,,,,,,,,,
d_main_39_10_3,d_main_39_10,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_10_3,True,,1,idle,,3,worry,,31,31,1.0,,,,,,,,,,,,,,,,
d_main_39_10_4,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_4,True,,1,idle,,3,worry,,31,31,1.0,,,,,,,,,,,,,,,,
d_main_39_10_5,d_main_39_10,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_10_5,True,,1,idle,,3,sad,,31,31,1.0,,,,,,,,,,,,,,,,
d_main_39_10_6,d_main_39_10,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_10_6,True,,1,idle,,3,sad,,130,130,1.0,,maxwell_p,rapi_red,13,idle,black,,,,,,,,,,
d_main_39_10_7,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_7,True,,1,delight,,,,,130,113,1.0,,,,13,idle,,,,,,,,,,,
d_main_39_10_8,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_8,True,,1,delight,,,,,113,113,1.0,,,,13,idle,,,,,,,,,,,
d_main_39_10_9,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_9,True,,1,delight,,,,,113,113,1.0,,,,13,idle,,,,,,,,,,,
d_main_39_10_10,d_main_39_10,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_10_10,False,,1,delight,,,,,113,113,1.0,,,,13,idle,,,,,,,,,,,
