id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/6/hide_char_id,play_sound,characters/1/hide_char_id
d_main_28_06_1,d_main_28_06,Speech,elegg,elegg,Locale_MainScenario:d_main_28_06_1,True,rapi,5,idle,liveryn,3,idle,elegg,1,pain,hammering,13,smile,CrystalCity,12,12,1.0,bgm_destroyingcalamity_b,,,,,,,,,,,,,,,,,
d_main_28_06_2,d_main_28_06,Speech,hammering,hammering,Locale_MainScenario:d_main_28_06_2,True,,5,idle,,3,idle,,1,pain,,13,smile,,12,12,1.0,,,,,,,,,,,,,,,,,,
d_main_28_06_3,d_main_28_06,Speech,elegg,elegg,Locale_MainScenario:d_main_28_06_3,True,,5,idle,,3,idle,,1,pain,,13,smile,,12,12,1.0,,,,,,,,,,,,,,,,,,
d_main_28_06_4,d_main_28_06,Speech,hammering,hammering,Locale_MainScenario:d_main_28_06_4,True,,5,idle,,3,idle,,1,pain,,13,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,
d_main_28_06_5,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_5,True,,5,idle,,3,shy,,1,pain,,13,idle,,12,30,1.5,,,,,,,,,,,,,,,,,,
d_main_28_06_6,d_main_28_06,Speech,rapi,rapi,Locale_MainScenario:d_main_28_06_6,True,,5,idle,,3,shy,,1,pain,,13,idle,,30,4,1.0,,,,,,,,,,,,,,,,,,
d_main_28_06_7,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_7,True,,5,idle,,3,sad,,1,pain,,13,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,
d_main_28_06_8,d_main_28_06,Narration,,,Locale_MainScenario:d_main_28_06_8,False,,5,idle,,1,idle,,1,pain,,13,idle,,black,black,1.0,none,rapi,elegg,anis,15,void,neon,17,idle,black,,,,,,,,
d_main_28_06_9,d_main_28_06,Speech,hammering,hammering,Locale_MainScenario:d_main_28_06_9,True,,,,,1,idle,,,,,13,surprise,,13,13,1.0,bgm_destroyingcalamity,,,,15,void,,17,idle,,,,,,,,,
d_main_28_06_10,d_main_28_06,Speech,anis,anis,Locale_MainScenario:d_main_28_06_10,True,,,,,1,idle,,,,,13,surprise,,13,16,1.0,,,,,15,worry,,17,idle,,,,,,,,,
d_main_28_06_11,d_main_28_06,Speech,neon,neon,Locale_MainScenario:d_main_28_06_11,True,,,,,1,idle,,,,,13,surprise,,16,16,1.0,,,,,15,worry,,17,delight,,,,,,,,,
d_main_28_06_12,d_main_28_06,Speech,anis,anis,Locale_MainScenario:d_main_28_06_12,True,,,,,1,idle,,,,,13,surprise,,16,16,1.0,,,,,15,delight,,17,delight,,,,,,,,,
d_main_28_06_13,d_main_28_06,Speech,hammering,hammering,Locale_MainScenario:d_main_28_06_13,True,,,,,1,idle,,,,,13,pain2,,130,130,1.0,,,,,15,delight,,17,delight,,,,,,,,,
d_main_28_06_14,d_main_28_06,Speech,neon,neon,Locale_MainScenario:d_main_28_06_14,True,,,,,1,idle,,,,,13,pain2,,S_170,S_170,1.0,,,,,15,delight,,17,idle,,,,,,,,,
d_main_28_06_15,d_main_28_06,Speech,hammering,hammering,Locale_MainScenario:d_main_28_06_15,True,,,,,1,idle,,,,,13,smile,,130,130,1.0,,,,,15,delight,,17,idle,,,,,,,,,
d_main_28_06_16,d_main_28_06,Speech,anis,anis,Locale_MainScenario:d_main_28_06_16,True,,,,,1,idle,,,,,13,smile,,130,14,1.0,,,,,15,no,,17,idle,,,,,,,,,
d_main_28_06_17,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_17,True,,,,,1,idle,,,,,13,smile,,14,1,1.0,,,,,15,no,,17,idle,,shifty,OP_leftup,idle,,,,,
d_main_28_06_18,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_18,True,,,,,1,idle,,,,,13,smile,,1,1,1.0,,,,,15,no,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_19,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_19,True,,,,,1,smile,,,,,13,smile,,1,10,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_20,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_20,True,,,,,1,smile,,,,,13,smile,,10,10,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_21,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_21,True,,,,,1,idle,,,,,13,smile,,10,10,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_22,d_main_28_06,Narration,,,Locale_MainScenario:d_main_28_06_22,False,,,,,15,idle,elegg,13,idle,,13,smile,,black,black,1.0,,,,,15,void,,17,idle,black,,OP_leftup,idle,hammering,anis,shifty,,
d_main_28_06_23,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_23,True,,,,,15,idle,,13,idle,,,,,black,black,1.0,,,,,,,,17,idle,,,,,,,,,
d_main_28_06_24,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_24,True,,,,,15,idle,,13,idle,,,,,black,black,1.0,,,,,,,,17,idle,,,,,,,,,
d_main_28_06_25,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_25,False,,,,,15,idle,,13,idle,,,,,black,black,1.0,,,,,,,,17,idle,,,,,,,,,
