id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,play_sound,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_36_07_e_1,d_main_36_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_e_1,False,rapi_red,6,idle,grave_p,4,idle,cinderella,2,idle,leviathan,12,think_01,Jungle1,5,5,1.0,bgm_chapter36_field_deals_b,,,,,,,,,,,
d_main_36_07_e_2,d_main_36_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_e_2,True,,6,idle,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_3,d_main_36_07_e,Self,grave_p,,Locale_MainScenario:d_main_36_07_e_3,False,,6,idle,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_4,d_main_36_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_e_4,True,,6,idle,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_5,d_main_36_07_e,Self,grave_p,,Locale_MainScenario:d_main_36_07_e_5,False,,6,idle,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_6,d_main_36_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_e_6,True,,6,idle,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_7,d_main_36_07_e,Self,grave_p,,Locale_MainScenario:d_main_36_07_e_7,False,,6,idle,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_8,d_main_36_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_e_8,False,,6,idle,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_9,d_main_36_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_e_9,True,,6,idle,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_10,d_main_36_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_e_10,True,,6,idle,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_11,d_main_36_07_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_07_e_11,False,,6,think,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_12,d_main_36_07_e,Self,rapi_red,,Locale_MainScenario:d_main_36_07_e_12,False,,6,think,,4,idle,,2,idle,,12,think_01,,5,5,1.0,,,,,,,,,,,,
d_main_36_07_e_13,d_main_36_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_e_13,True,,6,think,,4,idle,,2,idle,,12,think_01,,5,L_40,1.3,,,,,,,,,,,,
d_main_36_07_e_14,d_main_36_07_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_36_07_e_14,True,,6,think,,4,idle,,2,idle,,12,think_01,,L_40,L_40,1.0,,,,,,,,,,,,
