id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound
d_main_34_01_e_1,d_main_34_01_e,Self,emma_t,Locale_MainScenario:d_main_34_01_e_1,False,emma_t,6,idle,vesti_t,4,idle,eunhwa_t,2,idle,rapi,14,idle,anis,12,void,neon,16,idle,BlackPuddle,6,6,1.0,bgm_chapter34_field_clash,,,,,
d_main_34_01_e_2,d_main_34_01_e,Speech,emma_t,Locale_MainScenario:d_main_34_01_e_2,True,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,6,60,1.0,,emma_t,,,,
d_main_34_01_e_3,d_main_34_01_e,Speech,emma_t,Locale_MainScenario:d_main_34_01_e_3,True,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,60,60,1.0,,emma_t,,,,
d_main_34_01_e_4,d_main_34_01_e,Speech,anis,Locale_MainScenario:d_main_34_01_e_4,True,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,120,120,1.0,,anis,,,,
d_main_34_01_e_5,d_main_34_01_e,Speech,emma_t,Locale_MainScenario:d_main_34_01_e_5,True,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,60,60,1.0,,emma_t,,,,
d_main_34_01_e_6,d_main_34_01_e,Speech,emma_t,Locale_MainScenario:d_main_34_01_e_6,True,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,60,60,1.0,,emma_t,,,,
d_main_34_01_e_7,d_main_34_01_e,Speech,emma_t,Locale_MainScenario:d_main_34_01_e_7,True,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,60,6,1.0,,emma_t,,,,
d_main_34_01_e_8,d_main_34_01_e,Self,emma_t,Locale_MainScenario:d_main_34_01_e_8,False,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,6,6,1.0,,,,,,
d_main_34_01_e_9,d_main_34_01_e,Speech,eunhwa_t,Locale_MainScenario:d_main_34_01_e_9,True,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,6,2,1.5,,eunhwa_t,,,,
d_main_34_01_e_10,d_main_34_01_e,Speech,eunhwa_t,Locale_MainScenario:d_main_34_01_e_10,True,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,2,2,1.0,,eunhwa_t,,,,
d_main_34_01_e_11,d_main_34_01_e,Speech,eunhwa_t,Locale_MainScenario:d_main_34_01_e_11,True,,6,idle,,4,idle,,2,idle,,14,idle,,12,void,,16,idle,,2,2,1.0,,eunhwa_t,,,,
