id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_05_11_e_1,d_main_05_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_05_11_e_1,True,alice,3,idle,ludmilla,1,idle,rapi,13,idle,anis,15,idle,neon,17,idle,IceLand_03,130,1300,1.0,bgm_secondhand_a
d_main_05_11_e_2,d_main_05_11_e,Speech,neon,neon,Locale_MainScenario:d_main_05_11_e_2,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,worry,,S_170,S_170,1.0,
d_main_05_11_e_3,d_main_05_11_e,Speech,neon,neon,Locale_MainScenario:d_main_05_11_e_3,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,worry,,S_170,S_1700,1.0,
d_main_05_11_e_4,d_main_05_11_e,Speech,neon,neon,Locale_MainScenario:d_main_05_11_e_4,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,worry,,S_1700,S_170,1.0,
d_main_05_11_e_5,d_main_05_11_e,Speech,neon,neon,Locale_MainScenario:d_main_05_11_e_5,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,worry,,S_170,S_170,1.0,
d_main_05_11_e_6,d_main_05_11_e,Self,neon,Self,Locale_MainScenario:d_main_05_11_e_6,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,worry,,S_170,S_170,1.0,
d_main_05_11_e_7,d_main_05_11_e,Speech,neon,neon,Locale_MainScenario:d_main_05_11_e_7,False,,3,idle,,1,idle,,13,idle,,15,idle,,17,no,,S_170,S_1700,0.5,
d_main_05_11_e_8,d_main_05_11_e,Speech,neon,neon,Locale_MainScenario:d_main_05_11_e_8,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,no,,S_1700,S_1700,1.0,
d_main_05_11_e_9,d_main_05_11_e,Speech,neon,neon,Locale_MainScenario:d_main_05_11_e_9,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,delight,,S_1700,S_170,1.0,
d_main_05_11_e_10,d_main_05_11_e,Self,neon,Self,Locale_MainScenario:d_main_05_11_e_10,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,delight,,S_170,S_170,1.0,
d_main_05_11_e_11,d_main_05_11_e,Speech,neon,neon,Locale_MainScenario:d_main_05_11_e_11,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,delight,,S_170,S_1700,0.5,
d_main_05_11_e_12,d_main_05_11_e,Speech,anis,anis,Locale_MainScenario:d_main_05_11_e_12,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,1500,1500,1.0,
d_main_05_11_e_13,d_main_05_11_e,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_11_e_13,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,100,100,1.0,
d_main_05_11_e_14,d_main_05_11_e,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_11_e_14,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,100,10,1.0,
d_main_05_11_e_15,d_main_05_11_e,Speech,anis,anis,Locale_MainScenario:d_main_05_11_e_15,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,15,15,1.0,
d_main_05_11_e_16,d_main_05_11_e,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_11_e_16,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,
d_main_05_11_e_17,d_main_05_11_e,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_11_e_17,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,100,3.0,
d_main_05_11_e_18,d_main_05_11_e,Speech,alice,alice,Locale_MainScenario:d_main_05_11_e_18,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,100,S_300,1.0,
d_main_05_11_e_19,d_main_05_11_e,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_11_e_19,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,S_300,100,1.0,
d_main_05_11_e_20,d_main_05_11_e,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_05_11_e_20,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,100,31,1.0,
d_main_05_11_e_21,d_main_05_11_e,Speech,alice,alice,Locale_MainScenario:d_main_05_11_e_21,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,
d_main_05_11_e_22,d_main_05_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_05_11_e_22,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,31,13,1.0,
d_main_05_11_e_23,d_main_05_11_e,Self,rapi,Self,Locale_MainScenario:d_main_05_11_e_23,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,13,13,1.0,
d_main_05_11_e_24,d_main_05_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_05_11_e_24,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,13,130,1.0,
