id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_ex_redash_03_4_1,d_ex_redash_03_4,Narration,Narration,Locale_SuddenStory:d_ex_redash_03_4_1,False,ArkRuinIndoor,black,black,1.0,none,,,,rapunzel_o,9,idle,dorothy,7,idle,liliweiss,5,idle,commander,3,no,,,
d_ex_redash_03_4_2,d_ex_redash_03_4,Speech,commander,Locale_SuddenStory:d_ex_redash_03_4_2,True,,4,4,1.0,event_bgm_redash_alldownhill,commander,,,,9,idle,,7,idle,,5,surprise,,3,no,,,
d_ex_redash_03_4_3,d_ex_redash_03_4,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_4_3,True,,4,4,1.0,,liliweiss,,,,9,idle,,7,idle,,5,surprise,,3,no,,,
d_ex_redash_03_4_4,d_ex_redash_03_4,Speech,commander,Locale_SuddenStory:d_ex_redash_03_4_4,True,,4,4,1.0,,commander,,,,9,idle,,7,idle,,5,surprise,,3,no,,,
d_ex_redash_03_4_5,d_ex_redash_03_4,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_4_5,True,,4,8,1.0,,dorothy,,,,9,idle,,7,idle,,5,surprise,,3,no,,,
d_ex_redash_03_4_6,d_ex_redash_03_4,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_4_6,True,,8,8,1.0,,rapunzel_o,,,,9,surprise,,7,idle,,5,surprise,,3,no,,,
d_ex_redash_03_4_7,d_ex_redash_03_4,Speech,commander,Locale_SuddenStory:d_ex_redash_03_4_7,True,,8,4,1.0,,commander,,,,9,surprise,,7,idle,,5,surprise,,3,surprise,,,
d_ex_redash_03_4_8,d_ex_redash_03_4,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_4_8,True,,4,4,1.0,,liliweiss,,,,9,surprise,,7,idle,,5,idle,,3,surprise,,,
d_ex_redash_03_4_9,d_ex_redash_03_4,Speech,commander,Locale_SuddenStory:d_ex_redash_03_4_9,True,,4,4,1.0,,commander,,,,9,idle,,7,idle,,5,idle,,3,no,,,
d_ex_redash_03_4_10,d_ex_redash_03_4,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_4_10,True,,4,4,1.0,,liliweiss,,,,9,idle,,7,idle,,5,no,,3,no,,,
d_ex_redash_03_4_11,d_ex_redash_03_4,Speech,commander,Locale_SuddenStory:d_ex_redash_03_4_11,True,,4,4,1.0,,commander,,,,9,idle,,7,idle,,5,no,,3,surprise,,,
