id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_theater_10_1,d_ex_theater_10,Monologue,Locale_SuddenStory:d_ex_theater_10_1,False,phantom,1,smile_02,Theater,15,1,2.0,event_bgm_goldenship,,,,,
d_ex_theater_10_2,d_ex_theater_10,Monologue,Locale_SuddenStory:d_ex_theater_10_2,False,,1,smile_02,,1,L_10,1.0,,,,,,
d_ex_theater_10_3,d_ex_theater_10,Self,Locale_SuddenStory:d_ex_theater_10_3,False,,1,smile_02,,L_10,L_10,1.0,,,,,,
d_ex_theater_10_4,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_4,True,,1,smile_02,,L_10,L_10,1.0,,phantom,phantom,,,
d_ex_theater_10_5,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_5,True,,1,smile_02,,L_10,L_10,1.0,,phantom,phantom,,,
d_ex_theater_10_6,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_6,True,,1,smile_02,,L_10,L_10,1.0,,phantom,phantom,,,
d_ex_theater_10_7,d_ex_theater_10,Self,Locale_SuddenStory:d_ex_theater_10_7,False,,1,smile_02,,L_10,L_10,1.0,,phantom,,,,
d_ex_theater_10_8,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_8,True,,1,idle_02,,L_10,L_100,1.0,none,phantom,phantom,,,
d_ex_theater_10_9,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_9,True,,1,no_02,,L_100,L_100,1.0,,phantom,phantom,,,
d_ex_theater_10_10,d_ex_theater_10,Monologue,Locale_SuddenStory:d_ex_theater_10_10,False,,1,no_02,,black,black,1.0,,phantom,,,,
d_ex_theater_10_11,d_ex_theater_10,Monologue,Locale_SuddenStory:d_ex_theater_10_11,False,,1,sad_02,,5,1,2.0,,phantom,,,,
d_ex_theater_10_12,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_12,True,,1,sad_02,,1,1,1.0,,phantom,phantom,,,
d_ex_theater_10_13,d_ex_theater_10,Self,Locale_SuddenStory:d_ex_theater_10_13,False,,1,sad_02,,1,1,1.0,,phantom,,,,
d_ex_theater_10_14,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_14,True,,1,smile_02,,1,L_10,1.0,event_bgm_goldenship,phantom,phantom,,,
d_ex_theater_10_15,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_15,True,,1,smile_02,,L_10,L_10,1.0,,phantom,phantom,,,
d_ex_theater_10_16,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_16,True,,1,idle_02,,L_10,L_10,1.0,,phantom,phantom,,,
d_ex_theater_10_17,d_ex_theater_10,Self,Locale_SuddenStory:d_ex_theater_10_17,False,,1,idle_02,,L_10,L_10,1.0,,phantom,,,,
d_ex_theater_10_18,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_18,True,,1,delight_02,,L_10,L_10,1.0,,phantom,phantom,,,
d_ex_theater_10_19,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_19,True,,1,delight_02,,L_10,L_10,1.0,,phantom,phantom,,,
d_ex_theater_10_20,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_20,True,,1,delight_02,,L_10,L_10,1.0,,phantom,phantom,,,
d_ex_theater_10_21,d_ex_theater_10,Speech,Locale_SuddenStory:d_ex_theater_10_21,True,,1,delight_02,,L_10,L_10,1.0,,phantom,phantom,,,
