id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,fade,characters/2/hide_char_id
d_main_26_3_s_1,d_main_26_03_s,Speech,crown,crown,Locale_MainScenario:d_main_26_3_s_1,True,chime,1,idle,crown,13,idle,anis,15,void,neon,17,idle,Desert_01,12,12,1.0,bgm_story_girls,,,,,,,,,,,,,
d_main_26_3_s_2,d_main_26_03_s,Speech,crown,crown,Locale_MainScenario:d_main_26_3_s_2,True,,1,idle,,13,idle,,15,void,,17,idle,,12,12,1.0,,,,,,,,,,,,,,
d_main_26_3_s_3,d_main_26_03_s,Speech,chime,chime,Locale_MainScenario:d_main_26_3_s_3,True,,1,idle,,13,idle,,15,void,,17,idle,,12,12,1.0,,,,,,,,,,,,,,
d_main_26_3_s_4,d_main_26_03_s,Speech,anis,anis,Locale_MainScenario:d_main_26_3_s_4,True,,1,idle,,13,idle,,15,void,,17,idle,,12,14,1.0,,,,,,,,,,,,,,
d_main_26_3_s_5,d_main_26_03_s,Speech,crown,crown,Locale_MainScenario:d_main_26_3_s_5,True,,1,idle,,13,idle,,15,void,,17,idle,,14,14,1.0,,,,,,,,,,,,,,
d_main_26_3_s_6,d_main_26_03_s,Speech,crown,crown,Locale_MainScenario:d_main_26_3_s_6,True,,1,idle,,13,idle,,15,void,,17,idle,,14,14,1.0,,,,,,,,,,,,,,
d_main_26_3_s_7,d_main_26_03_s,Speech,anis,anis,Locale_MainScenario:d_main_26_3_s_7,True,,1,idle,,13,idle,,15,void,,17,idle,,14,14,1.0,,,,,,,,,,,,,,
d_main_26_3_s_8,d_main_26_03_s,Speech,crown,crown,Locale_MainScenario:d_main_26_3_s_8,True,,1,idle,,13,idle,,15,void,,17,idle,,14,14,1.0,,,,,,,,,,,,,,
d_main_26_3_s_9,d_main_26_03_s,Speech,neon,neon,Locale_MainScenario:d_main_26_3_s_9,True,,1,idle,,13,idle,,15,void,,17,idle,,S_170,S_170,1.0,,,,,,,,,,,,,,
d_main_26_3_s_10,d_main_26_03_s,Speech,crown,crown,Locale_MainScenario:d_main_26_3_s_10,True,,1,idle,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,,,,,,,
d_main_26_3_s_11,d_main_26_03_s,Speech,neon,neon,Locale_MainScenario:d_main_26_3_s_11,True,,1,idle,,13,idle,,15,void,,17,idle,,S_170,S_170,1.0,,,,,,,,,,,,,,
